Unnamed: 0,Text
0,"We face a climate crisis that is as dire as it is preventable. Our country continues to see dangerous natural disasters, and our leaders refuse to act.
 
There is no future if we do not reverse the effects of climate change, and implement greener practices across industry."
1,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
2,"Our democracy is on the line in November, and our House majority runs through Florida’s 13th district. 

With your help, I will defeat Trump-endorsed Anna Paulina Luna."
3,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
4,"A person’s health is sacred, and no one should go bankrupt just to get high-quality healthcare.
 
In Congress, I will work to continue to fight for coverage for all."
5,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
6,"As a Senior Advisor in the Obama Administration, I learned first hand how the government operates. 
 
I look forward to taking this experience to Congress."
7,https://t.co/FZqbNjH6P0
8,One of my favorite events every year is the St. Pete Pride parade and it was wonderful to have it back! I was proud to march as Pinellas’ #FL13 Democratic Nominee who will fight everyday to protect our LGBTQ+ community in Congress! https://t.co/q3e8659ro3
9,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
10,"Anna Paulina Luna comes from the far-right faction of the GOP that supports Vladimir Putin and Russia. 
 
She is a threat to our national security and our troops."
11,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
12,"We have lived through more mass shootings than days this year. 
 
This is not normal. It cannot be normal. We must ban weapons of war in America."
