Unnamed: 0,Text
0,"@AftabPureval One step Cincinnati could take is expanding Ordinance 745-3 to also allow nurse practitioners, midwives, physician assistants, and other non-physician healthcare providers to perform abortion procedures."
1,@NateSilver538 It’s a distraction from talking about the content of the leak. This is a basic damage control tactic.
2,@AsInMarx To be expected when a three judge panel has two Trump appointees on it.
3,@JMilesColeman @baseballot Or The Great Wave off Kanagawa. https://t.co/52qEcYf40m
4,@AsInMarx https://t.co/o8du8dK0r9
5,@justicedems @guidogir Finally had time to listen and just wanted to say I loved the Gerudo Valley theme music in the transition. Glad the pod is back.
6,"@ville_lions Anita Earls (D) - 49.6%
Barbara Jackson (R) - 34.1%
Chris Anglin (R) - 16.4%"
7,"@Taniel Seems to be the motivation:

“I stated I was running as a Republican to be a voice for the many disaffected, conservative, constitutional Republicans who believe the party has left them, &amp; to make the point that partisan judicial elections are a mistake.”

https://t.co/QchcvaRwEH"
8,"@patrick_phila @AnneNotation @nhashem @AsteadWesley I agree it’s not enough to make any sort of conclusion - other than the statement “According to Ballotpedia, she also ran behind Biden.” is just factually incorrect."
9,"@markwarschauer @JonHaidt I’m not changing arguments. Your tweets are very cryptic &amp; it took awhile to understand what your actual complaint was. It seems you think he is not consistent in his terms well enough when he is referring to “teens”, “teen girls”, &amp; “girls”. If that’s what you mean then I agree."
10,@markwarschauer @JonHaidt His research suggests that teen girls from 13-16 were most impacted. How does your graph of male teens from 13-19 and female teens from 13-19 contradict this claim? What makes you think suicides are a good substitute metric when gender differences are already well established?
11,@markwarschauer @JonHaidt You’re looking at a different metric that lumps all teens together. It’s not clear why you think one should expect the trend to be consistent in that dataset given the known gender variation in suicide rates.
12,"@nhashem @kozad86 @AnneNotation Most of the people voting in that election had probably voted for Ashford at some point before, not to mention that his endorsement across the aisle probably got way more local organic media than Biden’s completely expected endorsement. We shouldn’t ignore that impact."
13,@kozad86 @AnneNotation @nhashem There’s zero chance that Bernie would’ve endorsed if her campaign didn’t want him too. Suburban voters were likely the most influenced by their former local congressman endorsing the Republican. Why do you dismiss that but insist on the veracity of the rumors you’ve heard?
14,@markwarschauer @JonHaidt There have been gender differences in suicide rates for as long as that metric has been collected. Women attempt more but men complete more. That gender-effect in suicide rate is shown in your graph. What point of his is contradicted by that? https://t.co/1y0IPuEtaz https://t.co/v8uFZTlmZ2
15,"@markwarschauer @JonHaidt He responded to that already. 

“The [stronger relationship with poor mental health is observed by] those that zoom in on girls rather than all teens.”

https://t.co/GVPv29eqKJ"
16,@kozad86 @AnneNotation @nhashem This ignores the context of the former US congressman that the “squadster” beat in the Dem primary in 2018 endorsed and campaigned for the Republican in the general. “Vote blue no matter who” only ever seems to apply to progressives for some reason 🤔
17,"@AnneNotation @nhashem @AsteadWesley Biden: +58.8
Tlaib: +59.5

That’s running ahead."
18,"@mh4oh These mirror the problems with free trade agreements that incentivize capital and jobs to flow to wherever has the most exploited workers.

If your goal is to decentralize power from banks then just regulate them directly. These roundabout ways just shift their power elsewhere."
19,"@mh4oh Crypto creates a similar illusion of democratization since power is just redistributed from banks to new gatekeepers — those with the cheapest forms of energy, which are currently places with unregulated coal and gas plants."
20,@mh4oh People thought the internet would democratize the stock market since now anyone could place orders and not just brokers on the trading floor. Instead power just transferred to new gatekeepers — those who could pay most to access the NYSE server rooms and get the fastest internet.
21,@Schrodingerca17 @rwvessol @PopulismUpdates Agreed. Down with Koopatalism.
22,@PopulismUpdates Mr. Game &amp; Watch. Need a decision made? Roll a d9 and let the fates decide.
