Unnamed: 0,Text
0,The Squad is attacking @Eric_Schmitt for ending abortion in Missouri! #MOSen https://t.co/YGYZQtZxcL
1,"Member of ""The Squad"" and serial complainer Cori Bush is attacking @Eric_Schmitt for standing up and ending abortion in Missouri. The liberals can try, but Eric Schmitt won't be intimidated. #MOSEN https://t.co/GpuiivC77R"
2,The action of @Eric_Schmitt will save the lives of thousands of unborn in Missouri. This is what true leadership looks like #MOSEN https://t.co/uL6jCuQCYb
3,RT @KeithBeardslee: Thank you @Eric_Schmitt for your #ProLife leadership and quickly taking action to end abortion in #Missouri. #MOSen htt…
4,"RT @AndrewLeppert: Once again, @Eric_Schmitt delivers immediate action by ending abortion in Missouri. 

That’s why he’ll be the next Senat…"
5,"🚨BREAKING NEWS🚨 @Eric_Schmitt has issued the opinion making Missouri the FIRST state in the country to outlaw abortion, saving thousands of unborn lives in the state. Once again, THANK YOU Eric Schmitt. #MOSEN https://t.co/b65mQysYsy"
6,"The United States Supreme Court sides with @Eric_Schmitt, protecting our Second Amendment rights from government tyrants. 🇺🇸THANK YOU ERIC SCHMITT!🇺🇸 https://t.co/yhzKajMpA2 #MOSEN #SCOTUS"
7,ICYMI: U.S. Senator Mike Lee endorses America First Fighter @Eric_Schmitt  for Senate. See why here ➡️ https://t.co/0NperSO82M #MOSEN
8,Read the full release here ⬇️ https://t.co/L466n4SKfC
9,"🚨MAJOR ENDORSEMENT🚨
U.S. Senator @MikeLeeforUtah endorses @Eric_Schmitt for Senate. 

“Eric Schmitt is the only candidate in Missouri’s U.S. Senate primary that has the Conservative credentials needed to deliver Republican victories for our nation” Read more below⬇️ #MOSEN https://t.co/S6uxEzNPtw"
10,Team Schmitt had a HUGE week on the campaign trail with Trump Attorney General @MattWhitaker46. Our campaign has the momentum and America First leaders are lining up to support @Eric_Schmitt. #MOSEN https://t.co/hxsCCfTqWb
11,"Official statement from @Eric_Schmitt’s U.S. Senate campaign on Eric Greitens’ new video: 🙄
#MOSEN"
12,"The future of our country is on the line, and Missourians are rallying around @Eric_Schmitt as the only person who can save it. Thank you @johngbrunner! #MOSEN https://t.co/9wlMelfi9e"
13,.@MORight2LifePAC knows that they have a pro-life ally in @Eric_Schmitt and that he'll never stop fighting for the rights of the unborn. #MOSEN https://t.co/adpiqAGvEV
14,"Phenomenal day in the campaign having @MattWhitaker46  in town to support  our America First campaign along with a HUGE endorsement from @johngbrunner 

The Show-Me State is 🔥fired 🔥 to send @Eric_Schmitt to the Senate.  #MOSEN https://t.co/JDtHTqmUR4"
15,https://t.co/taklmNg41D https://t.co/a9Tpb1W6R0
16,"🚨Major Endorsement Alert🚨 @johngbrunner endorses  @Eric_Schmitt for U.S. Senate. #MOSEN

""I know that Eric Schmitt has a Vision for America – a Republic, where our citizens never give up the fight for freedom, as the cause of liberty demands nothing less than victory."""
17,"RT @AndrewLeppert: As Missouri’s next Senator,  @Eric_Schmitt will always #BackTheBlue and stop open borders. 

That’s why Trump AG @MattWh…"
18,Fmr. Trump Attorney General @MattWhitaker46 joined @Eric_Schmitt on the campaign trail to discuss the importance of fighting for Trump's Title 42 and 'Remain In Mexico' policies. #MOSEN https://t.co/b65vNO8p1h
19,Parents deserve a say in their children's education. @eric_schmitt joined @stevedoocy to expose the radical left's indoctrination machine. #MOSEN Watch the full interview on @foxandfriends HERE: https://t.co/6zukxfBNd8
20,"Forfeited rights are not easily regained. We can never let D.C. politicians strip our Second Amendment rights, and @Eric_Schmitt won't let it happen. #MOSEN"
21,The radical left wants to disarm the population and leave us defenseless. @Eric_Schmitt won't let them get away with it. #MOSEN https://t.co/QSIYitgx8t
22,"Join @Eric_Schmitt on @TuckerCarlson TONIGHT at 7PM Central Time! Joe Biden is attempting to pass the most restrictive gun control law in decades, but Eric Schmitt has a plan. You won't want to miss this! #MOSEN"
