Unnamed: 0,Text
0,"Exactly 8 yrs ago today I signed off of Rockford TV. Tomorrow, Rockfordians and #IL17 will make the choice on who has earned their trust. As a Meteorologist, I carried ethics, worked hard, and reported truth. And I will bring that to the job as Representative every day. ☀️ 🇺🇸 https://t.co/a74heaahP9"
1,"If elected, I will become the first LGBTQ person ever elected to Congress from Illinois. Shattering the rainbow ceiling will send a clear message that we reject hate and division here in Illinois! #IL17 https://t.co/VXkP0jp5GE"
2,"It’s true love when your partner door-knocks with you. We definitely got our 10,000 steps in today! Let’s win this, #IL17 🏳️‍🌈 https://t.co/x8r6yAZ0xd"
3,"Let’s do this, Illinois! 👊 https://t.co/k8cFzs4YXC"
4,"@blaisemkeller Sadly, I am not sure how long it will take to get this Supreme Court balanced again. But I hope to be a loud voice on this issue in Washington. Love you guys."
5,"RT @bengelsen_23: I’m bummed I don’t fall into IL17, because it would have truly been a privilege to vote for @ERICSORENSEN. Getting Eric i…"
6,"First best thing to happen this week? The morning’s cold front brings us sunshine, breezes, &amp; low humidity. 

But I need your help with the forecast. The next best thing is Tuesday when friends &amp; family vote for communication, science, &amp; trust. 

Let’s do this together! 💪 #IL17 https://t.co/e9XCfjsSHU"
7,@Wymer44 Just vote! And tell everyone you know. Thank you!!!
8,This weekend is about getting out the vote. It was great to meet so many people excited to vote for their hometown Meteorologist! Let’s do this #IL17 👊 https://t.co/YC6xCzbF3L
9,"It was an honor to be able to speak at tonight’s Roe Rally in downtown Rock Island. On Tuesday, we must vote for trans rights, gay rights, and women’s rights. In 2022, Illinois will elect its first LGBTQ member of Congress as in rejection of right wing extremism. #IL17 https://t.co/OohJFAeCJU"
10,"Our government will now force you to birth a child but fail to ensure they make it out of 4th grade recess alive. 

Vote. Them. All. Out."
11,@LoriSnart This is incredibly scary for so many Americans.
12,@RTurner_rvc Absolutely shameful.
13,I am as determined as ever to fight for what’s right. What happened this morning is not. #RoeVsWade
14,"Today feels like a punch to the gut, but we must stand as strong as ever and work harder than ever.  
Let me make it as clear as I can: I unequivocally support reproductive rights and will be a voice and advocate, voting to secure them as a member of the U.S. Congress. 6/6"
15,"Everyone needs to make their voice count in every election. 
And this year really is now completely different. 
They keep coming for our rights. They keep undermining our democracy. We cannot allow that to stand. 5/6"
16,"I’ve said this to you before and I believe it bears repeating: I feel as if I’ve been told that every election over the past decade was “the most important election of our lifetime”. For what it’s worth, I believe that every election is important, full stop. 4/6"
17,"We need doctors to help people make medical decisions, not politicians or judges. 
We cannot accept this result and must demand that Congress pass legislation to codify abortion rights at once. 3/6"
18,"And I am very worried for people who will need reproductive health care in the coming years. 
This is an attack on our community, making essential health care more difficult. And yes, abortion and reproductive care is health care. 2/6"
19,"This is a dark day in American history: the Supreme Court has overturned Roe. With countless states already outlawing abortion, this is a direct attack on reproductive rights. 
I am angry. I am hurt. 1/6"
20,We are moving forward in the name of every victim of every shooting. https://t.co/jvobFWPKzK
21,"Thank you, Dan. I am with you, absolutely committed to ensuring the prosperity of Northern Illinois and Rockford, our hometown. #Il17 https://t.co/2QhvQZlrnb"
22,"Thank you so much, Brian, and for all the work you do for LGBTQ people in Illinois. Let’s shatter this rainbow ceiling! https://t.co/g72ULlFeRt"
23,"We will break the rainbow ceiling in Illinois with hard work, determination, and the most donors of anyone in this race. Thank you @lgbtqnation!

https://t.co/NaFp5NnZqb"
24,"RT @lgbtequalitypac: Next Tuesday, voters in #IL17 have the chance to nominate @ERICSORENSEN for Congress!

Eric knows his community and wi…"
25,RT @Iamtherealbcj: I’m so proud of ⁦@ERICSORENSEN⁩ &amp; his historic run for Congress in the IL-17! A vote for Eric or a contribution at https…
26,We must elect a climate communicator to Congress in 2022. https://t.co/Gdx7XVdCcf
27,🥵 https://t.co/twCQHRzR6h
28,"Even though prices are coming down, most voters I talk to in #IL17 shop the used car lot. While we need to continue federal incentives for new EV purchases and add rebates for used EV's so climate solutions are equitable. #ClimateCrisis https://t.co/PYHpOVt3nP"
29,1 week away. #IL17 https://t.co/0Y7YEQQsD4
30,We win this making the strongest ad buy of the cycle tomorrow. Your contribution makes the most impact today. https://t.co/bQcx3YPKHe
31,"Character, compassion, and common sense are 3 qualities #IL17 needs in their next Representative. We are 8 days away from a vote to make that happen. https://t.co/yk4gGj6NrJ"
32,"On this day, set aside to celebrate Juneteenth, it’s important to understand the reason for this holiday and why we must always be ready to fight for our right to live, be free, and be equal. https://t.co/MnSXigaPwr #IL17 #juneteenth2022"
33,"Happy Birthday and happy Fathers Day, Dad! https://t.co/1Wi90FvEZl"
34,https://t.co/34hlkwVjPS
35,https://t.co/Bcu1M9lcSG
36,@4a_of Love some Bug Soother!
37,We are about to place our final messages in front of undecided voters before the June 28th primary. Please help if you can! https://t.co/5dR0a17UEe
38,Trust is the most important thing to consider when you're voting for someone. I have spoken truth to science for nearly 20 years in #IL17 and I will continue that in Washington. https://t.co/LI5Ahw0BCc
39,The Quad Cities has some of the best beaches around and no one seems to know. #mississippiriver https://t.co/2RL6x2LxIz
40,@4a_of Yes!!!
41,Science will win in #IL17! People power has propelled this campaign from the beginning. Will you join us? https://t.co/5JEKRkmEgm
42,Hey Illinois! What's your reason to vote? #IL17 https://t.co/SEqDqPkFBe
43,"@nsj Gosh, we need a climate communicator in Congress."
44,Extremists have now threatened LGBTQ kids in the Quad Cities. We have to stand up and fight for their right to exist and be happy. https://t.co/Z8mimk7nA9
45,"RT @ERICSORENSEN: In the 1990s, it was unheard of for a boy to go to prom with another boy. For me, I was lucky to have a great friend who…"
46,I need you to chip in today so we can make history in #IL17. https://t.co/u4w9JVYk8A
