Unnamed: 0,Text
0,Top Gun: Maverick https://t.co/2LobJ5mU2j via @ERICA
1,"I’m sad to hear of the passing of former SOS Madeleine Albright. I learned a great deal about diplomacy from Secretary Albright, &amp; found her views to be pragmatic. She was a tireless public servant &amp; our country owes her a great debt. She will be missed. #MadeleineAlbright  🇺🇸 https://t.co/wdNSUyGV0V"
2,Just posted a photo @ Colorado https://t.co/39lknIAjnN
3,"Happy Saturday! Corporate Monday- Friday. Weekends…..Stay cool. Stay fly. - Erik ##saturday #ceomindset #underwood #hugoboss #nirvana #johnstonandmurphy #purplejeans @ Denver, Colorado https://t.co/JrWgnZkKJR"
4,KillerPolitics debating app coming your way - August 30th! I would love to see @AOC v. @RepMTG or @KeithOlbermann v. @TuckerCarlson . For sports debates would love to see @KingJames v. @ScottiePippen - Erik #civil #debates #killerpolitics #app #iOS #Android https://t.co/OmDIRH1xnb
5,KillerPolitics press release from Newswire. #socialmedia #applaunch #kp https://t.co/WffyBzjOsQ
6,I'm extending a personal invite to @RepMTG &amp; @AOC to debate each other on our @killerpolitics debate platform which launches on Aug 30. Debate any policy you want. Our app has rules &amp; time limits. The audience will vote on who won the debate in real-time.-Erik #debate #kp #INVITE https://t.co/bS41rui2ll
7,"Just posted a photo @ Denver, Colorado https://t.co/odcrVEKjxT"
8,@Slash @axlrose one of my favorite albums!  - Erik #80s https://t.co/iawbgm4lGA
9,Going on the Tammi Mac Late Show tonight! I look forward to it. - Erik https://t.co/t2cLs6qFDv
10,"Just posted a photo @ Denver, Colorado https://t.co/Aqk6msjEqz"
11,"@foxsoultv, owned by Fox TV Networks invited me to come on the Tammi Mac Late Show. Fox Soul has an assortment of digital programming which are hosted by such stars as @MsVivicaFox, @TheRealLRaye, &amp; @Jeezy.Thurs @9pm MT/11pm EST https://t.co/hUogOiYb1R #Underwood #killerpolitics"
12,"I don't know about you, but I was pretty busy during the pandemic.
 
The world's fist live social media video debating app will be dropping soon. Here is a first look at KillerPolitics. The app (Web, iOS, Android) will release on August 23rd. We also have…https://t.co/wCVaa3Tb3f"
13,"Just posted a photo @ San Diego, California https://t.co/ygPkClvUlH"
14,I'm looking forward to introducing a disruptor and game changer in social media. Look out! @killerpolitics is releasing soon! - Erik #app #debating #SocialMedia  #killerpolitics #underwood #ios #Android https://t.co/9xB4oirr76
15,"@ericadamsfornyc from one Erik to another Eric, I’m wishing you luck 🍀 tomorrow in the #nycprimary . I know you will do great! - Erik #NYCMayor #NewYork"
16,Finally a true head to head video debate platform where you can take it off Twitter &amp; Facebook &amp; bring it to KillerPolitics! A platform with rules to create a safe place where people can civilly debate one another. I'm so proud of this accomplishment!-Erik #killerpolitics #debate https://t.co/IzVfywGQCi
17,RT @killerpolitics: KillerPolitics APP drops in July!!! The World's first live social media video debating app coming soon! A place where p…
18,"Just my thoughts. - Erik
#justmythoughts #underwood #ghostbusters #border #meme #nbcnews @ Denver, Colorado https://t.co/Un38HQBkhG"
19,"Just posted a photo @ Denver, Colorado https://t.co/Kenfq4ed6m"
20,May democracy survive and endure the struggles of our troubled time. I will be praying for our country. - Erik #washingtondc #ourdemocracy
21,"I have no words except disgust, disappointment, &amp; sadness. What is currently happening in our nation’s capital is not the America we should be. As someone who worked on Capital Hill years ago, it disturbs me to see the images coming out of D.C., the heart of our democracy. https://t.co/MwfflRmQg8"
22,"Just posted a photo @ Denver, Colorado https://t.co/pmbSmtgTUR"
23,"Happy Veterans Day! We need to do more for our veterans once they leave the battlefield and provide more support for their families. - Erik #veterans #support @ Denver, Colorado https://t.co/wWT9G7HQKJ"
24,"Vote! - Erik @ Denver, Colorado https://t.co/FjxFVGRABJ"
25,"Just posted a photo @ Cherry Creek Country Club, South Aurora https://t.co/Vbgkc1oIgT"
26,"Happy Saturday! - Erik. #besafe #colorado #covidlife #october @ Cherry Creek Country Club, South Aurora https://t.co/ofGwKUImLi"
