Unnamed: 0,Text
0,"This morning I’m proud to announce @inhofeforsenate and @jameslankford have endorsed my reelection to continue serving as YOUR Congressman of Oklahoma’s Third District.

I look forward to seeing you on the campaign trail as we fight together to preserve Oklahoma's values. https://t.co/GrJJTMbcET"
1,"Inflation has risen 7% over the past year- the highest it’s been in 40 YEARS. 

While Washington Democrats want to tax Americans and spend their hard-earned money, Republicans are continuing to put the needs and priorities of the American people first.
https://t.co/repSBE4oSf"
2,"I will always stand and support Oklahoma’s law enforcement- and all that they do to protect our communities. 

Thank you to all our men and women in blue for your service to our community. #BackTheBlue https://t.co/ICkNZ2bKtP"
3,"Congratulations to the 2021 Fiesta Bowl Champions, @CowboyFB! 

The Cowboys overcame a 21-point deficit to beat No. 5 Notre Dame! 

#GoPokes | #LetsRide https://t.co/9loKPwu3qS"
4,"Thank you to @Okpork and @inhofeforsenate for including me in the #GiveAHam Challenge to spread generosity in Oklahoma this holiday season.
 
I am grateful for our state’s pork producers, and I will be donating my ham to @_lfnwok. https://t.co/cH2HhpJw1o"
5,"Congratulations to Oklahoma’s NEWEST Congresswoman @stephaniebice!

In the State Senate, @stephaniebice  earned a reputation as an effective, conservative leader. I’m excited to have her join the rest of the Oklahoma Delegation in Congress."
6,"I am deeply honored that my neighbors, my fellow Oklahomans, the voters of the Third District overwhelmingly voted for me to continue to be their voice in Washington, D.C. 

I look forward to continuing to work for the great people of #OK03.
https://t.co/HcAyA8ap1U"
7,"Congratulations, @krhern on your victory tonight!

@krhern is the businessman #OK01 deserves in Congress."
8,"Congrats to my friend @MarkwayneMullin on his victory in #OK02!

A businessman, a family man, and rancher, @MarkwayneMullin brings Oklahoma common-sense to Congress."
9,".@ColeForCongress is a dedicated leader- congrats to @ColeForCongress on his victory tonight!

@ColeForCongress is always on the front lines promoting and protecting our strong conservative Oklahoma values."
10,"Congrats to Oklahoma's Senator, and my friend, @inhofeforsenate.

The Senate is a greater institution with @inhofeforsenate in its ranks and Oklahoma is better served thanks to his hard work and leadershipl."
11,"After you vote, show your support for Frank Lucas for Congress! 

RETWEET &amp; LIKE! 🇺🇸 https://t.co/OeL3H0XbLF"
12,"RT @OKelections: It's a beautiful day in Oklahoma. Go vote!

Find your polling place / get a sample ballot on the OK Voter Portal: https://…"
13,"It's #ElectionDay! 

As your Congressman, I've always stood for the values of Oklahoma and been a voice for rural Oklahoma! I'd be honored to have your vote today.

Grab your friends, family, and neighbors and be sure to exercise your right to #vote! https://t.co/8LDVIBOM3h"
14,"In Oklahoma, farming isn't just a job- it's a way of life. 

I fight for Oklahoma's farmers and ranchers- which is why I received the endorsement of @okfarmbureau.

I'll always be a strong voice for Oklahoma's ag and the 28,000+ family farms in #OK03!
https://t.co/glZuYJqRPs"
15,"Rural hospitals are the backbone of communities across #OK03. Especially during COVID-19, Congress must not allow these critical facilities to close.

I'll always fight for rural hospitals &amp; for affordable, high-quality healthcare for my fellow Oklahomans!
https://t.co/erGbx8nCKi"
