Unnamed: 0,Text
0,@RepJimmyGomez @IndivisibleTeam @USProgressives @POTUS https://t.co/2XMR31D73O
1,"@attorneylsg Expanding Medicare for anyone who wants to get on it, making mental health and preventative care a priority, would be a good start."
2,RT @Schwarzenegger: My message to my fellow Americans and friends around the world following this week's attack on the Capitol. https://t.c…
3,@shillman1 The BBC - you gain a lot of perspective seeing the view from the outside-in.
4,"“The will of the people is the only legitimate foundation of any government, and to protect its free expression should be our first object.” -Thomas Jefferson https://t.co/Bl54PXqj7T"
5,By signing onto this @RepBost @RepLaHood are violating their oath of office and the foundations of democracy in favor of personal benefit and political ideology. #il18 #il12 https://t.co/nAjWauqpQR
6,"If you are concerned about the decline of economic opportunity and sustainability in our communities, you are not alone. Take a look and follow @rural_united https://t.co/RpIaYLwhwT"
7,"@MikeLeeforUtah Like Roosevelt quotes? Share this one with @RepLaHood  “To announce that there must be no criticism of the President, or that we are to stand by the President, right or wrong, is not only unpatriotic and servile, but is morally treasonable to the American public.”"
8,'Hyphenated identity groups': Utah GOP Sen. Mike Lee blocks legislation for Latino and women hist... https://t.co/Bv4sI8I9xm via @Yahoo
9,"@MikeLeeforUtah Like Roosevelt quotes? Share this one with @RepLaHood  “To announce that there must be no criticism of the President, or that we are to stand by the President, right or wrong, is not only unpatriotic and servile, but is morally treasonable to the American public.”"
10,RT @rural_united: The United Rural Democrats is a group of many local organizations from across the nation working together to raise the ba…
11,"RT @emilyslist: Birth control is health care. Full stop.
https://t.co/LyglnlqFVq"
12,"RT @SenatorDurbin: Instead of the outgoing President’s dangerous refusal to concede or the worst public health crisis in a century, the Sen…"
13,"The response and encouragement I received during the campaign is truly overwhelming. We can't be certain of what the future holds for us, but I can guarantee that I'll be involved in helping to bring real, meaningful change and representation to our communities and country. #IL18 https://t.co/AR3nbUNCET"
14,@RepLaHood https://t.co/r4yxgBPU2h
15,"RT @KamalaHarris: Thank you to all the poll workers and @USPS employees who have worked tirelessly this election season.

In the face of ad…"
16,@4Dfruitbat @RepLaHood Me too!
17,@KEricShaffer @bodyrights @QueenPeace2017 @RepLaHood What he said👆
18,"@bodyrights @QueenPeace2017 @RepLaHood Huh? I don't believe a letter next to someone's name should be the determination of their potential value or detriment as an elected official. If anyone has a question about where I stand on an issue, all they need to do is ask. I'm not hard to find, and have NOTHING to hide."
19,@RepLaHood Read mine...#IL18 https://t.co/wYwMDoU4IO
20,"Letter: Expanding Medicare should be priority for Congress
https://t.co/2lgo2xhwLp"
21,"What's more disappointing: That @RepLaHood appears to believe being an elected official is only about addressing his donors and supporters, or that his indifference and unresponsiveness to every opportunity to defend his positions to the public was so wildly predictable. #IL18 https://t.co/wroY43EzLH"
22,RT @FPWellman: Already seeing the left blaming...the left. You know why this happened? Because for the last decade the left has fought each…
23,@ElectLaHood Same reason why I am running! #IL18 https://t.co/DUpJLCF0IU
24,"I'll be out and about this weekend - Bloomington, Lincoln &amp; Peoria. Come say ""Hi"". https://t.co/maQId5aR3o"
25,"RT @GeorgePetrilli: @RayLaHood How about an @GeorgePetrilli sign next to that @JoeBiden sign? ""Ray LaHood, who’s backing Joe Biden for pres…"
26,@realDonaldTrump @ElectLaHood Well that does it. I know who I am voting for now. @GeorgePetrilli #IL18
27,#IL18 https://t.co/rfV8rRT6PI
28,"@RayLaHood How about an @GeorgePetrilli sign next to that @JoeBiden sign? ""Ray LaHood, who’s backing Joe Biden for president. 'Trump and Darin are close,' he told Playbook. 'I have a Biden sign in my front yard.'"" @TeamJoe @RepsForBiden #IL18
https://t.co/IgIgMOomrx via @politico"
29,@postcards4USA @postcards4USA Hey!! Over here! 👋 @GeorgePetrilli #IL18
30,#IL18 https://t.co/4bo1ax725o
31,RT @fafaflunkie: @realDonaldTrump @ElectLaHood Which means @GeorgePetrilli is the ideal candidate for the 18th District of Illinois! Thank…
32,"The basis of a program to expand more equal access to the judicial system could be expanded to empower student debtors to invest in our communities with their talents, education and experience, while also stimulating our economy. What do you think? #IL18

https://t.co/2XMR31D73O"
33,"@RepLaHood Expanding Medicare for all who want it would be a good step in alleviating the anxiety of cancer sufferers' worries that the No-Plan GOP Healthcare would strip away their insurance coverage, and then there's the massive bills incurred left to survivors and their families. #IL18"
34,"RT @JeffHoogland: Got my ballot in the mail and was excited to learn @RepLaHood is running opposed in Illinois's 18th district.

Excited to…"
35,RT @zipillinois: @GeorgePetrilli @RepLaHood @USNavy Gooo Petrilli.  U have our vote
36,@RepLaHood @USNavy I'll bet we could have a pretty good debate on the issues of veterans care  and you could really explain your support in a public forum beyond a Happy Birthday message.
37,"@RepLaHood @USNavy If you're willing to use the military to boost your political profile, maybe start supporting proper mental health, job training and college credit programs for veterans."
38,"Unless we start recognizing addiction as a health condition and not a character flaw, we'll never be able to properly address these issues. It will never be solved with our current for-profit health insurance ""health care"" system. There's not enough profit in treating addicts. https://t.co/6hYAhjonFs"
39,RT @SheriStrohl: @Pantagraph @wglt @pjstar #IL18 deserves to hear @RepLaHood and @GeorgePetrilli discuss the issues. #twill Why won’t LaHoo…
40,"@RepLaHood @RepLaHood Looks like it would have been a good format for public debate on some of those issues and potential future policies. I'll check with Verizon, I must not be getting my messages. #IL18"
41,"@RepMattSchaefer Did @RepMattSchaefer, @tedcruz or anyone on that grand jury actual see the film - doubtful, as it is meant to condemn the everyday exploitation and sexualization of young people. Reminds me of @realDonaldTrump thinking the @CurbHBO episode was a complement. #politiciansnevergetit"
42,"RT @JohnstonMCBoard: Today I voted for some of my favorite people @vote4lund @AbbiSorrells @GeorgePetrilli
Rob Fazzini @cummings4il @Senato…"
43,https://t.co/LbOIUQz4R7
44,"I had a great time with Greg Bishop of @WMAYNews this morning. My apologies to Greg for not letting him get much of a word in edgewise. Hopefully, he enjoyed the break. Next time I promise my answers will be more brief(-ish). Let's do it again soon. https://t.co/gwb9zHRjdZ"
45,@Namastesabee https://t.co/zYA6CUeSeK✓&amp;amount=&amp;commit=Contribute
46,@DeeZene https://t.co/zYA6CUeSeK✓&amp;amount=&amp;commit=Contribute
47,"@Namastesabee ActBlue link is below, or you can donate using paypal through my website (https://t.co/Qy1IWZRRbI).                                https://t.co/6NlvCIybHn…✓&amp;amount=&amp;commit=Contribute"
48,"@DeeZene Thank you, takes the awkwardness out of asking for money when people offer to give it...

https://t.co/6NlvCIybHn…✓&amp;amount=&amp;commit=Contribute"
49,"The unfortunate part of public service is that it takes money to be able to reach everyone. If you can help me spread the word and make a contribution, it would be much appreciated:

https://t.co/zYA6CUeSeK✓&amp;amount=&amp;commit=Contribute"
50,"Tune-in tomorrow morning to @WMAYNews from 8:10 to 8:30, when I'll be talking with Greg Bishop about some of the solutions to the everyday problems we are faced with in the 18th District. Are there any topics you want to hear about from me? #IL18"
51,"Thank you to WICS and Jonathon Hansen for the opportunity to speak about unaddressed issues facing the 18th District.

To the voters: It is spelled P-E-T-R-I-L-L-I. Don't worry, it happens all the time. Good thing I am not a write-in candidate. https://t.co/btZTFFM3H5"
52,"I am honored and excited to be endorsed by a group working so hard to help preserve our democracy and ensure that our elected officials are representative of the people, not corporations and special interests. https://t.co/wKOhJ0Oa8e"
