Unnamed: 0,Text
0,"And everyone wins!  No violence, I love it. https://t.co/k7t9BNKsgf"
1,@DR_Fred_Davies @KYSecState What he did was unconstitutional regardless of how you feel about any candidate.  What he tried to do is end State’s sovereignty.  This is the hypocrisy of Mike Adams.
2,https://t.co/0cNTuowLWq. Here is a congressman from Kentucky sticking his nose in other States which is not his business to do.  I just want a recount.  The Constitution provides for regular folk to object. We are in a Republic last I checked.
3,"I will be appealing!  Apparently, this guy doesn’t know who I am. https://t.co/AJkilaLXew"
4,How Hackers Can Target Voting Machines | NBC News Now https://t.co/G8Mo22cjNJ via @YouTube  our Secretary of State @KYSecState is two cans short of a six pack. @ClayCoNewsUSA
5,"Part of the process is to allow for recounts.  It’s calls for transparency.  I did not vote for a machine to count the ballots.  If something goes wrong or I find something wrong in the recount their excuse will be, the machine did it.  No, someone should take responsibility. https://t.co/2TMOwLVy2Q"
6,Musk leaning toward voting for DeSantis in 2024 presidential election https://t.co/SRHLjJ3XGS  @elonmusk I Al already there!@GovRonDeSantis
7,@KYSecState @ClayCoNewsUSA Stop getting your panties rolled up in a wad and let's just count the ballots.  You are wasting taxpayer money. This is a simple request.  The law provides it for Americans. The process must be checked from time to time.  Your hiding something!
8,I just want transparency in our voting process.  I heard our citizens loud and clear.  You believe the process is rigged and this is the only way to find out and know for sure. https://t.co/YwDIebKchV
9,Ron DeSantis Beat!  ⁦I am all in with ⁦@RonDeSantisFL⁩ !  More Constitutional than the other guy.  The other guy started Red Flags and the gun lobby had to educate him on it.  He should have known!   https://t.co/Xtnjgtn2Na
10,"@courtneyknill Don’t wear sunglasses, wear a hat. I forget why that’s important.  You did say 2 cents."
11,She was wrong and I was right. https://t.co/EVCklyUbNQ
12,"RT @JasonBassler1: Dear left, if you need a gun to enforce gun control, you're not actually against gun violence. You are for a monopoly on…"
13,"Just a reminder, this is one reason we need and have our AR-15’s.  Freedom has a price and all have skin in the game. Nothing is free! https://t.co/Hw8ZcRJDz9"
14,"@courtneyknill Wow,  are you men blind?  What else do you guys need?  Marry the woman and invite me for dinner once in a while."
15,RT @ClayCoNewsUSA: Serrano Petitions for Count of Ballots in Congressional Race https://t.co/Z45z9Eto1S https://t.co/fvw5yOrxi0
16,@DineshDSouza I saw mules 2000.  Stand by for RINO 2022.  Quiet on the set.  And Action!
17,@courtneyknill I did but I didn’t think anyone heard me.
18,@courtneyknill Wow! Are you going to eat all that?  Oh that looks good.
19,"@RepHalRogers became a millionaire along with every member of his family because he made deals with Democrats. The Democrats never cared about the debt, they want us to go bankrupt, they need us to go bankrupt to give U their new government. That is the change Obama talked about. https://t.co/nezTcWqEB2"
20,"@Wantmyturntoo @Wantmyturntoo, please go to my timeline. Sorry, I answered you there."
21,"Americans first, and as long as we are in debt, there is no second.  We need to cut the spending!  We are 30.4 Trillion.  There are also no raises for any Federal Employee especially elected officials. https://t.co/UeoWcabX1s"
22,"2) you are way ahead with manufacturing for our 5th District.  Our District has a lot of corruption, we have to get rid of it.  Business people want to make money not line the pockets of politicians.  We also need to focus on infrastructure. Foreign aid? https://t.co/UeoWcabX1s"
23,"1)The Border needs to close, I was there, and I saw a lot of waste there where agents were not doing their job but we can get into that at a later date. Vaccines? I didn't take them and I am not going to take them.  We are a free people, we never use force in a free society. https://t.co/UeoWcabX1s"
24,A must read and see!! https://t.co/D3l1fUmA2n
25,@Michell82809232 Not sure why it’s doing that
26,https://t.co/7MnrTIGFNy
27,⁦@RepHalRogers⁩ who is going to pay for it?  You made your children wealthier with nepotism but left your district the 2nd poorest District in the country! You again failed the people of our District!  https://t.co/VZSVkvlttg
28,@GOP I hate to get in a race while I am running but Republicans are being short sighted.  @Kathy4Truth can expand our base.  Stop making this some kind of an exclusive club.  We need her more than she needs us.  Good luck lady! https://t.co/1MX9ITS21M
29,"If he would debate me, I would have proven he is just a political prostitute but he refused.  Women as well as men can go to health clinics to get everything they need. https://t.co/A1Nw9shdFV"
30,"It’s worse than that. @RepHalRogers lied 2 all of us. He voted in the last 4 years over 1.4 billion to either Planned Parenthood/Family planning worldwide. He voted, red flags for the military. He expanded gun control. They were bills written by Democrats. He voted with them. https://t.co/gB9x6NsM2x"
31,"He won’t do it. It was discussed.  He told me to smile a lot. I am fine with it.  I am frustrated also, one person is not going to take us to the promise land. @TomRoten, that’s the problem! I do have a nice smile though. https://t.co/kplKd9RtNe"
32,"Democrats have hurt more black, brown and the poor than any other party.  Their unconstitutional policies they started or voted for are still hurting them. Civil Asset Forfeiture is one. I am running against a RINO, @RepHalRogers https://t.co/D9vTXWfxxT"
33,Thanks @TomRoten https://t.co/7pGuaMlr4Z
34,"@WilkowMajority I would love to talk about the race in the 5th District, Ky."
35,"WYGE secured 2 commercials a day until the elections.  No more excuses, you are on noticed that our Congressman is a RINO voting to send money to Planned Parenthood.  The election is not about me, it’s about you! The country will know.  https://t.co/XpYUkm6oL8"
36,https://t.co/45wkzxdMDc
37,"Donate, I would appreciate the support!   https://t.co/q4SjZSIv65"
38,@RNCResearch That so they can tell them who they should vote for in the election. You are missing the real story guys. https://t.co/wd2ok1OdqP
39,"I know more about intrusive abuse of Government power than anyone serving in office or running. The election is May 17th. I appreciate your support.
#stopcivilassetforfeiture https://t.co/ZdwTKpblrx"
40,#NewProfilePic https://t.co/49eufbivjt
41,⁦@POTUS⁩ it hasn’t occurred to you to invite the little girl to the White House?  It’s your granddaughter for goodness sakes!  https://t.co/TuIcbXt8eF
42,"@texasusa6 An uninformed spectator.  @RepHalRogers is one of the most corrupt congressmen in DC.  With the 2nd poorest District in Ky. and it got worse, people are leaving.  Please educate yourself on this guy. Voted the omnibus bill with the Democrats, recently."
43,Democrat Spending Bill Contains ‘Serious Expansion of Federal Gun Control’: @GunOwners @NRA @DonaldJTrumpJr this is your dad’s man. Please stay out of my District! @HalRogersKY5 @RepHalRogers again you vote like a Democrat!  https://t.co/SgtfbkYb9L via @epochtimes
44,Did you or did you not buy stocks?  What is the lie? The amount of money you invested? https://t.co/BFTE8BXH3q
45,"@nrlc I will not answer the questionnaire you just sent me. You did not condemn any of those who voted for H.R. 1625. People are tired of the hypocrisy. 
https://t.co/1JQizTIpPf"
46,@RonFilipkowski And you found nothing wrong with it?  I would certainly let you respond but my feeling is you are and continue to be part of the problem.
47,https://t.co/kdDyrnrRn9 via @FacebookWatch
48,"@RepHalRogers, you didn't even consult with the teachers about your recent vote?  Your family is well taken care of.  We are stuck holding the bag! https://t.co/wEwuJrcaoq"
49,"Hal Rogers is one of the most Corrupt Congressman in Washington DC https://t.co/335sLiyUyd via @FacebookWatch @RepHalRogers, We are one of the poorest and yet you voted an open ended bill which would put us at war and cause inflation to go even higher. We can't afford it!"
50,https://t.co/Vj6EYwniyj @RepThomasMassie @RandPaul I agree but you guys do nothing. People I meet talk behind your back. @RepHalRogers you took care of your family &amp; friends but left your district the poorest in the country. We are not ready for a war in our district!
51,Secret Surveillance Warrants Remain Secret ⁦@Snowden⁩ thank you sir!  I am sorry my country lost their way.  I am trying.  https://t.co/ZEYg8RbxoZ
52,@RonFilipkowski They were not very nice to me.  Seemed to be wanting something from me to fail. It didn’t work.
53,I would appreciate donation for my campaign. https://t.co/Su3DTQ51hy
54,"https://t.co/RVmqJ7SK1A I appreciate your support.  It’s time to make a move, it starts today."
55,"@HeatherTheESQ @cat_i_e You toot your horn, I tooted mine."
56,"@HeatherTheESQ @cat_i_e It just seemed so easy for me to get those numbers, apparently it’s not. So maybe it’s a good platform to use."
57,"@HeatherTheESQ @cat_i_e Oh, I did congratulate, why not take that part of it."
58,@HeatherTheESQ @cat_i_e On which thread are you speaking of?
59,@EricBoehm87 @AP4Liberty @KWOSNewsRadio I believe you might be off on that inflation number.  Since the government is cooking the inflation rate the oil companies know the real inflation rate.  If we took the same model of how we got the CPI in the 80’s inflation would be  over 23%.  90’s 16% or very close.
60,Our government can steal your property or money and it’s called Civil Asset Forfeiture.  I said the very same thing here in the USA. https://t.co/tem2lBsmDY
