Unnamed: 0,Text
0,RT @EleniKelakos: Too many remarkable women hold themselves back from making the difference they were born to make. Learn more from Eleni b…
1,"RT @rural_united: This week marks 1 year of URD!!

Thank you so much for your support!! 

We have reached so many people who feel left behi…"
2,"RT @JocelynBenson: Update from Michigan:

✅ 92%+ of all absentee ballots are returned (still 4 hours to go if you haven’t dropped yours off…"
3,It would be an honor to be your representative - thank you for making your voice heard.
4,"When I voted this week, I thought of my granddaughter, Chloe, and all of our children, who will have such an incredibly bright future in front of her when our citizens speak at the voting booth. We need to make sure that irresponsible and unaccountable leadership is defeated."
5,"If you have an absentee ballot, please drop it asap at your local dropbox; see https://t.co/bK5A9mYDDf for locations. If you haven’t voted yet, get to the polls today and bring two friends."
6,"Today is the final day I ask for your help with getting our friends and neighbors to vote. When we win, we will be doing important work to help our families, and our communities, build a better world for all of us."
7,"The coronavirus has made what’s at stake this election all the more palpable:
The stability of our country
Affordable healthcare
Support for our small businesses
Good paying jobs
Protection for our Great Lakes and natural resources
A future for our children is on the ballot"
8,"Today is Election Day. We’ve all overcome so much to get where we are today. Thank you to the thousands who have already voted, volunteered, donated, and reminded friends to vote. I am so proud of this team, and everything we were able to accomplish."
9,"Have you made a plan to vote yet? Polls are open tomorrow 7am-8pm &amp; you can drop off absentee ballots until 8pm. Not registered to vote? You can do so tomorrow in person at your clerk’s office! If you have any questions about voting logistics, check out https://t.co/TmCYpHyzb5."
10,"It was amazing to get out in Monroe today to canvass, meet people, and hear stories like Bryson's. We have an amazing community and I look forward to flipping the 7th with them :) https://t.co/i26g7pONqZ"
11,"What does Tim Walberg stand for? In an election with so many important issues on the ballot, it is vital to know where your representatives stand. We can’t trust a Rep who denies his record to appease the crowd. Take a look as we highlight just 4 of his misleading statements: https://t.co/tEP92mvMuN"
12,"THIS IS THE FINAL STRETCH! Team Driskell will be doing Get Out the Vote this weekend, Mon, and Tues. We have lots of staffers, interns, and volunteers who are excited to engage with the community. #MI07 

Sign up to flip Michigan’s 7th from red to blue: https://t.co/wpsttaecUH"
13,So many Americans still need economic relief from the effects of COVID-19. We should not celebrate GDP gains until they benefit ALL Americans. https://t.co/9DQokcSqYa
14,"141,316 voters from MI-7 have already voted early! This is democracy in action. https://t.co/98zvpBdsiN"
15,"DON’T FORGET! Our virtual grassroots rally to raise funds for getting out the vote is this Thursday! Join Gretchen, Rep. Andy Levin, Rep. Katherine Clark, and more guest speakers as we discuss the most important election of our lifetimes. 

Register here: https://t.co/LKmF6quHWf"
16,"I'm very proud of our team of staff, interns, and volunteers who have been working on getting out the vote and giving voters the information they need to vote safely! https://t.co/Rul0Czo7Xo"
17,We are down to single digit number of days before the election! Make sure to make a difference with more than just your vote by volunteering with Team Driskell: https://t.co/wpsttaecUH!
18,"Thank you, Team Driskell! 
Sign up for phone banking to help flip Michigan at https://t.co/wpsttaecUH. https://t.co/kth4TrvCDi"
19,"Our Great Lakes are our most prominent natural resource. Despite the environmental risks from pipelines like Enbridge Line 5, Walberg voted for these pipelines, against requiring safety reviews of pipelines, and so that pipeline owners aren’t liable for cleanup. https://t.co/eiMJgbAVbJ"
20,Yes we do! I couldn’t be more excited to serve with all the other women in the US House of Representatives. https://t.co/tuHIZDqqvw
21,Every Michigander deserves representation that actually represents them. In Congress I will make sure the voices of all my constituents are heard and taken seriously. https://t.co/M57k6gGxlP
22,"Michael Steele’s message resonated with me as he voiced concerns of the upcoming election and the values we need to defend on the ballot box today. It is important to first vote as an American, not as a Democrat or a Republican. https://t.co/8Fm3UMPhjD"
23,"The best ways to avoid threats to voting are to trust official Secretary of State websites and vote early! For information about your ballot, clerk’s office, and polling location visit https://t.co/H5xFITxrqg or https://t.co/NTwCHLPxmS. https://t.co/4RIGT3Iogo"
24,"While my opponent supports fossil fuel drilling under our Great Lakes, I know that more than 1.3 million jobs depend on keeping them clean, safe, and beautiful. That’s why I’ll work to protect our Great Lakes from polluters, not invite them in. https://t.co/QvwLmE7jyC"
25,"You can still register in-person to vote until Election Day! For another useful resource, you can also visit https://t.co/H5xFITxrqg to register!"
26,"🚨TODAY is the last day to register to vote online in Michigan! 🗳️🚨

If you haven’t done so already, visit https://t.co/VAjJeaAOc9! Make a plan to vote, do your civic duty, and let your voice be heard in such a historic election. ✅"
27,I had a great afternoon with these two strong women and everyone who came to talk today! https://t.co/MKC5rkQz7u
28,"I am ready to join the fight to protect affordable health care for all Michiganders regardless of age, income, or pre-existing conditions. https://t.co/lCQuWVrYNq"
29,"I pledge to work with anyone who will fight for our district, no matter their party. My time as Mayor and with the Michigan Municipal League has shown that cooperation and a bipartisan mindset leads to results. @TimWalberg votes 97% with his party yet claims to be bipartisan."
30,"@TimWalberg has made it clear that, if reelected, he would not fight for the health and safety of our community. The ACA is not “socialist” as my opponent has said. 
Lower prescription drug costs and care are a necessity. I promise to fight for your health and your care in #MI07."
31,"Happy #WorldFoodDay to all the farmers in MI-7! Today, take a second to thank your local farmer for everything they do. https://t.co/OBqem1LK75"
32,So happy to see our state legislature doing everything they can to protect and support Michigan’s small businesses. https://t.co/df8lhaZUUR
33,The Census is vital for determining the distribution of resources to American communities. Make you sure you take the time to fill it out today! https://t.co/C1FHyFih0m
34,RT @FionaLy57133085: 21 days left! Let's get MI-07 the representation they deserve with @gdriskell! Sign-up to volunteer: https://t.co/w8at…
35,"Climate Change is a threat multiplier: it makes problems with immigration, public health, and national security worse. We need solutions to adapt and mitigate now! https://t.co/gzrmEd8eTi"
36,Happy Indigenous People’s Day! Today we commemorate the history and culture of Native Americans. We honor the Native Americans whose values and tribes we find in Michigan and throughout the country.
37,Today the Proud Boys held a rally in Monroe. This is unacceptable. I love our community and there is no place for hateful rhetoric here or anywhere. We should be working to unify not divide.
38,Join Team Driskell for a flash internship program from now to November 3rd. This is a great opportunity to learn about what it takes to work on a campaign and make a tangible difference this election cycle! Please reach out with any questions. #MI07 https://t.co/zyv2TrbuVq
39,The census deadline has been moved to October 31st! This is a very important facet of all communities as it impacts representation and funding. Make sure that you fill out your census so both you and your community can be counted. #MI07
40,Support our campaign today: https://t.co/KIGqrKwJou
41,"""I totally support Gretchen on her stand for Universally accessible and affordable healthcare, her support for universal preschool, and her belief that climate change is real, it’s not fiction it’s real.""
-Burt Bacharach"
42,"We're so grateful for the support of Burt Bacharach, a 6 time Grammy, 3 time Oscar, and 2 time Golden Globe winner, who's allowing us to premier his new song ""The Great Divide"" highlighting the importance of coming together to enact real change. https://t.co/e8uqI4Z3OF"
43,"When we allow politicians to dismiss democracy, we reject the ideals that our nation was founded on.

Countless heroes have put their lives on the line to defend our democracy. We won't forget about their sacrifice. https://t.co/PZNhmRFcTb"
44,"With the news of Gretchen Whitmer’s plotted kidnapping, I am grateful for our law enforcement officials. The behaviors and hate that these attempted kidnappers exhibited have no place in our society. They must be held accountable in order for our nation to peacefully progress."
45,We need to do a better job supporting our family farms and young farmers. https://t.co/d2JfUrqHmN
46,"From my work as the Mayor of Saline and Representative of Michigan's 52nd district in the state house I know the power of bipartisanship. If elected, I plan to unify people and represent the needs and wants of all my constituents. https://t.co/GcJKKRjSzp"
47,Hamilton X When We All Vote https://t.co/t5BkHRSZAW via @YouTube
48,"Wear a mask. Stop the spread of COVID. Save lives.

#MaskUpMichigan https://t.co/pZ2yHn9CV4"
49,"Today I'd like to share my support for our LGBT friends and family. We fought hard for marriage equality and we can't lose it now.

Make a plan to vote. Our neighbors are counting on us. https://t.co/h0lHpovllv"
50,We are now one month out from the election. The support from the community continues to grow as we approach this contentious race. With 30 days left let’s finish this thing strong! Let’s flip Michigan’s 7th district!
51,"President Trump and FLOTUS have my deepest condolences today as I pray for their quick and complete recovery.

This is a solemn reminder to the country that the COVID-19 pandemic is real and that we must stay vigilant by wearing masks and practicing social distancing. #MaskUp"
52,We are in an economic crisis as much as a public health crisis. Congress needs to set aside their partisan differences to pass COVID relief as these two crises continue to affect everyone in our nation. https://t.co/79EQ3St8yd
53,Thank you to each and every person who donated to help us reach our end of quarter goals! With your help Team Driskell is looking forward to election day and the election results. Your support does not go unnoticed - I have a lot to celebrate today! Let’s flip this district!
54,Happy birthday to Jimmy Carter! I share a birthday with an inspirational former president. https://t.co/gWj6Tplbaa
55,It is crucial to our democracy to have leaders such as Rep Tim Ryan of Ohio who speak up for workers’ rights and the necessity of these workers. Today I stand alongside those who rally for emergency funding for the services and workforce of the Amtrak community. https://t.co/f1nxDP3ip1
56,"Congress must put aside party politics and continue supporting our communities during the pandemic.

We're in this together. We'll get out of this together. https://t.co/JcDYJD6Doz"
57,"TOMORROW is our last end of quarter fundraising deadline before the election! Unlike my opponent, Tim Walberg, I do not take money from corporate PACs. That is why we need YOUR help to reach our goal! Join Team Driskell by chipping in any amount you can. https://t.co/rkJey6Tio2"
58,"Unlike my opponent, who voted against the ACA, against coverage for pre-existing conditions, and against reductions in prescription drug costs, I know every American has a right to quality, affordable health care. https://t.co/HC7LRedlSj"
59,Join us next weekend here: https://t.co/d62Ix49c1N
60,"I am so thankful for our incredible team of volunteers — together, we had our biggest weekend of talking to voters across MI-7 yet! 

Make your plan to vote by going to https://t.co/jEi9I9RPM6 🗳 https://t.co/jxIHkQAtqG"
61,I’m wishing those observing Yom Kippur in MI-07 and across the world an easy and meaningful fast. G’mar Chatimah Tovah!
62,"In order to protect vulnerable communities and future generations, America needs to be a leader and address the reality of climate change.

Unlike my opponent, I know that we can't wait for this climate crisis to be solved for us. https://t.co/fVWkvYtnED"
63,"Compromise is vital for effective government. That's why I believe we need to find bipartisan solutions to issues like the student debt crisis.

We need to elect more leaders who put People over politics. https://t.co/UfAfHcdQpw"
64,"Americans deserve access to affordable health care no matter what their health status is. (2/2)
https://t.co/1L9U6wBmur"
65,"Rep. Walberg touts supporting those with pre existing conditions in his latest ad, but the bill that he cosponsored would still allow insurers to set premiums based on health status. (1/2)"
66,Today is Downtown Day in Michigan. Come out to visit your favorite downtown area and support their local businesses. Here's a view of vibrant Saline! https://t.co/znhOU0KZLH
