Unnamed: 0,Text
0,"6/6 Protest peacefully, amplify your voices, help people register to vote, and dammit go and vote like your life depends on it because today shows that it truly does. #RoevWade #SCOTUS #SupremeCourt #Vote https://t.co/j6oiwbAosu"
1,"5/6 Those certain politicians in power love to tout about fighting for freedom, but their decades long efforts to remove a constitutional right prove how hypocritical they truly are…"
2,"4/6 the same fate. Now shortly after a woman is spied on by state governments in her pursuit of an abortion with her privacy exposed, her life threatened, and her freedom denied, a door will open for them to do the same thing to anyone else…"
3,"3/6 forced2 die, forced2 have unsafe backdoor abortions, forced2 abandon babies, or forced2 raise a child in poverty. 

Today we all lose no matter which side of this issue you’re on. Because just as a woman’s right to liberty was reversed after 49 years, anyone’s rights share…"
4,"2/6 for the first time in the courts history. Women deserve the utmost respect for everything they do for all of civilization, but todays judgment was a slap 2their face. They’ll no longer have federal protection in cases of rape, incest or maternal death. Instead, they will be…"
5,"1/6 To all women in the US, Im sorry. Im sorry that your unalienable right of liberty to choose what 2do w/your own body was taken away from you today. The Supreme Court’s decision to overturn Roe v. Wade is unprecedented as a once guaranteed constitutional right was reversed… https://t.co/GAskEnI5KA"
6,RT @Kat4District13: https://t.co/gOsVMLG9hj
7,"RT @Kat4District13: I’ll be protesting #SCOTUS overturning #RoeVsWade today at 5:00p in #ATX. If you are in Austin, PLEASE come join us!"
8,RT @HillaryClinton: Just one great reason to watch today's January 6 hearings? Trump and the MAGA Republicans desperately don't want you to.
9,"RT @POTUS: Over the last two decades, more school-age children have died from guns than on-duty police officers and active duty military co…"
10,Remember @Kat4District13 in November! I know she’ll definitely do more for my home district than the current crazy one who’s literally doing nothing. #vote https://t.co/TmgFqQfvVw
11,RT @jimmykimmel: To my friends in Dallas who are asking: I do not know whether our @ABCNetwork affiliate @wfaa cut away from my monologue t…
12,"RT @POTUS: Jill and I join our fellow Christians in observing Good Friday. Today, we remember Jesus’s sacrifice on the cross, pray for all…"
13,"RT @Kat4District13: I didn’t move into the district just to run for office. It’s my home, where I raised my kids, and where I’ll retire. ht…"
14,"RT @JoeBiden: Rather than breaking Ukrainian resolve, Russia's brutal tactics have strengthened their resolve. Rather than driving NATO apa…"
15,"RT @BarackObama: 12 years ago today, I signed the Affordable Care Act into law. I’ve always believed that health care shouldn’t be a privil…"
