Unnamed: 0,Text
0,"RT @IUBAC: ""And the right of workers to control their own bodies cannot be separated from the right of workers to control their own labor."""
1,"RT @chrisharris101: Why would a party most aligned w/ capital center the cause of forcing births?

Capital desires a steady supply of despe…"
2,RT @eeberquist: best one hands down https://t.co/uuPL8fye2P
3,"RT @atx_sbwu: If you want to support the Starbucks workers in Austin who have been FIRED for being openly pro-union, there are two big thin…"
4,RT @thedianamoreno: At this time it's imperative to distinguish the socialist feminist position on abortion from the liberal individualist…
5,"Still a Texan. Still pro abortion. Will never stop organizing for free abortion, on demand, without apology."
6,RT @AKMcGlinchy: A spokesperson for Garza's office has now confirmed to me that he does not plan to prosecute alleged abortion crimes.
7,RT @Shut_downAmazon: Women rights are Labor rights #HotLaborSummer
8,RT @SenSanders: Overturning Roe v. Wade and denying women the right to control their own bodies is an outrage and in defiance of what the A…
9,"RT @DATravisCounty: Travis County District Attorney José Garza Releases Statement on Supreme Court Decision to Overturn Roe v. Wade
https:/…"
10,RT @GoIUPAT: The extremists on the Supreme Court who don't believe in reproductive rights also don't believe in the most basic labor rights…
11,RT @meaganmday: The same Democratic Party top brass who aren’t fighting to codify Roe and who bent over backward to ensure that anti-choice…
12,"RT @AustinChronicle: In wake of SCOTUS decision overturning Roe v. Wade, Austin City Council fast-tracks abortion decriminalization act. ht…"
13,RT @ninaturner: F*** the Democratic fundraising emails that will come from this.
14,"RT @TexasObserver: ""Your personal beliefs about abortion, whether they are informed by religion or not, aren’t what this is about.""
https:/…"
15,"That ain’t right. 
Community, get ready. With all these union fights (!) happening in Austin, let’s make sure we’re prepared to listen and follow the lead of workers when the time comes to push back against the bosses. https://t.co/bZ4nlPaJhZ"
16,"Shout out to Austin’s newest recognized union @UWIC_CWA 
Solidarity my friends! Wonderful to celebrate with you!"
17,RT @SBWorkersUnited: This decision is an important step in holding CEO @HowardSchultz accountable for his assault against workers exercisin…
18,I’m signing the pledge to support my neighbors who work at Starbucks. Their fight is our fight. Their wins are our wins! https://t.co/MWLKIl1f0K
19,@tevitauhatafe @CTULocal1 @APALAnational @UnionDrip So inspired by you.
20,"RT @greenhousenyt: BREAKING -- In a pathbreaking win for labor, workers at the Apple Store in Towson, Maryland, vote overwhelming -- 65 to…"
21,"RT @josheidelson: “Someone asked me, how are you going to fight John Deere and the UAW at the same time?” Deere striker and @UAWD_Reform ac…"
22,RT @NARAL: Reproductive freedom is a fundamental freedom.
23,@_ericblanc How exciting! Congrats Eric!
24,🌹 https://t.co/CN5wOSOLzE
25,RT @atx_sbwu: WE JUST WON OUR ELECTION 10-2!!!!!!!
26,"RT @organizeworkers: Yesterday, Trader Joe’s workers took the extraordinary step of organizing together, democratically decided on prioriti…"
27,RT @sbwuatx45lamar: 45th and Lamar is officially the first Unionized Starbucks store in the state of Texas! Thank you so much to everyone f…
28,"RT @JonahFurman: Planned Parenthood workers unionizing with SEIU in Minnesota, Iowa, North and South Dakota, and Nebraska"
29,@UWIC_CWA is #UnionStrong https://t.co/c10NgImKIB
30,Solidarity that matters https://t.co/LkruzwdUMD
31,RT @BernieSanders: It shouldn't matter what age you are. No one needs an AR-15 or any other assault weapon designed to massacre people. Whe…
32,"RT @ByMikeBaker: Student calls to 911:
12:03—whispered she's in room 112
12:10—said multiple dead
12:13—called again
12:16—says 8-9 student…"
33,"RT @gusbova: Ok y'all, I figured a bit of bluntness was warranted: https://t.co/WlKnKiik4i"
34,"RT @TheVelvetDays: OVERWHELMING MAJORITY VOTE IN FAVOR OF UNIONIZING AT THE AMERICAN MUSEUM OF NATURAL HISTORY. 

WE DID IT. 

THIS COMMUNI…"
35,"RT @thehill: “Go in there! Go in there!” nearby women shouted at the officers soon after the attack began, said Juan Carranza. Carranza sai…"
36,"“ICE has created a surveillance infrastructure that enables it to pull detailed dossiers on nearly anyone, seemingly at any time”

https://t.co/P8rOJDh52J"
37,RT @alexbirnel: Stop and read this
38,"RT @TexasHRA: STATEMENT: New data shows deadliest year on record for overdose deaths in Travis Co.

“Preventable overdose deaths took more…"
39,"RT @ninaturner: 49-51, codifying Roe fails in the Senate.

No Manchin.
No Collins.
No Murkowski.

70% of Americans want Roe upheld. This is…"
40,"RT @JustThePill: We are not going anywhere. We have never been more committed to serving our patients with safe, affordable, and compassion…"
41,RT @josheidelson: Scoop: Labor Board prosecutors have determined Amazon held illegal Staten Island anti-union meetings and made illegal thr…
42,RT @WDActionFund: There’s no economic justice without reproductive justice. The right to an abortion is a workers’ rights issue. #BansOffOu…
43,"RT @lilithfund: How to support abortion access right now: 

💰 Donate to #Texas abortion funds: https://t.co/gHyfIlUhAE

⚡️ Connect: https:/…"
44,"Dear democrats, we have already voted you into office. Now is the time for you to stand up and vote for US. Stop saying another election will save us and do what we sent you there to do. https://t.co/6NbaZr8dO0"
45,"RT @EdAustin_TX: This is absolutely unacceptable. On the day after our members and community rally to demand respect, 1,320 employees have…"
46,Happy May Day beloveds! We built this world. It’s ours to care for and to win!
47,"TW: Suicide
I know too well the feeling of leaving someone at the hospital, expecting care and healing only to learn that they are turned out, turned over, lost, or gone for good.
Mental healthcare is a human right. 
Jails are not mental healthcare.
https://t.co/ZEqCTGar7u"
48,"RT @NLRBGC: Today, General Counsel Jennifer Abruzzo issued a memo announcing that she will ask the Board to rule that mandatory meetings, i…"
49,"RT @pinkdavepink: ""We studied the history of how the first major unions were built. We learned from the Industrial Workers of the World, an…"
