Unnamed: 0,Text
0,My statement below on the final recount results: https://t.co/RxDHl0LPfq
1,My statement below on the Final Election Results: https://t.co/BkLpkCDm2B
2,"The votes are in, the margin will hold. We have won by 177 votes. 

My statement below: https://t.co/Ww71fS0o5g"
3,"Zapata County 🚨🚨 Get out and Vote!

Today and tomorrow are the last days of early vote. Come down to the Courthouse and make your voice heard! https://t.co/RcPDsyoxCJ"
4,"Get out and Early Vote!

#TX28 #laredo https://t.co/RqrGZX0sOL"
5,"Early Vote here at TAMIU!

#vote https://t.co/d4zRg9oLsA"
6,"First day of Early Voting, get out and vote! 🗳 https://t.co/5eNqgfrs7F"
7,"Great night at the ballpark! Thank you @LaredosTecos 

#tecos #laredo https://t.co/v2CiCED9Dr"
8,2/2 https://t.co/Bu6c0HAjVy
9,"1/2

Strike! ⚾️⚾️ 

Thank you for having me @LaredosTecos let me know if you ever need another reliever! https://t.co/KgBpHRvrfq"
10,"First pitch ready, time to throw some smoke 💨 https://t.co/uvzTuwzxHg"
11,"Saturday night at the ballpark ⚾️ ⚾️

Go Tecos‼️ https://t.co/nVEx7Zbb87"
12,"Cuellar Crew out in full force tonight!

Thank you all for your support and together we will win this election!!

Remember to early vote starting this Monday, May 16 until Friday, May 20 🗳 

Election Day is May 24, let’s bring it home!

#VOTE #Texas #laredo https://t.co/bGVtcaF36I"
13,"Cisneros endorses Cuellar ✅

#texas #SanAntonio #GOTV #vote https://t.co/dUthbbyN82"
14,"🚨🚨 Another key endorsement… 

This time from former Mayor of San Antonio and Secretary of Housing &amp; Urban Development, Henry Cisneros!

Thank you @henrygcisneros for your support‼️

Early vote starts this Monday, May 16 and runs to Friday May 20. 

Get out and vote! 🗳 https://t.co/fccWQR1dqD"
15,"Thank you for your endorsement 🚨 @USChamber 

Together we’ll continue to provide jobs and economic opportunity to all of South Texas! I’m glad to have you on my team

Remember, Early Vote is May 16-20 and Election Day is May 24

Get out there and vote!

#jobs #texas #TX28 #GOTV https://t.co/WfkPqzWS6i"
16,"The Endorsements keep coming!🚨

Thank you @BIPAC @BIPACAction for your support of my campaign!

When I’m re-elected we’ll continue working together to create jobs, jobs, and more jobs for South Texans‼️

Thank you again &amp; be sure to vote early May 16-20

https://t.co/mHPobYqlIk"
17,"Endorsement 🚨🚨

Thank you to my friends @Franchising411 for your support! I will continue to champion small businesses, entrepreneurship, and bring good paying jobs to South Texas.

Thank you for your support and together we will win on May 24! 

Early voting starts May 16-20! https://t.co/nghEzcLFtG"
18,"Great to be with you today @ClyburnSC06 I appreciate your endorsement and your support!!

Thank you San Antonio and together we will win this election 🗳 

Be sure to vote early May 16-20 and Election Day is May 24

#SanAntonio #Texas #TX28 https://t.co/MWFAEkKxhk"
19,See the below statement from Congressman Cuellar ⬇️⬇️ https://t.co/LCuR0NXcJv
20,"San Antonio, get out to Smoke BBQ + SKYBAR at 501 East Crockett Street this Wednesday! 💨💨

We’re getting out the vote with House Majority Whip Jim Clyburn, see you at 4:00 🕰 

RSVP: https://t.co/RXxSVhWjzt

Donate: https://t.co/Tdt5yndXPu

#SanAntonio #tx28 #texas #GOTV https://t.co/bAbUQEuVhN"
21,"THIS JUST IN: We’re getting out the vote with @ClyburnSC06 🗳

San Antonio- mark Wednesday, May 4th on your calendars to join me and House Majority Whip Jim Clyburn! #TX28 #GOTV #SanAntonio 

RSVP: https://t.co/lXzBSdInU1

Donate: https://t.co/Tdt5yndXPu https://t.co/WtrYqJRqWQ"
22,(3/3) With this strong coalition of support we will win this election on May 24th.
23,"(2/3) Congressmen Filemon Vela and Vicente Gonzalez. 

The support of House Democratic Leadership along with endorsements from 171 local elected officials in the 28th Congressional District of Texas demonstrates the strength and effectiveness of our campaign."
24,"(1/3) I thank Speaker Pelosi for her constant support and endorsement of my campaign. Furthermore, I am proud to have the endorsements of Majority Leader Steny Hoyer, Majority Whip Jim Clyburn, Democratic Caucus Chairman Hakeem Jeffries, and many other colleagues including https://t.co/lZcnMPiadM"
25,The choice is clear.  I am committed to delivering what is needed for South Texas families. https://t.co/cyzkif5IRW
26,"TODAY IS ELECTION DAY. 

Polls are open from  7 AM - 7 PM.
Make a plan and find your polling location here: https://t.co/qagi0XOuZJ
Take your family and friends. 
I appreciate your vote!  #TX28"
27,"Thank you to @MySAWS for helping @cityoflaredo restore clean water to our residents. 

I’ll continue to work with @MySAWS CEO, Robert Puente, and will not rest until all of Laredo has safe, reliable water."
28,"Another great endorsement of our campaign by the Laredo Police Officers Association! 🚨

Thank you for your support and for keeping our community safe. I will continue to stand with the brave men &amp; women of law enforcement! 

Thank you and go early vote!

https://t.co/RieH5Pieow https://t.co/aAsu1GSax0"
29,"Another endorsement!! Thank you to the Laredo Firefighter Association 872 for your support 🚨🚨🚨🚨

We’re all grateful for your service to our community and I’m glad to have you on our team.

Thank you and be sure to early vote now until February 25 🗳 

https://t.co/RieH5PiMe4 https://t.co/xyK5O9doYX"
30,"Thank you Webb County SD 21 Tejano Democrats for your endorsement!! 

Together we will win this election 🗳 https://t.co/oxETG7Nywr"
31,"Get out there and vote! Early voting runs until February 25th 🗳 

Click here to find your polling place: https://t.co/RieH5PzPg4

#tx28 #EarlyVoting #vote https://t.co/LeoQDgNBh1"
32,"The stakes are high in this election and early voting starts today! 

You can early vote now until February 25th- click below to find your polling place: https://t.co/RieH5PzPg4

If you can’t vote early get to the polls on March 1st 🗳

Together we will win this election!

#TX28"
33,"It’s time to Get Out The Vote!! Hearing from so many supporters who are fired up to vote early!

Reminder, early voting starts Monday and runs until February 25th 🗳 

We’re only 17 days out from Election Day- let’s bring it home! 

#TX28 https://t.co/ZLRLC9xonB"
34,"I’ve been delivering results year after year while my opponent is backed by the defund the police movement and has pledged to slash the border patrol budget, making our communities less safe and costing our area thousands of jobs. The stakes are high.  Early Voting begins Monday. https://t.co/cqiEH8vD67"
35,"#ThrowbackThursday to the day I graduated from Laredo college. I washed dishes and worked two part-time jobs, and earned five college degrees – more than any other member of Congress. As a son of South Texas, I know the challenges families are facing first hand. https://t.co/5vlCai9aJQ"
36,"I have built a reputation as a bridge builder in Congress and my commitment to working with anyone to get things done has brought results:
👉Fought to lower prescription drug costs
👉Increased funding for law enforcement and border 
       security
👉Helped lower energy costs https://t.co/G81Cub6RjW"
37,"Knock, knock… it’s Team Cuellar! We’ve been out hitting the doors all weekend 🚪 

I’m grateful for our volunteers and the people we’ve been able to meet. 

Thank you for your support and vote Cuellar on March 1st! https://t.co/uYtjUN1hvO"
38,"Listening to the people- let’s win this thing, together!

Early voting starts February 14th &amp; Election Day is March 1st. 

Get out there and vote! https://t.co/S5b7KULSTg"
39,"A statement from Congressman Cuellar: 

⬇️⬇️ https://t.co/CxUYrIW6hU"
40,"middle-class tax cuts, affordable health care, and access to education for working families has helped contribute to the gain of almost half a million jobs in Texas last year alone.” - Majority Leader Steny Hoyer"
