Unnamed: 0,Text
0,At Fox Run Senior living community https://t.co/LJuZBDPHZP
1,Hima's official statement on SCOTUS's decision on overturning Roe. V. Wade. https://t.co/eTnwjh54p4
2,"RT @RepMTG: I’m calling for the impeachment of Dr. “Rachel” Levine, known most of his life as Richard.

Drugs preventing puberty and genita…"
3,"RT @RepMTG: AOC just launched an insurrection. 

Any violence and rioting is a direct result of Democrat marching orders. https://t.co/VvAw…"
4,God has come through for LIFE! https://t.co/36OepLenhB
5,"Vote for @HimaForCongress to restore American Greatness! Motto - Faith, Family &amp; Freedom! https://t.co/GA3u3x9ZGt"
6,"SCOTUS upheld 2A as an inalienable right, A right to bear and keep arms, a right to protect oneself and family. Also, Happy birthday to Justice Clarence Thomas. https://t.co/85tLzEzPhU"
7,RT @pnjaban: Wow! Signs of life in San Francisco!
8,RT @RepMTG: I can’t express the damage these Republican Senators have done. https://t.co/0hHQXt4TAJ
9,"Michigan's Gretchen Whitmer refers to women as 'menstruating people,' GOP gov hopefuls respond https://t.co/drAhXLcbDQ #FoxNews"
10,"My friend gifted me this hat because I keep saying ""this country is headed down the drain"". https://t.co/uIGwLY02al"
11,"@ClayTravis That explains the free fall of our nation, quite literally. Can’t walk, can’t climb stairs, can’t ride a bike, can’t find his way into the White House, shakes hands with air, can’t put 2 sentences together….he’s the Supreme Commander-in-Chief."
12,It's as though President Trump had a time machine or a crystal ball. https://t.co/f9Bchwps4A
13,"RT @w_terrence: 80 Million people voted for a man who can’t walk and needs Training Wheels on his BIKE ? 

Joe Biden is not fit to run this…"
14,RT @w_terrence: https://t.co/1gUVftkYce
15,RT @w_terrence: Who Wore it Better ? Someone come take my phone. I need to stop 😂 https://t.co/PJiArXI16t
16,RT @ClayTravis: The world governing body of swimming has voted to ban men who identify as women from competing in women’s swimming competit…
17,"RT @TulsiGabbard: Biden said he's ""never been more optimistic"" for our country than he is now. He's been around a long time. Either he's ma…"
18,Tucker blasts Biden for setting FBI on woman who sold daughter's diary https://t.co/GvEcWf1AFF via @MailOnline
19,RT @TuckerCarlson: Dr. Fauci is Covid-positive. Despite double masking outside. Despite skipping Christmas. Despite his strict regimen of c…
20,"RT @ClayTravis: Remember, they’re the party of science. https://t.co/Q61AgZL9gu"
21,RT @RandPaul: “Sixty-seven senators opted to keep spending recklessly and bring the country to the brink of impending financial mayhem. Eve…
22,"@MattBraynard That's the problem when you hire people, not for the talent, but to check some boxes. As the other first of a kind in White House put it ""It is time for us to do what we have been doing. And that time is every day."""
23,RT @IAMDINGSOC: Destroying America   #BidenIsAFailure  #Bidenflation #BidenGasHike  #BidenGasCrisis  #BidenBorderCrisis  #BidensAmerica #Bi…
24,"RT @AskMeLaterOn: BID£NS…
“Build Back Better”
🚨O⃣P⃣E⃣N⃣ 2⃣4⃣/7⃣🚨

Massive ILL£GAL caravan heading to America…
#BidenBorderCrisis https://t.…"
25,@RandPaul @RandPaul  Please write a book 👇 https://t.co/jKheWtcwcR
26,"RT @RepMTG: Protecting your children from drag queen child predators is not a hate crime.

It’s being a good parent."
27,RT @elonmusk: USA birth rate has been below min sustainable levels for ~50 years https://t.co/v5PSLbvEAE
28,RT @RandPaul: Today I asked Fauci a simple question: Are there any studies that show a reduction in hospitalization or death for children t…
29,@pnjaban There is an alternate universe of which he is the president.
30,RT @pnjaban: Things that never happened
31,"RT @elonmusk: @TheTexanNews @MayraFlores2022 I voted for Mayra Flores – first time I ever voted Republican. 

Massive red wave in 2022."
32,@HimaForCongress HimaForCongress https://t.co/0EGCbxlek2
33,"@ABC Dutiful little minions follow through with Biden's wishes.
https://t.co/FmnwrrXNKC"
34,It's my fur baby's b'day today. She is a decade old. https://t.co/bR8Eb90r17
35,@OccupyDemocrats Was this poll conducted amongst dead people? All dead people vote democrat so no surprise there.
36,@ Historic Northville downtown https://t.co/4t2Yp0oEDs
37,"This picture was taken today at the Michigan Leadership Group’s “meet the candidates” event. While we see unity, left sees color and the ways to divide us. https://t.co/SeaZHAZBqH"
38,Had a blast at Islandfest (Grosse Ile) parade. People there are wonderful. https://t.co/BBwlcu91Jp
39,"@Charlieleduff I worked at TCF both days. @KristinaKaramo was with me on election night. We are now to take the ""election officials'"" word? 
Perhaps these officials were too busy reporting Republican poll challengers to the police -- who then handcuffed and escorted them out of TCF."
40,"On this Memorial Day, remember those who gave their lives so we can have parades and BBQs. 
#sacrifice #HonorTheFallen  #thankyou https://t.co/YdfORC5fMe"
41,"No one should have to deal with the depth of sorrow of losing a child. My thoughts and prayers are with all the hurting families of the victims of the Uvalde school shooting. 
https://t.co/tgeWuR8UXy"
42,Thank you for coming to the campaign launch. https://t.co/WLdKh5ppEg
43,"Going to be on WAAM Radio - A moment of clarity - @ 1 P. M 
https://t.co/JppIuH7EKn"
44,"This is not a left or a right issue. This is about individual liberty and limited government. I shall not let WHO dictate my life and health decisions. 
https://t.co/ROwGEfi8eb"
45,Join us on our campaign launch event this Sunday! https://t.co/Zx0wzlhvBy
46,"Had a great time at the 1st fundraising event with ""foundational members"". https://t.co/Hpv3BYnX2O"
47,"If you do not take an interest in the affairs of your government, then you are doomed to live under the rule of fools. - Plato"
48,"Those who say abortion is ""reproductive freedom"", please look up the meaning for ""reproduction"" 👇. Nothing is being reproduced by aborting and exactly the opposite is true - Abortion terminates reproduction. I am all for reproductive rights that result in actual reproduction. https://t.co/MQoJQWlzxc"
49,RT @USTermLimits: Thank you @HimaForCongress for signing the #termlimits on Congress pledge. https://t.co/HjRX966p3G
50,I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly.
51,"At the state convention, I loved doing what I got elected for as a precinct delegate. We elected the best out of the lot. Calling on all patriots to set aside petty differences and rally under one cause of taking back Michigan come November. Example below: https://t.co/oBPWZxx48R"
52,"Proud to have 5 of the Wayne 11th CDRC members running for different positions to serve the great people of Michigan. 
@KenCriderMI19th @jasonrhines @ballotpedia https://t.co/gr7tXEiLDB"
53,Submitted the nomination and am officially in the race. Phase 2 begins 👍🏽 https://t.co/DKn1U5vVLM
54,"On Easter Sunday morning at 1:30 AM, we counted 1334 verified signatures. Have an bigger pile that has not been verified yet. Overwhelmed and thankful for all the support. https://t.co/5VVTRko7Z8"
55,Happy Birthday @DetroitDivaPP https://t.co/PYvDoyON9U
56,Verifying signatures with my awesome team! https://t.co/c7sChXIGUf
57,With @LisaWerner &amp; @CelesteMentag https://t.co/0N0FKAuMkp
