Unnamed: 0,Text
0,Let me know when you’re ready to #moveforwardtogether https://t.co/MTc6CxEPat
1,@kashhill I heard your report this morning on the Daily. What they are doing has has election implications. They tried to use me as a guinea pig. Can we please talk?
2,"RT @darrenrovell: The guys at @RotoWear have, in the spirit of President Trump congratulating Kansas on the Chiefs win last night, made the…"
3,"@bridgetbhc just to be clear about my congressional bid in 20/8, I only explored a run and didn’t pursue the ballot. And I have suspended my 2020 campaign. Please amend your records"
4,@DanKess @RepJerryNadler @LindseyBoylan @JonathanHerzog5 In my mind the problem is not visas but  education/educational achievement. American students are not competing on a global level with countries like India when it comes to engineering and math. We are losing our competitiveness as a country. Education reform is needed.
5,Gov. Cuomo vetoes bill legalizing e-bikes and e-scooters. Good decision. #pedestriansfirst  https://t.co/wPKDwgy492
6,How is this even remotely possible?  https://t.co/b7g1yRaDvJ
7,This is completely #immoral. https://t.co/YoSK2n5Qaw
8,RT @mcooperco: #2020 Congressional Candidate @HollyLynchNY for quoted_magazine. “This is my radiation mask. I was strapped down while they…
9,How is this possible? We’ve known about this storm for days. Why weren’t precautions taken? https://t.co/6l3BTfXF9A
10,This is something to be #thankful for! #Happythanksgiving2019  https://t.co/8F2f31leYi
11,"West Villager publicly shames dog, walker for making tree a 'toilet‘I agree! People are doing it all the time uptown too. #curbyourdog  https://t.co/3LkLKijBf0"
12,"Huge loss for the district. Please support local businesses, they are the backbone of our community!
https://t.co/ab4PZSetyY"
13,It's time for investment and action. https://t.co/v6eS2fxHqk
14,RT @eleanorslegacy: @hollylynchny https://t.co/UEkgst8JUx
15,RT @eleanorslegacy: It's #NationalRunforOfficeDay! ✨🗳️ Your community needs you. Are you a pro-choice Democratic womxn in New York? Get at…
16,"@eleanorslegacy Yes, I am!"
17,@EmanuelSpeaks @RamonaMassachi @riverhawkfox @DanWhitCongress @lorenaforsenate @Romanoff2020 @tedterry1 @KimberlyforIowa @StevenCoxUSA @BetsySweetME @BeeKay4ME @LisaForMaine @NaturalGuard @BohrenJensen @CollinsWilmot @EricaforUSSen20 @JustinWootonSC @_SemaHernandez_ @paulajean2020 @ForWyo @CongressEva @AnitaMalik @audrey4congress @rozacalderon @CongressLawton4 @kishineff @BAEforCongress @BurdickCA7 @ShahidForChange @AgathaBacelar @rishikumar1 @KimWilliamsCA16 @PhilArballo2020 @KatieHill4CA @Maebe_A_Girl @Angelica4CA @CJ4Congress2020 @FrancesYasmeen @RealSteveCox @nettles2020 @amandapfrankel @VoteAshcraft @rhabersham @tomas4congress @SamelysLopez @JamaalBowmanNY @MondaireJones @TedraCobb @votemorelle @dana_balter Congrats!
18,RT @EmanuelSpeaks: @hollylynchny @RamonaMassachi @riverhawkfox @DanWhitCongress @lorenaforsenate @Romanoff2020 @tedterry1 @KimberlyforIowa…
19,@RamonaMassachi @riverhawkfox @DanWhitCongress @lorenaforsenate @Romanoff2020 @tedterry1 @KimberlyforIowa @StevenCoxUSA @BetsySweetME @BeeKay4ME @LisaForMaine @NaturalGuard @BohrenJensen @CollinsWilmot @EricaforUSSen20 @JustinWootonSC @_SemaHernandez_ @paulajean2020 @ForWyo @CongressEva @AnitaMalik @audrey4congress @rozacalderon @CongressLawton4 @kishineff @BAEforCongress @BurdickCA7 @ShahidForChange @AgathaBacelar @rishikumar1 @KimWilliamsCA16 @PhilArballo2020 @KatieHill4CA @Maebe_A_Girl @Angelica4CA @CJ4Congress2020 @FrancesYasmeen @RealSteveCox @nettles2020 @amandapfrankel @VoteAshcraft @rhabersham @tomas4congress @SamelysLopez @JamaalBowmanNY @MondaireJones @TedraCobb @votemorelle @dana_balter @EmanuelSpeaks Thank you!
20,RT @RamonaMassachi: @riverhawkfox @DanWhitCongress @lorenaforsenate @Romanoff2020 @tedterry1 @KimberlyforIowa @StevenCoxUSA @BetsySweetME @…
21,Opinion | Chuck Schumer: A Bold Plan for Clean Cars - The New York Timesavers. A great example of the #bold #progressive #change needed from our leadership in #Congress  https://t.co/sragOwKTgg
22,"A great day in New York and a well-deserved tribute to Sojourner Truth, Ida B. Wells, and Mary Church Terrell. Can't wait to see this unveiled in Central Park. https://t.co/utawNXC3Nb via @gothamist"
23,"Thank you Geri, for your continued support. https://t.co/re2Va1FXdO"
24,Congratulations to the #AllWomenSpacewalk team! Today you didn’t just make history - you became real-life super hero’s to so many women and girls.
25,"Congressman Elijah Cummings was a fearless leader, a protector of democracy, and a fighter for the people of Maryland. We will miss his strength &amp; leadership greatly.

#RIPElijah"
26,"RT @GabrielReichler: @riverhawkfox Many districts have multiple progressive candidates, eg @LindseyBoylan, @amandapfrankel and @hollylynchn…"
27,Yes. I do support #SinglePayer
28,"Yes, I do support #SinglePayer https://t.co/3L1p0rKb2G"
29,"World's richest man cuts health benefits for 1,900 Whole Foods workers - Front Page Live this is #outrageous  https://t.co/gIcOqkTiii"
30,RT @JSilverman22: @hollylynchny @AmithNagarajan @InvestorDiane @lo_toney @jkhoey @cmgutierrezjr If you're an LP and consider yourself under…
31,RT @PGarryDuncan: .@LaconiaCapital recognizes the importance &amp; value in a fully inclusive venture ecosystem. Please read our just published…
32,"On this beautiful evening in New York, Happy Rosh Hashanah!  May all who celebrate have a sweet New Year filled with good health, happiness, and many blessings. L'Shanah Tova! https://t.co/ZH4DN22HiJ"
33,"That includes the response to the latest revelations that Trump, as President of the United States, approached another foreign power to interfere in our democracy.  A truly breathtaking report by @alancullison, @rebeccaballhaus and @dnvolz.

https://t.co/iEh6ZdfdUE"
34,"As I said to @nikkischwab re: the Lewandowski hearings -They were sloppy.  But really it goes beyond that.  The approach Democratic leadership has taken to impeachment has been sloppy.
https://t.co/LliMDPxFBD"
35,"It’s amazing to see so many New Yorkers ready to #RiseUp for bold, progressive change in #NY10.  Thank you all to all who are at our campaign launch.  Together we will make a difference! https://t.co/M2LthRa1iP"
36,Today we remember those we lost.  We remember those who sacrificed their lives to save others. We will always remember the enduring New York spirit to rise up in the face of adversity. #AlwaysRemember #NeverForget #NYC https://t.co/D0xU437ewT
37,RT @MeetMckayla: Today marks 18 years since the day my aunt went to work at the Pentagon and never came home. I miss her a lot and wish she…
38,"When it comes to climate change, we don't have time.  Trump is destroying our future to benefit corporate interests and polluters.  

This is a matter of justice.  We need to rise up against climate change now. 

#ClimateChange #justice 

https://t.co/W7h1EzyRtO"
39,"RT @GabrielReichler: Happy Labor Day!  Go, @JCisnerosTX!  We love you and honor the sacrifices of your parents and all the other underappre…"
40,@KBWhit Great to chat @KBWhit let me know how #nycdems can help you!
41,"RT @MurdockResists: @KBWhit @hollylynchny It is time women had equal representation! If men can network, women can too! You are #StrongerTo…"
42,Thanks! https://t.co/fhiBFoyLb7
43,"The “P” in Trump’s E.P.A. is entirely meaningless. 

This piece by @LFFriedman and @CoralMDavenport highlights yet another horrifying example of deliberate environmental destruction.

https://t.co/KiBROHsgXy"
44,"Dropping a nuclear bomb into hurricanes is literally the plot of Sharknado.  It wasn’t funny then, and it’s even less funny coming from the Oval Office.

https://t.co/GCRAOsxRbV"
45,Fires in the Amazon : #CharityNavigator recommends these charities if you want to help address the #ForestFires in the #amazon. #riseup4theamazon https://t.co/ZWyUdLRQK3
46,"I’ve said it before: #climate change is a justice issue.  Our must vulnerable will he hit the hardest.

We must take bold action now. 

https://t.co/fSs8Auiyti"
47,"Access to clean drinking water is a human right.  These sorts of crises hurt our most vulnerable communities disproportionately.  

We need to make critical investments in infrastructure now.  It’s a matter of humanity and justice. 

https://t.co/10FxpBnP2K"
48,RT @BBCWorld: Big rescue operation in Poland to find trapped cavers https://t.co/UQtO5TQHpP
49,"RT @TerranceCoffie: Had a great time with Community College Transfer Opportunity Program-NYU alumni, colleagues and friends at our first an…"
50,It’s time for change. https://t.co/7Ncd2v4mZf
51,@TerranceCoffie you are an inspiration and role model for us all. https://t.co/hVZcvW7Fg7
52,"RT @GabrielReichler: I've got a little tip for you, @NYGovCuomo: next time you want to try to install a corrupt DA, perhaps try NOT mixing…"
53,@CityAndStateNY @DHSgov @NYUCGA @johnshegerian @ERInternational @NYCEDC @splunk @RecordedFuture @NewYorkFBI @NYPAenergy @PANYNJ @NYCHealthSystem @jonathanlentz @NYDFS @LindaLacewell @Annie_McDonough @jaineytweets @JustinBrannan @nyrr @TweetBenMax @GothamGazette @DRichards13 Great to join the important conversation.
54,RT @CityAndStateNY: @DHSgov @NYUCGA @johnshegerian @ERInternational @NYCEDC @splunk @RecordedFuture @NewYorkFBI @NYPAenergy @hollylynchny @…
55,RT @CityAndStateNY: @DHSgov @NYUCGA @johnshegerian @ERInternational @NYCEDC @splunk @RecordedFuture @NewYorkFBI @NYPAenergy @hollylynchny @…
