Unnamed: 0,Text
0,It's time for politicians to put the talking points away and get back to following the letter of the law in our Constitution. #OutrageOfTheWeek https://t.co/aGDQgm2vXb
1,"Many families dream of owning their own home, but with our struggling economy under Joe Biden and Jennifer Wexton’s rule, this is becoming less of a reality for far too many Virginians. #VA10 
https://t.co/VB4PHH825T"
2,Just because you don't like the outcome does not allow you to call for violence nor should it result in a call such as the one Congresswoman Wexton made today to end the filibuster and change the rules to ensure they will always get their way. #CaoForCongress https://t.co/Zb8Bpzs7FK
3,"I am thrilled to see the Justices stand by their careful reading of the law, sending this matter back to the people of Virginia to decide for ourselves through our elected representatives. In Congress, I will always support life. #SCOTUS #ProLife https://t.co/0BYcvqwugO"
4,"Thanks to the Biden-Wexton inflation, we are still unable to get back to normal this summer. I'm running to keep the Democrat-majority accountable for this economy. We can't allow the price of gas &amp; groceries to continue hurting families in #VA10
https://t.co/cKvx4xs7HS"
5,I’m running to unite all of #VA10 behind the core values of what it means to be American. Thank you to @FoxNews for joining me out on the campaign trail! https://t.co/xr4HsakhnS
6,"During my service in the Navy, the only thing that mattered for my brothers &amp; sisters in arms was the American flag on our uniforms. This type of divisive &amp; harmful curriculum is not appropriate in our childrens' classroom or our military academies. 
https://t.co/by3o2Ps1H0"
7,"🚨NEW: Sabato’s Crystal Ball shifts #VA10 rating towards Hung Cao as race becomes one of the most competitive in the country. Voters have had enough of the Biden-Wexton agenda. 

Join the team TODAY ➡️ https://t.co/wRdjxKizWn"
8,📰Navy Vet Who Fled Vietnam War Looks to Take Back Virginia’s 10th Congressional for GOP #VA10 https://t.co/egdwqWIGTO
9,"RT @FoxFriendsFirst: @HungCaoCongress prioritizes education and inflation as he looks to flip the Congressional seat in Loudoun County, Vir…"
10,"A lot of politicians say they will fight for our American values, but how many have actually put their lives on the line for what we believe?

I’m a Navy veteran, problem solver, and community leader. I'll be ready on DAY ONE to represent all of #VA10 https://t.co/aAzjSalzNT"
11,"This Friday I will be attending the Loudoun County GOP Jamboree. I’d love tomeet you and discuss issues at the top of mind for you and your family. Come enjoy the live music and activities for the whole family– hope to see you there! #CaoForCongress
https://t.co/MyT4TnTxR3"
12,"RT @DerrickforVA: Thank you @HungCaoCongress for your support! 

I hope to earn your vote in the #VA07 primary TOMORROW! Polls are open fro…"
13,"🗳️Hey #VA07: Get out there and vote for my friend @DerrickforVA in tomorrow's primary! Together, we'll take back the House this November and get our country back on track. https://t.co/jpIRCKQ8OB"
14,"⛽️Virginia: If we don’t hold Wexton &amp; Democrats accountable for the rising price at the pump, we’re not too far away from seeing California prices like these in our own backyard. #BidenGasCrisis https://t.co/l29f8tPQwL"
15,"my wife &amp; her brother may be better off. I know that their sacrifice has propelled us forward in our lives, and I hope that my years of service in the Navy and future work in Congress will allow my children to have a brighter future in a freer country. (2/2) #FathersDay https://t.co/w5pf7WCtWW"
16,It’s every father’s dream for their children to be more successful than they were. My father worked tirelessly overseas just for the opportunity for me &amp; my sisters to go through college in their new country. My father-in-law worked on the railroad for forty years so that.. (1/2)
17,"Across the country, voters are turning away from the divisive politics of Nancy Pelosi and Jennifer Wexton. Let's unite the people of #VA10 together and elect #HungCaoForCongress https://t.co/fmbVGrPVaL"
18,I will be at the Amissville Fire and Rescue Parade next Thursday at 6:45pm! Come enjoy the festivities and discuss issues facing our district! #CaoForCongress https://t.co/G77x8k3LJN
19,"Do we think Biden and Wexton regret killing the Keystone XL Pipeline? With gas reaching nearly $5 in #VA10, I know the people of Virginia sure do! 
https://t.co/6PURwwZf8g"
20,"I'm focused on building strong coalitions throughout our district to tackle the issues Joe Biden and Jennifer Wexton have failed to address. It's an honor to receive the support of @JackBergman_MI1, and I thank him for his faith in me! #CaoForCongress https://t.co/6iWnOnzZ54"
21,"Add this to the list of foriegn policy disasters under the Biden-Wexton agenda. Virginians are looking for a common-sense approach to foriegn policy and border security. With my 25 years in the Navy, that’s exactly what I’ll bring with me to Congress. 
https://t.co/NutA2TcsQD"
22,Come out and show your support for me tonight in Middleburg! I want to hear from the people of #VA10 so that I can best represent YOU in Washington. Lets vote Wexton and Biden’s failed policies OUT this November.  #CaoForCongress https://t.co/gMP9vNiEL7
23,"Virginians are struggling to keep up with these outrageous gas prices. Just a year ago, the national average was at $3.08. Still no solutions from Joe Biden and Jennifer Wexton. #VA10
https://t.co/rDra3JOUfJ"
