Unnamed: 0,Text
0,"@jonstewart I’m just following in your lead @jonstewart. You sir are the Badass. We’ve had convos about all you do and how important you are to this fight, and I truly can’t thank you enough. In the immortal words penned by Randy Newman; you’ve got a friend in me."
1,"After 20yrs of war the total cost has yet to be paid. Like my friend @jonstewart says; you can’t not pay for the steak because you didn’t know how expensive the sides were. @VetAffairsDems @HouseVetAffairs @BlackVetProject 
@Burnpit360 @iava @SVACGOP @DAVHQ @WWP_DC @VFWHQ https://t.co/X3XhioR9tA"
2,"See you on the high ground, brother. https://t.co/og6wqO9UPZ"
3,"@jonstewart Again, Jon, I can’t even begin to thank you for using your platform to help bring a voice to the voiceless. We’ve had private conversations about this issue and you know how I feel. I will always consider you a brother because of how tireless and selfless you are on this issue."
4,"Say his name! SSG Wesley Black. 
After 20yrs of war we must take care of those who laid it all out in our name. Thanks to @SenGillibrand for standing with us.
@VetAffairsDems @HouseVetAffairs @BlackVetProject 
@Burnpit360 @jonstewart @iava @SVACGOP @DAVHQ @WWP_DC @VFWHQ https://t.co/OjN99AP3LW"
5,"Build back better?
Slashed from $3.5T to $1.75T
No universal pre-k
No raising the corporate tax rate
No paid family leave 
No free college 
No billionaire tax 
No lowering of Rx drug prices.

The more things “change” the more they say the same.
#Budget2021 #BuildBackBetter"
6,I’m what universe is this acceptable? https://t.co/5xplqZNAVE
7,"We spent 20 yrs
$6Trillion dollars 
6,334 American lives 
47,245+ Afghan lives(underreported)…. Just to replace the Taliban with the Taliban.

The same ppl who told us we COULD afford war are telling us we CAN’T afford to bolster the social safety net. 

I call bullshit."
8,"🚨BREAKING NEWS🚨…………

Healthcare is a human right."
9,*in
10,"Americans have nearly $2 Trillion is student loan debt.

Americans have nearly $1 Trillion in medical debt.

Americans have nearly $800 Billion in defense spending, per year.

I’m no math genius, but something’s not adding up."
11,@BoogerLeader @TheProblem You’re right. I shouldn’t ever speak on this subject. I’ll defer to you. Thanks for making me see your pint of view. I’m out l.
12,@BoogerLeader @TheProblem Three words to such a complex subject? Ok.
13,"RT @PaulRieckhoff: Powerful stuff from @isiah4congress here. 

And @jonstewart makes a yet another good point. #BurnPits will be for the pe…"
14,"RT @TheProblem: ""There is no such thing as a just war."" https://t.co/bXyvwQhYek https://t.co/39L7jCmwcd"
15,@Alex_Kack I’m just one of many. I’m grateful that the folks @TheProblem gave me an opportunity to help shed some light on this serious and overlooked issue.
