Unnamed: 0,Text
0,RT @PhyllisDHHall: Democrats tried that but every republican voted against it. Elect pro-choice candidates! I will support codifying Roe v.…
1,"RT @PhyllisDHHall: Republicans say they are pro-life. Since they wish to force women to give birth, they must be willing to provide care fo…"
2,"@LCDCAlabama Well, technically, there’s nothing illogical about the statement. A total ban is still “some”, logically speaking.
But, we often use “some” practically to refer to “a little bit”, and there’s certainly a great difference in “a little bit” and “total ban”."
3,RT @capitolhunters: The Capitol attack was a messy mix: an army of Proud Boys; small crews with jobs; riled-up “normies”; bused-in groups t…
4,@aprylmarie @BaldwinDemsAL @TabithaK @jeff_poor @WaltMaddox Here’s a good graphic to explain why you’re just being ridiculous https://t.co/D8cFSsWEzH
5,"@aprylmarie @TabithaK @BaldwinDemsAL @jeff_poor @WaltMaddox You have no right to inspect someone’s genitals when they tell you they belong to some gender. Since 100% of people aren’t easily categorizable into two genders, and since you can’t invade their privacy to check, you ought to just take their word for it instead of making a fuss."
6,@aprylmarie @TabithaK @BaldwinDemsAL @jeff_poor @WaltMaddox Two things: the fact that it’s not a cut and dry 100% of people who can be easily categorized by one of the two genders means that there is some factor besides what you’ve mentioned that constitutes whether someone is a man or a woman. Second…
7,"@aprylmarie @BaldwinDemsAL @TabithaK @jeff_poor @WaltMaddox Hah, now they’re part of YOUR partisan talking point. Nice one"
8,"@aprylmarie @TabithaK @BaldwinDemsAL @jeff_poor @WaltMaddox Personally, I think the only reliable way to determine what someone’s gender is is to take their word for it"
9,"@aprylmarie @TabithaK @BaldwinDemsAL @jeff_poor @WaltMaddox Well, I think it at least blurs any concrete definition of what a woman is, and I think, for the same reasons, it blurs any definition of what a man is. So, at that point, what specific thing exclusively differentiates all men from all women?"
10,@aprylmarie @TabithaK @BaldwinDemsAL @jeff_poor @WaltMaddox What about intersex people? There are literally people born with XX chromosomes and have a penis.
11,@aprylmarie @BaldwinDemsAL @TabithaK @jeff_poor @WaltMaddox Absolutely
12,"@aprylmarie @TabithaK @BaldwinDemsAL @jeff_poor @WaltMaddox I can’t define woman, you’re right. Would love to see your definition"
13,"@aprylmarie @TabithaK @BaldwinDemsAL @jeff_poor @WaltMaddox More like, human rights or the highway"
14,@aprylmarie @TabithaK @BaldwinDemsAL @jeff_poor @WaltMaddox The other side has to have policy before it can differ with ours…
15,@TabithaK @laneclemons And they thought the recent labor shortage was bad
16,@BaldwinDemsAL @jeff_poor @WaltMaddox You just have to buy into Jeff’s worldview in which you don’t give a fuck about that single adult female
17,RT @RepSouth16: If we can “cast lots” to decide election outcomes why can’t we have a real conversation about gaming/lottery in Alabama #al…
18,RT @PhyllisDHHall: The Supreme court’s decision to overturn Roe v. Wade is outrageous. Denying women the right to control their own bodies…
19,"RT @DougJones: Lu and I went to the Rally for Reproductive rights here in Birmingham today. Lots of energy out there!

As MLK said: In the…"
20,RT @Josh_Moon: If in the last couple of days you've thought it clever to make some comparison between women making health care decisions &amp;…
21,RT @ben_hallman: Big win for my hometown! City of Huntsville and HPD awarded distinguished Golden Padlock award by national journalism org…
22,RT @_Rest_less_: https://t.co/7nCdC9zgTB
23,@TTuberville You’re dumb because you can’t read your own holy book well enough to see that you’re really the devil’s advocate
24,RT @RepRaskin: The House passed the Women’s Health Protection Act months ago to codify Roe. The Senate must reject the filibuster and pass…
25,RT @TerellAnderson: #prochoice https://t.co/Pia4z1rkJ4
26,"RT @PramilaJayapal: The House took action to codify Roe and protect abortion rights MONTHS ago.

The ball is the Senate’s court. End the fi…"
27,"@BenLaurence9 Hopefully some states will be able to implement workarounds until we get more meaningful action on the federal level. Alabama is about to plunge deeper into fried hell, though :/"
28,RT @AUCDems: Abortion is healthcare
29,"RT @POTUS: Today is a very solemn moment for the United States.

The Supreme Court expressly took away a Constitutional right from the Amer…"
