Unnamed: 0,Text
0,RT @VoteforSharp22: @SenatorLankford for 68 straight days you have refused to debate @JacksonLahmeyer. It’s all in my tweet history. Let’s…
1,RT @danagirl262: I’ll vote ⁦@JacksonLahmeyer⁩ for US Senate 2022. Hands down conservative with no Rino IV dripping into his veins. #GodKnow…
2,RT @TheCalvinCooli1: I once again officially endorse @JacksonLahmeyer in Oklahoma Senate Race. Jackson Lahmeyer has my complete and total e…
3,RT @HippityFrog: If you live in Oklahoma. Vote for @JacksonLahmeyer he will a great in the senate and a great upgrade over Pedo Lankford
4,RT @RogueOkie73: @SenatorLankford hiding in the basement like Joe Biden!  Oklahomans can’t #trust anyone afraid of debate!  #typicalpolitic…
5,RT @david_darmofal: Senator James Lankford must resign from the United States Senate. There should be a national call for this.
6,"💥NEW ENDORSEMENT💥 OCPAC (Oklahoma Conservative Political Action Committee) has just endorsed #LahmeyerForSenate 🇺🇸 

Grateful to be endorsed by:
Gen Flynn
Roger Stone
@RudyGiuliani 
@SebGorka 
@okhprbears 
@ogwausa
Oklahoma Second Amendment Association 
And so many others! https://t.co/lyXQN9ORZ1"
7,RT @danagirl262: @JacksonLahmeyer IS the only choice for US senate Oklahoma. Vote #lahmeyer on Tue June 28. #fireLankford
8,RT @danagirl262: Sheridan Christian in Tulsa OK celebrated #life today for Supreme Court sending abortion ruling back to the states. @Jacks…
9,"RT @WinAmericaPAC: James Lankford is a loser, a creep, and a RINO.

Oklahoma, vote @JacksonLahmeyer on Tuesday!"
10,"RT @SaveLibertyUS: Oklahomans, get out to vote this Tuesday (June 28th)! Vote for: @jacksonlahmeyer @drrandygrellner @kevinrhern @johnbenne…"
11,"RT @PatriotPlumber9: @jameslankford is a coward and will not debate @JacksonLahmeyer 
Time to remove james from office. VOTE JACKSON!"
12,RT @VoteforSharp22: @SenatorLankford since we are on day 67 of you dodging @JacksonLahmeyer why don’t you debate him tomorrow night?  I thi…
13,"RT @VonnieLicious: #OKLAHOMA 
✅We must fire James Lankford! 
This Tuesday vote for a Patriot Fighter, not a turncoat traitor like James Lan…"
14,RT @ok_patriot4: @BASEDMr_Incred @JacksonLahmeyer I can’t wait for @SenatorLankford to be out—such a disappointment and I had such high hop…
15,"RT @ItsJustMeehEh: Goodbye @jameslankford U promised THE 1st time I VOTED 4 U that U wouldn't serve more than 2 terms.

Now this? Say U're…"
16,"RT @VonnieLicious: In a 2010 deposition in the case, given a week after he was elected to his first term in the U.S. House, Lankford testif…"
17,RT @TheCalvinCooli1: I would highly encourage everyone to watch this video from @RealPData on @JacksonLahmeyer. There is a reason as to why…
18,RT @RealPData: Jackson Lahmeyer for Senate https://t.co/CkoxZWskbJ
19,RT @ginasfia: Learn the Truth About James Lankford https://t.co/ML99tCZsR8
20,RT @ChuckCallesto: BREAKING REPORT:  Just 3 days from the Oklahoma Primary AMERICA FIRST GOP CANDIDATE Jackson Lahmeyer surges following th…
21,RT @PopulistFirst: .@JacksonLahmeyer is the true America First candidate in this race! James Lankford is an establishment globalist RINO th…
22,"RT @TWShannonFan: Every republican in Oklahoma should vote for @JacksonLahmeyer on Tuesday. Not only is James Lankford a RINO, he has also…"
23,"RT @eric_stutzman5: It’s now official that James Lankford URGENTLY needs to lose his primary on Tuesday: vote for @JacksonLahmeyer 
https:/…"
24,"RT @ogwausa: Remember who voted to confirm Biden's anti-American AG Merrick Garland: OK Sen. James Lankford.

VOTE him out on Tuesday and e…"
25,RT @LTP209: Can't wait for Senator Lahmeyer
26,"https://t.co/DIMeMKcqUA

https://t.co/kNZujcZnaG"
27,"Here is a stark difference between me and @jameslankford👇

I want to cut off all federal funds for public schools who try to sexualize our children. 

Lankford said under oath in a deposition that a 13 year old can consent for sex.

We need a Lahmeyer vs Lankford debate ASAP! https://t.co/V35t72oGxO"
28,RT @VoteforSharp22: When you go to vote in the Oklahoma primary on 6/28 do not forget that @SenatorLankford has refused to debate @JacksonL…
29,RT @FreedomfanR: Upon hearing James Lankford argued back 13 year olds can consent to sex. I am now breaking my neutrality on the race and e…
30,"RT @Bluephish13H: Yeah this is disgusting, I officially endorse @JacksonLahmeyer"
31,"“Bless the Lord, O my soul: and all that is within me, bless His holy name” - Psalm 103:1"
32,"RT @BASEDMr_Incred: On Tuesday also vote for @JacksonLahmeyer in Oklahoma for United States Senate! Hopefully, we'll successfully primary o…"
33,RT @ok_patriot4: Looking forward to Tuesday when Okies vote out RINO @SenatorLankford and vote in @JacksonLahmeyer #noincumbents
34,RT @MachoSid1: @JacksonLahmeyer Oklahomans it is time for you to vote for Jackson lahmeyer. James lankford has been disastrous.
35,RT @gldnflash23: Does @SenatorLankford realize he is in an Oklahoma primary senate race? @JacksonLahmeyer is definitely out working Lankfor…
