Unnamed: 0,Text
0,100% https://t.co/SEAYSLo9C6
1,Spot on @sjwasserman ! https://t.co/flcH0tri3t
2,"RT @davidhogg111: Gun owners are contacting me asking what they can do. Right now here’s what I need you to do. 

Tweet #GunOwnersForSafety…"
3,@KristanHawkins Must drive you nuts that your favorite musician is such an advocate for women’s rights…
4,The things people choose to care about…
5,"RT @ProgressNowCO: So say we all. #SorryAboutBoebert #copolitics #co03

Get yours while they last: https://t.co/FPwSZg9qI6 https://t.co/ZtH…"
6,@clutchedyhutch https://t.co/zlo9FamA8L
7,"RT @katierogers: “If you’re in Michigan and 18+ pls for the love of god do not vote for my dad for state rep. Tell everyone,” Stephanie Reg…"
8,"@Qbertglock This is out of date. Dems: Debby Burnett, Sol Sandoval, Kellie Rhodes, Root Routledge, Donald Valdez, Colin Wilhelm, Scott Yates; Repubs: Lauren Boebert, Marina Zimmerman, Don Coram"
9,"@DirtRoadie @Stephen81401 😂 If you guys would really like to have a discussion about this, feel free to drop into our monthly CD3 meetings at any time. @LaPlataDems can get you the info."
10,@Stephen81401 @DirtRoadie @DurangoHerald @LaPlataDems @indivisibledgo I have no problem with independents voting for whomever they would like in the primary. I’ve made my points about why unregistering for this purpose is a poor strategy to get the best representation in CD3.
11,"@Stephen81401 @DurangoHerald @LaPlataDems @indivisibledgo A. Boebert, B. Doesn’t matter, will vote with McCarthy and R’s either way, C. It does, instead of working to grow the Democratic base and engage with the community to win Dem votes from U voters, volunteers are focusing on persuasion to vote in the R primary."
12,"@Stephen81401 @DurangoHerald @LaPlataDems @indivisibledgo Democrats actively involved in the party lose their ability to participate when they unregister, particularly in elected and volunteer positions within the party. Resources critical to voter registration and community engagement are thus redirected. This is purely a distraction."
13,"@Stephen81401 @DurangoHerald @LaPlataDems @indivisibledgo While Boebert is clearly a loud-mouthed idiot, who in no way is a good representative for our district, she has absolutely no power in Congress and will vote lock-step with the Republican Party. Electing Coram won’t change that, we need to unite and invest in flipping this seat."
14,"@Stephen81401 @DurangoHerald @LaPlataDems @indivisibledgo In today’s divided government, voting party over person is most important and we have an obligation to elect Democrats to stand up for women’s rights, voting rights, and all of the policies we know best support the residents of CD3."
15,@Stephen81401 @DurangoHerald @LaPlataDems @indivisibledgo Encouraging conservative leaning unaffiliated voters to oust Boebert in a primary is fine. Unregistering as a Democrat to vote in the Republican primary pulls resources and upends the party infrastructure needed to elect a Democratic representative for CD3.
16,@Stephen81401 This is a shortsighted and poorly thought out strategy. @DurangoHerald @LaPlataDems @indivisibledgo
17,The obscene behavior of the DCPS board made national news. https://t.co/gg3iL6zyHm
18,Bengals!! I love it!!
19,"RT @AppleMusic: The home of Neil Young.

Listen to his entire catalog on Apple Music: https://t.co/sUGtz4JbB9 https://t.co/YgRMygUqhi"
20,RT @PeteLeeColorado: We need to treat mental illness &amp; substance use disorders like we would treat any other illness &amp; expand access to car…
21,"Had to confirm cancellation about 6 times, but successfully cancelled our @Spotify premium subscription. I support @NeilYoungNYA"
22,"RT @EmilyForCO: Or what about this instead:

Tax the rich, Mitch; 
Give the rest a break, Jake; 
Don’t defund the schools, Jules; 
and let'…"
23,@washingtonpost @SashainDenver
24,"RT @AriBerman: If you watch one thing today, make it MLK on the filibuster in 1963:

“I think the tragedy is that we have a Congress with a…"
25,@washingtonpost So true!
26,"@laurenboebert Two great policies in two days…supporting the national popular vote, and ending corporate subsidies! What bizarro world did I wake up in?"
27,"A roller coaster of emotions today, as my oldest kiddo turns 5, and we remember the insurrection that threatened (and continues to threaten) the very core of our democracy. I choose hope, not despair, for the sake of our future generations."
28,"@RuralCOUnited The book deal suggests a run for higher office, although trying to move up with a 25% approval rating, the lowest of all elected officials in CO, would not be advisable. But, ego trumps logic with this one…"
29,@elgoldbaum This was me at 10:00 last night! Who has C batteries lying around?
30,My Twitter account was hacked and taken over for the past 24 hours. My apologies for apparently offering free PlayStations yesterday…I have no PlayStations 😔
31,@PS5restocks_etc FIRST COUPLE PEOPLE TO LIKE THIS TWEET GIVE US A PRIVATE  MESSAGE WE WILL SELL THEM A #PS5 FOR NEAR RETAIL PRICE 🚨👇🏻  https://t.co/pye9cgUL9N
32,"@Jake_Randall_YT Hey Twitter family , I have two extra #ps5 consoles that I do not need and I know these are hard to come by , Retail price is all i’m asking. I can ship anywhere in the USA 🇺🇸 https://t.co/pye9cgUL9N"
33,"@GameSpot 🚨🚨PS5 IN STOCK🚨🚨
( only) 🇺🇸🇺🇸🇺🇸
 First couple followers to Like this tweet and give us a DIRECT MESSAGE we will sell them a #PS5 for near retail price #PlayStation5 https://t.co/pye9cgUL9N"
34,"@PS5Drop Hey Twitter family , I have extra #ps5 consoles that I do not need and I know these are hard to come by , Retail price is all i’m asking. I can ship anywhere in the USA 🇺🇸 https://t.co/pye9cgUL9N"
35,"@Jake_Randall_YT 🚨🚨PS5 IN STOCK🚨🚨
( only) 🇺🇸🇺🇸🇺🇸
 First couple followers to Like this tweet and give us a DIRECT MESSAGE we will sell them a #PS5 for near retail price #PlayStation5 https://t.co/pye9cgUL9N"
36,Thank you @SenatorBennet for your leadership in expanding the Child Tax Credit and cutting childhood poverty in half! https://t.co/dHPCI66nWT
37,And @laurenboebert voted against it...great analysis by @D3Colorado of the much needed support the #ARPA gives to the people of Western and Southern Colorado. #CO03 https://t.co/xUA1WigdZh
38,Is anything about @laurenboebert real? #CO03 https://t.co/WIezhOSVah
39,@Qbertglock @coloradodems @laurenboebert followed. boom.
40,"@fortkimber @coloradodems @laurenboebert we'll be in touch, this is a all-hands-on-deck effort"
41,@aviva1964 @coloradodems @laurenboebert working on building the infrastructure as I tweet
42,"Hey friends, just got back from a family vacation, but am proud to announce I was elected Chair of CD3 for @coloradodems Grateful for the opportunity to serve and organize our party to ensure @laurenboebert does not get another term. #CO03"
43,"If this is true it is completely unacceptable behavior by our elected officials.

Our representatives swore to protect the Constitution from all threats, and if any members have worked against that they must be investigated and held accountable.

https://t.co/x0C9bJDNqP"
44,"We need to recognize these individuals for who they are, terrorists. The actions of these people have turned our country down a destructive path

Everyone responsible for what is happening today needs to be held accountable, the future of our republic relies on it."
45,"The actions unfolding at our nationals capital are completely reprehensible. These rioters have twisted the values our country was founded upon, the steps that they have taken to escalate violence are a slight to those who fought to create and protect the freedom we all hold dear"
46,"RT @danbbaer: Not true. In fact, less than 48 hours after the election had been called Donald Trump’s transition team was able to use the S…"
47,RT @davidaxelrod: Wow
48,We've got only 2 more days and we need to make sure that every voter get the opportunity to vote. Help make sure @RepDMB represents #CO03 in Congress next year https://t.co/Xn7VDpwe5P
49,I'm good. I don't need a tax cut. Vote no on 116 https://t.co/WvchmMoDSN
50,Tonight we lost a titan. RIP Justice Ginsburg https://t.co/JZFjEcoHDy
51,"Conservation, crop diversification, and investment in healthy soil are necessary actions for sustainable agriculture as climate change worsens. https://t.co/d6jkroyiwP"
52,Score another win for our public lands! https://t.co/0gu3CH9ysO
53,"Finally some good news, 1000 new jobs to Pueblo! https://t.co/MbikE70Bs5"
54,"“The measure of wealth in a civilized nation is not the currency accumulated by the lucky few, but rather the strength and resonance of social relations and the bonds of reciprocity that connect all people in common purpose.” https://t.co/sdiWUSFLS9"
55,"RT @CPRBrundin: Were teachers consulted? Do they know what they'll be doing? Can they pull off a hybrid model? Do they have childcare? 
Col…"
56,Congrats to @SpaceX and the Dragon crew on a successful mission! https://t.co/MiXgr1jdqQ
57,@mulcahy_rm @PodSaveAmerica 🙌
58,"Come on @RepTipton, your political career is over, just do one right thing for future generations of Coloradans! https://t.co/hTFbqU9Qij"
59,Well done @RepJoeNeguse! https://t.co/rx4wYFc8l6
60,"RT @BarackObama: Not many of us get to live to see our own legacy play out in such a meaningful, remarkable way. John Lewis did:

https://t…"
61,"RT @MarkCavanaugh3: Hey Colorado! @FairTaxColorado is a good idea🤔 We currently tax high, middle &amp; low income at the same rate. This plan r…"
62,"We must not let this President silence us, our voices will be heard! https://t.co/Vao9lgKXpL"
63,"RT @KyleClark: Look familiar, Colorado? https://t.co/MuiZFGo1fm"
64,Wear a mask. https://t.co/Jp2yqlwg2G
65,"As a consequence of this ruling, about 70,000 to 126,000 women could lose contraceptive coverage from their employers. This is unacceptable, access to health care should not be determined by employers. https://t.co/Z1ZJ3lrYNC"
