Unnamed: 0,Text
0,"RT @Dylan2DC: Duda &amp; Dada time getting interrupted by an Emergency Hearing? 

Nah, Conley boys just roll with it lol

Proud of my sidekick…"
1,"As we continue to monitor the Omicron variant this winter,  we must use every tool available to  fight this health crisis. 

COVID-19 booster shots are available for ages 16 and up. Find a vaccination site near you:
https://t.co/e7BNhEcrkN"
2,"Rep. Langevin joins Defense One Radio to discuss the important provisions in this year's annual defense bill.
https://t.co/f3nivZr1zZ"
3,"Due to additional strain this winter season, the RI Blood Center is in short supply. 

If you are able, we hope you consider taking the time to donate blood at a drive near you. 
https://t.co/RaMqUJMc2X"
4,"While Small Business Saturday may have passed, let’s continue to support our local businesses through the holiday season!
https://t.co/Gv6Y1ZyifT"
5,"""The Chinese government's violent, anti-democratic actions go against every Olympic and Paralympic value that we hold dear,"" said Rep. Langevin in his call for a diplomatic boycott of the Beijing 2022 Olympics. 
https://t.co/intOgEEBAl"
6,We take today to honor the brave men and women who have selflessly risked their lives to fight for our country. Thank you for your service.
7,"20 years ago today, we all watched in horror as our country was viciously attacked.

We are forever indebted to those first responders and brave servicemembers who answered the call in its aftermath. 

May we never forget the lives lost that tragic day"
8,We must make sure that every American citizen and all of our Afghan partners are able to safely get out of harm’s way in Afghanistan. https://t.co/LAAPkv1h9H
9,"Rep. Langevin is urging the Biden administration to input sanctions on Russia due to the most recent cyber hacks.
https://t.co/4Nxn1FkTGz"
10,"A few weeks ago, the RI Arts and Humanities Council announced new grants funding from the American Rescue Plan.
Now, they are accepting applications! For more information, click below. 
https://t.co/YxFJ9q9vl6"
11,Rep. Langevin knows how difficult traveling can be for Americans with disabilities. The Air Carrier Access Amendments Act will require airplanes to make airline travel easier for passengers with disabilities. https://t.co/6AGMgRB6i5
12,"Rep. Langevin commends the $2.42 billion that was allocated to the Cybersecurity and Infrastructure Security Agency. After the new wave of dangerous cyber hacks, we need to secure our critical infrastructure and protect our country. 
https://t.co/NCz2eIuh1J"
13,"“While the majority of gun dealers follow the law, a small number of delinquent gun dealers perpetuate the epidemic of gun violence by selling guns to straw purchasers, gun traffickers, and other dangerous individuals.” 
https://t.co/OfE5ikHR7l"
