Unnamed: 0,Text
0,"Each morning, I know Oklahomans are counting on me to be their voice to fight for our freedoms and stand up for our families. I'm proud to represent the people of Oklahoma and Oklahoma values doing the right thing, the right way.

I'd be honored to have your vote tomorrow https://t.co/R2kQLx9N94"
1,RT @IMakeAmerica: We are thrilled to welcome @jameslankford to @McElroyFusion in #Tulsa today for a facility visit and town hall with emplo…
2,"You can still vote early, in-person today until 6 pm, or tomorrow, Saturday, June 24 from 8 am to 2 pm! https://t.co/k2lrrOZ2DA"
3,"If voting by mail, be sure to mail it today to ensure it’s received on time! https://t.co/imdGTbHJWk"
4,I’m grateful to have the support of Tea Party Express as we continue to work hand-and-hand to combat federal red tape and overspending while we focus on solutions that will address the challenges that face us as a nation. https://t.co/uTYF2VofBC
5,"Thank you to Brian and Marla Hill for hosting this evening &amp; for your support of doing the right thing, the right way! https://t.co/LozZY7mUjm"
6,"I'm what the New York Times calls ""radical"" because I believe every child is valuable--including in the womb.

#ProLife"
7,I would be honored to have your vote on June 28 to serve you in the US Senate.
8,"Our nation is faced with a number of issues that need solutions, but none of these problems are bigger than God. I'm working to do the right thing the right way to address our open borders, gas prices, social security, national debt, protecting education, and protecting life."
9,"Congratulations, OU Softball—Unbelievable win last night! https://t.co/FScw8zf8d8"
10,"Cindy and I decided to have a little fun getting out the word that we do have yard signs available now - she asked me the question, “What does every Oklahoman need in their front yard” and here was the answer …. 
Request your Lankford yard sign at https://t.co/DABXNvBoQ7 https://t.co/lNutWFxadO"
11,"“In an increasingly urban world, it is crucial to have elected officials who understand the importance of the agriculture industry and uphold the values of rural Oklahoma,” said Mike Schulz, OKFB Ag PAC chairman. https://t.co/gSyw8H72Wo"
12,Today we remember the Greatest Generation who courageously took the world on their shoulders to save us from tyranny across an ocean and brought back their values and work ethic to make us a stronger nation. https://t.co/HmxRSztx0d
13,We’re in a softball state of mind here in OK—cheering on the Cowgirls &amp; Sooners today! https://t.co/QJmcq9Lftp
14,RT @LifeNewsHQ: Senator James Lankford: Americans Should Never be Forced to Fund Abortions https://t.co/aowA5FcTXL
15,"We need to stop complaining about how bad things have become and start praying and working to get it turned around.

We are honored to share this ad with you as we continue to pray and get to work doing the right, thing the right way.

https://t.co/Lz0RJZ7Ulz"
16,"RT @Hillsdale: Liberty is rare. It is too easily taken for granted, too easily lost, and must always be defended. Before you celebrate the…"
17,"Illegal drugs are coming to our communities as fentanyl overdose rates are on the rise. Biden has made every state a border state by sending the chaos into each community. 
 
Add your name if you demand Biden stop the chaos and secure our border!

https://t.co/JAQEquNzeX"
18,But what they weren't anticipating was how out of control this would really get. They have created this spiral of inflation which has been catastrophic for Americans.
