Unnamed: 0,Text
0,RT @alexstein99: Calling Out Dan Censhaw for being a Globalist Rino @DanCrenshawTX https://t.co/PnddurgOFX
1,https://t.co/9fkfRfy09f
2,RT @BenBergquam: More evidence of cartel rape on the on the Mexico side of the wall between Yuma and Los Algodones thanks to Democrat open…
3,"“AXED”...   

How is it someone reaches the status of U.S. Congressman, yet repeatedly on national tv, mispronounces the word “asked” 

🤦🏻‍♀️"
4,"Ever heard of the Sondergerichte ? 

They were special courts set up by Hitler … his own judicial system, outside the hierarchical order of the German court system and even outside the bounds of German law. 

WE ARE THERE. https://t.co/pO6uIiXjtP"
5,"I’m watching national news commentators on Fox use EMOTIONAL  rather than LOGICAL arguments, pushing DC Congressman to LEGISLATE  inalienable RIGHTS into Government issued PRIVILEGES .
Here is the gun control debate, simply stated… 3rd grade level.
In pictures . https://t.co/ANanu1qVbG"
6,"Check out the text message General Michael Flynn sent me today ! 
(in the photo below ) 

Now… GO VOTE! 

You have until 7:30 tonight  to VOTE for General Flynn, Roger Stone, and Ted Nugent endorsed candidate, Jan Morgan for U.S. Senate! https://t.co/92FWz4mpJJ"
7,"The man who promotes a cashless society, and funds the most radical democrats, (Biden, Booker, Schumer) is also a max donor to JOHN BOOZMAN.
1,093 PACS, many of them radically left, fund Boozman. This explains why Boozman has voted 49% of the time WITH DIANE FEINSTEIN .. https://t.co/NtdYqFso4v"
8,"New ad… from the ONLY PROVEN America First candidate in the ARKANSAS U.S. Senate race 

https://t.co/hWyTy9KvBV"
9,"If I can do all this as a private citizen, imagine what I can do for YOU as a U.S. Senator ! Vote Jan Morgan, the only PROVEN America First Candidate in this race https://t.co/uOEqqLTUC9"
10,😂 https://t.co/kZlKzvzNw6
11,"The difference is clear !
Jan Morgan for U.S. Senate https://t.co/wJyBSVUSlN"
12,Tonight ! See you there ! https://t.co/Kn2BGXjEHp
13,Check out my interview on Roger Stone’s new show! Stone endorsed my campaign and  blasts my opponents.  https://t.co/oho6cCz6hN
14,Roger Stone and General Michael Flynn ENDORSE Jan Morgan ! Stone slams Morgan’s opponents calling Boozman a rino liar and the other a fraud/wasted vote.  https://t.co/oho6cCz6hN
15,The Stone Zone With Rodger Stone - Jan Morgan - Candidate For U.S. Senate  |  https://t.co/pPNqlCzWnY https://t.co/w1xW9qiTPa
16,https://t.co/XftgBCVETB
17,"RT @JanMorganMedia: General Michael Flynn ENDORSES Jan Morgan for U.S. Senate on national television ! 

WATCH the video at this link: 

ht…"
18,"General Michael Flynn ENDORSES Jan Morgan for U.S. Senate on national television ! 

WATCH the video at this link: 

https://t.co/8mVRNIonOD https://t.co/TMWwnW1wtZ"
19,"RT @JanMorganMedia: My SPINELESS REPUBLICAN opponents:
One BLAMES Trump for January 6, .... the other dodged the question, fled the intervi…"
20,"Oops … so he not only misrepresented his military record, he was dishonest about being a super bowl champion .
Integrity matters.  https://t.co/LVee6lOPJA"
21,"About my other opponent who is now going to be featured in a book about politicians who lied about their military service for political gain: 
https://t.co/wYlEq2UJkq"
22,"When you call yourself a Super Bowl champion yet never played a single down and misrepresent your military record for the sake a political race, you LACK THE INTEGRITY to serve the people.    https://t.co/sN5V9dRJWG"
23,"My opponent, has resorted to CALLING ME an animal in his tv ads. If I was just a show pony (all style and no substance) then why, @JohnBoozman are you AFRAID to DEBATE ME? 
The TRUTH is, you are running FROM your own failed record because you sure as hell can’t run ON IT. https://t.co/ONKUEYfBGY"
24,"COME JOIN US! 
HEADED TO MELBOURNE,  ARKANSAS! 

I’m honored that citizens from Fulton, Izard, Lawrence and Sharp counties are hosting this event tonight ! 

You can get a ticket at the door! https://t.co/0DpsvBZ0ds"
25,"John DIDN’T CARE that BABIES Died  because he voted 21 years to fund Planned Parenthood .. NOW, he cares but it’s not about the babies.  It took SINKING POLL NUMBERS, and Jan Morgan EXPOSING his abortion record, to force him to do what he should have done 21 years ago. https://t.co/WWN4fZRj3N"
26,"It’s a good day when you walk in to the state Republican Party headquarters and people are there asking for your signs! They were shocked when I actually walked in the door and said “You need Jan Morgan for Senate signs? 
My campaign signs were gone two days after they came in! https://t.co/FVvfMOCbXx"
27,"I filed to run for U.S. Senate! 
My goal is to take this seat that is controlled by special interest money, and return it to THE PEOPLE. https://t.co/mgDyWB29n8"
28,"Today is my BIRTHDAY, (The big 59!) and I have a favor to ask: HELP ME buy tv ad time so I can win this senate seat! PLEASE, click on this link https://t.co/ZSAHc5hG6I and donate what you can! We ALL benefit by having a bold, conservative fighter in DC ! https://t.co/nr1O1fYk2f"
29,"My opponent in the U.S. Senate race has played the YELLOWSTONE card in his latest ad: John…you aren’t a “RIP”.   …. You are a rino “sell out” which makes you a “JAMIE”, and like “JAMIE” dodged Beth, you keep dodging my challenge to DEBATE. We need to talk about your record. https://t.co/sbuMGKEHN9"
30,"My opponent wants to play YELLOWSTONE.. But he’s wearing “Rip” clothes .  He’s no “Rip”… He’s a “JAMIE”.    Okay.. JAMIE, john.. I’ll grab my “Beth” card and meet you on the debate stage.  Beth versus Jaime. We know how that ends. Day 350 of you dodging my challenge to DEBATE. https://t.co/qpIaFoaGDb"
31,"Political thugs in suits have SOLD OUT our country to the highest bidder. Foreign Governments are buying America's land, businesses,farms, and politicians. It is time for Americans to rise up and fight for our land. It is time for AMERICAN REVIVAL. https://t.co/rcx6D2V2GA"
32,"PRAY for my friend, Zoe Sozo Bethel, a national TREASURE &amp; strong conservative warrior. Today,she’s fighting for her life.. Zoe was in an accident, sustained irreparable damage to her brain/brain stem.. BUT… God is in the miracle business. I love you Zoe… praying for a miracle. https://t.co/eoYBwCBrMy"
33,"My RINO opponent picks the DNC over the RNC …. And Liz Cheney over THE PEOPLE
HE  ATTACKED the RNC  for CENSURING CHANEY over the persecution of citizens engaged in legitimate political discourse on January 6th. The ONE time has the guts to take a stand, he’s ON THE WRONG SIDE https://t.co/1BYQRW52ig"
34,😉 https://t.co/oXSN36lnRA
35,Because Biden is a communist working with the CCP to destroy America: https://t.co/ydj5oaw2FU
36,"RT @RealAmVoice: Steve Bannon on #China: “We have the greatest existential threat this Republic has ever faced.” 

Don’t miss #WarRoom with…"
37,#NewProfilePic https://t.co/RvtHMsb4V8
38,RT @USTermLimits: Thank you @JanMorganMedia for signing the #termlimits on Congress pledge. https://t.co/eVst1p2d4Q https://t.co/u0kWcxglJ1
39,"My opponent says that he’s been  “taking important steps on the pro life front since the beginning of 2021.”
Why did you wait 21 years John? 
It’s because since the beginning of that year , I TOLD AMERICA I WAS COMING AFTER YOUR JOB.

https://t.co/gur649oTfo https://t.co/Gvr8GoYCNf"
40,"Supporters in Craighead county are holding this fundraising dinner event for my senate race JANUARY 20th! 
Ticket purchase deadline is the 17th.
I will be speaking and have some Q&amp;A time with the crowd! Dress casual 

Get your tickets at this link: https://t.co/ZO1DFoc9CN https://t.co/Oe1hDJCWs1"
41,"Wonder how many folks across America chose to ring in the new year at home snuggling with their fur baby! Lol 

Happy New Year ! https://t.co/IlX0zNq6KK"
42,I’m inviting you! Come join us for a great evening! I’m speaking at 6:15pm.. https://t.co/P9aEZPoau6
43,"American made products don’t get stuck on cargo ships. 

Instead of trying to fix THAT supply chain problem, why don’t we address the REAL PROBLEM: 
America’s supply chain being dependent on countries that hate us.
-JanMorganforSenate.com"
44,"RT @RealAmVoice: ""Let's call it what it is, it is an invasion. It is an enemy invasion of our country and we absolutely must stop it!""

@Ja…"
45,"@kaylan_donahou The fact that you believe this tweet is about shooting a virus, showcases your inability to comprehend what you read.  I can’t help you with that “ buttercup” but I hear there are free literacy  courses offered by most public libraries."
46,@MIDIWerks The court ruling has specific criteria attached to the response . This doesn’t meet the criteria for forced vax
47,"@brb4more The same thing millions of other Americans, health care professionals, scientists, and virologists are talking about. No mandates ."
48,"@AngelaGBridges1 Nope but the vax is. If you have to ask, Angela, then it’s not a clear threat. Thanks for the report though:) the FBI knows me well ."
49,"@mrobbin55 I will not take the vaccine. I assume you believe all people who don’t make what you deem as “healthy” choices, be denied medical care? That would include smokers, obese people, junk food eaters, sun tanners , and drug abusers."
50,@pamgray55 @ThatManSmitty71 Republican women do make our own reproductive choices. The choice is made when you choose to have sex.
51,@CB5WYO @GOP Republicans support liberty over tyranny..
52,@LynStrohs @charles_dubbya Nope. I will NOT take this vaccine under any circumstances .
53,@inhofe_snowball I don’t work for Fox. I’m a free agent .
54,@AllisonPons I’m a free agent. Fox doesn’t own me .
55,RT @JanMorganMedia: Afghanistan was not a mistake by the Biden Administration . It was the plan. The CCP is thrilled with their gains from…
56,RT @JanMorganMedia: https://t.co/ZEb98zPygg
57,"RT @JanMorganMedia: Ted Nugent, ENDORSES Jan Morgan for US Senate!  
Check this out: https://t.co/gkDy09quU3"
58,"@AnnaRuspa I haven’t murdered anyone, however, history tyrannical governments have murdered millions.. THAT is a fact."
59,@colli1900s That’s because Trump didn’t Mandate it.
60,@JRobertJohnson4 Wrong . The numbers don’t justify the mandate https://t.co/OtMYXjjj3I.
61,@charles_dubbya I don’t work for Fox. I’m a free agent.
62,@inhofe_snowball I don’t work for Fox.
63,@AllisonPons I’m on the blackball list of @FoxNews .. I don’t have to comply with their vaccine mandates
64,"The last place I want to be is in the “ big club” of bought and paid for corporate shills. By the way, thanks for “following” this nobody non club member. https://t.co/tkME87p9Ef"
65,@brianPr86073081 Which is why you follow me.. right? https://t.co/KJkU0f50db
66,@brianPr86073081 The last place I want to be is “in the club” of corrupt bought and paid for corporate shills.
67,George Carlin KNEW .... 20 years ago.. https://t.co/JaLlXDGcry
68,"Ted Nugent, ENDORSES Jan Morgan for US Senate!  
Check this out: https://t.co/gkDy09quU3"
69,Some things are NOT NEGOTIABLE. https://t.co/hYX3g17xsk
70,"BREAKING NEWS: 
  “TRUMP’s candidate endorsements were SOLD by Trump aid, Bill Stepien, WITHOUT TRUMP’s KNOWLEDGE.”  
-Source Stew Peters 
That explains why Trump has endorsed people who hate and betrayed him  over pro-Trump America candidates. 

https://t.co/uqrYYKodGF"
71,"Scrolling down the newsfeed and saw this bumper sticker on a vehicle window. Lol 😂 

The Tea Party of Garland County sold those after the governor did all the bad things I told people he would do if he was re-elected .

I need one that says
“I TOLD YOU SO!”

Good night folks ! https://t.co/63fjINcbKb"
72,https://t.co/5IWHbEZcZx
73,Florida looking good https://t.co/dHydliqd5g
74,"He said Trump MISLED the people about the election, that Biden was the legitimate winner. He publicly BLAMED Trump for  Jan. 6th &amp; suggested Trump could be investigated and prosecuted criminally for 1/6"
75,My opponent betrayed Arkansans &amp; threw Trump under the bus.
76,https://t.co/ZEb98zPygg
