Unnamed: 0,Text
0,@lilialuciano Human trafficking
1,@NekoBTC @Dennis_Porter_ Lol https://t.co/IlLCqvn0X6
2,@Dennis_Porter_ Feeling Bullish https://t.co/yKE2Rk2XtJ
3,RT @Dennis_Porter_: Bought more #Bitcoin today.
4,@marshmello @BoddyJacques You can’t see us because you have that giant box on your head https://t.co/fpHoAk232J
5,@Ryancerfus Exactly https://t.co/MYtP4HSJL9
6,@Susan_Dupres Stay strong. We are in this together.
7,"@Susan_Dupres They’re looking for every way to spend money like a shopaholic GF. Need to cut the credit cards.
Doesn’t help when you have a former Federal Reserve Chair serving as US Treasury Secretary. Higher Fed interest rates = higher returns = more taxpayer debt = inflation = poverty. https://t.co/2Q4ZforHay"
8,@JodieNewell19 @JordanSchachtel I think most Americans agree with your statement here but they don’t know how to stop it https://t.co/JRqAsvMsEF
9,"RT @iLoveJaneAdams: THOUGHTS?

(wait for it)
Biden just announced #B3W, a $200 billion tax-payer funded global infrastructure program to im…"
10,"RT @iLoveJaneAdams: We have the power, potential &amp; spirit to shape the future. The system isn’t working &amp; we know what needs to be done. Th…"
11,"RT @iLoveJaneAdams: If you could ask President Biden one question in person, what would it be?"
12,@BoddyJacques “Urban Glamping” is steadily growing in popularity! https://t.co/G4AEr6yGTl
13,@SchickForHope There’s a tree version too lol https://t.co/eEPBisDuYC
14,@TIMSTA4 Thanks for spreading truth. More people need to activate their consciousness. https://t.co/dbnm4ejMgQ
15,@BoddyJacques Thank you 🙏🙂 It’s so nice to meet someone that appreciates the cultivation of imagination
16,@lillyvivvi What currency would they get paid with?
17,"RT @iLoveJaneAdams: Schools train children to be wage slaves instead of entrepreneurs who create opportunities for others.
Financial educat…"
18,RT @iLoveJaneAdams: Every baby not born is another Bitcoiner not HODLing
19,"RT @iLoveJaneAdams: Did you know?

Nuclear energy provided 52% of America’s carbon-free electricity in 2020, making it the largest domestic…"
20,@jameslavish Yes yes yes I did lol 😂
21,@ZekeboyA @JordanSchachtel @Surabees I’ll try my best.
22,@Shawan4Freedom Probably won’t end well. https://t.co/YKz0yKDfP2
23,"@CB_Severson C’mon, Man! Haha"
24,RT @iLoveJaneAdams: Good morning! Take a moment to think of one thing to be grateful for. An attitude of gratitude attracts good fortune.
25,RT @iLoveJaneAdams: Can you believe most environmentalists don’t know where electricity comes from?
26,"@degenrob1 It’s twisted. They’re addicted to spending money, they come up with reasons."
27,@bobmillerwriter Magic money tree https://t.co/G2pJQHlefq
28,@AdeldMeyer Words of wisdom! https://t.co/nxQ834vfcy
29,"@AdeldMeyer We need transparency from Congress. 
I think the bills &amp; voting schedules should be posted, and integrate a voting system for constituents so the results can influence or be compared to the Congressperson’s vote. 
Congress should also be more accessible &amp; come on Twitter Spaces."
30,@ZekeboyA @JordanSchachtel @Surabees Constituents are not allowed to vote on the bills. Politicians don’t go through all the bills with their constituents. I’m referring to regular real-time input and feedback
31,@Duchess36N @JordanSchachtel I haven’t seen that movie. I’ll take a look. Thanks for the recommendation 🙏😊
32,@zerohedge @kyran_delroba Vegan 🌱
33,@JordanSchachtel @Surabees I still can’t get over the fact that Congress makes such big decisions for spending taxpayer dollars without input from taxpayers. 😐
34,@Ranchma72260532 @JordanSchachtel Hang on tight! We’ll find out soon lol https://t.co/Y3JoINor1C
35,@Catrinisin “Urban glamping” is a thing now https://t.co/0XHFJn9Fhb
36,"@BirderSue55 C’mon, mannnn! https://t.co/E1IeBf0t8j"
37,@JanetG988 @JordanSchachtel Lol 😂 they speak in code. https://t.co/qS6P3oZRKG
38,@bobmillerwriter The original proposal was $40 Trillion. https://t.co/R50c0kZqhs
39,@Duchess36N @JordanSchachtel What tunnels…?
40,@CCChrisNN @JordanSchachtel They have a solution for that. https://t.co/VXNqAw4AK1
41,"@NicAnkush @JordanSchachtel Yep, it basically is! It’s like watching a train wreck, horrifying but can’t look away."
42,@joshfrance83 https://t.co/4XqvrjHb4r
43,@butlerwesfire @Oilman42usLaw @JordanSchachtel It was initially proposed at $40 (forty) Trillion.
44,@pedsscrub @JordanSchachtel My thoughts exactly. It feels like we are a last priority.
45,"@ShibleyJulian Adding this to the pile: Can’t make this up!

https://t.co/H4jQqgNzXv"
46,@Chemo_n_Crypto It’s getting really out of control.
47,@GhostOfRad *deep sigh* https://t.co/EtpUoQcS32
48,@lassofc_tachira 😂
49,@_tector @Ugames_kilo @mrdiko @coinbureau @UrTokenCorgi @uranium100k You mean BASED
50,@JDalmulder @_CryptoCurator @BitcoinliveDB @PurpleSuede22 @alexandre_lores Sorry 😢
51,@DjSaToShi18 Me too 🙏
52,"@GhostOfRad Lol 😂 
It’s actually $600 billion but the US is only paying $200 billion of it.
If you don’t count inflation.
And the interest. https://t.co/MgVjdLCkJ2"
53,@JimSant68216836 Agreed. This is criminal.
54,@DueDili79267749 At first I thought I was reading fake news. Cross verified. Now I wish it was fake news.
55,"@Zkhan06 “It couldn’t possibly get any worse.”
(Gets a lot worse.) https://t.co/ofhU1rPNRZ"
56,"THOUGHTS?

(wait for it)
Biden just announced #B3W, a $200 billion tax-payer funded global infrastructure program to improve economies of low &amp; middle income nations with clean energy, health systems, secure technology &amp; gender equality.

#inflation #G7 #BuildBackBetterWorld"
57,@TheProfessor137 @LiberlandHacker I pray every day for a better world. Thank you for your kindness and compassion.
58,@GoingParabolic Makes perfect sense https://t.co/eqCwZxFIBc
59,Good morning! Take a moment to think of one thing to be grateful for. An attitude of gratitude attracts good fortune.
60,@Ugames_kilo @_tector @mrdiko @coinbureau @UrTokenCorgi @uranium100k Wow this is awesome
61,@JayMyRealtor You mean colonialism?
62,"@ginavinnitsky Coming from you, a woman stating you want government enforced vasectomies, I’ll take that as a compliment. Don’t be so bitter about men, they deserve respect. Enjoy your day, Gina!"
