Unnamed: 0,Text
0,@John_Seravalli1 Sure did! Love that UWS! Nadler’s not impressed....
1,"Check out my interview on ""Faith and Politics"" in Beliefnet's ""Faith, Media, and Culture"" column!

https://t.co/Yb4oGPbTYo https://t.co/Hnx1KHFr7B"
2,RT @Wallis4America: Here is my interview with @JeanneNigro on #YouTube discussing her book and what unites us https://t.co/9nEviHQSqL @Wall…
3,RT @Wallis4America: Here is my interview with @JeanneNigro on #rumble discussing her book and what unites us https://t.co/4VBl6vQGrl @Walli…
4,@emeraldlight09 Not safe at all and not needed at all
5,"Great time sharing ""The Lies We Believe about Faith and Politics...The Way Forward"" with Matt Buff at CPAC! So much fun! @CharisNigro and I start at 2:19. 😊 https://t.co/S5qdwVlx7r"
6,"RT @KristiLeighTV: @JeanneNigro discusses her new book about the lies some Christians believe. 
https://t.co/Mkd3sKq2kL"
7,@drhowardcohn This cannot be real!
8,@drhowardcohn That's why God has us alive at this time:)
9,@drhowardcohn anything to block God's image...
10,"@drhowardcohn Nazi-like brainwashing of children.  Whoever causes one of these little ones who believe in me to sin, it would be better for him to have a great millstone fastened around his neck and to be drowned in the depths of the sea!"
11,@drhowardcohn Perfect picture!
12,@drhowardcohn Horrifying! Spirit of death straight from Satan himself!
13,@drhowardcohn What is it?
14,@drhowardcohn Those pictures have to be the saddest pictures I've ever seen. De-humanizing. Remember music was created to worship God - so no surprise Satan would take the soul out of it. UGH!
15,"Feeling a bit stressed and shaken these days? 

YOU can remain UNSHAKEN - no matter what’s going on in your life or in the world!  How? REGISTER NOW for my zoom teaching 
""UNSHAKEN: Standing Strong in 2021!""  https://t.co/Qu4zxrT5iT"
16,"Focus on what CANNOT CHANGE and HAS NOT CHANGED! Who God is - His character, His love for you, His joy and delight in you, His glorious end-times plans for you!

He will keep perfect peace those whose minds are focused on HIM! (Is. 26:3) https://t.co/DpqknGoQAB"
17,"No matter how justified, fear gives the enemy ground in your life! Don't give him any more ground in your life or in this world!
Do not fear for I am with you...I will strengthen you, I will help you, I will uphold you with my righteous right hand. Is 41:10 https://t.co/ghPx3XAmY3"
18,"Ever wonder why social distancing is mandated for the lawful, while the lawless are exempt? #exposethelies #wakeupamerica #hadenough"
19,Stand #Unshaken in these end times by connecting with #Christ every day. Download FREE chapter: https://t.co/S3h1QG1kKU https://t.co/skNsgA77qR
20,There is always something to #thank #God for. #Download FREE #Unshaken chapter: https://t.co/S3h1QGiVCs https://t.co/1zrXYwSqXM
21,God’s love will stop at nothing to burn bright for all to see. Download FREE #Unshaken chapter: https://t.co/S3h1QG1kKU https://t.co/RWTmOS1S4Q
22,"You were made for God, by God. Download FREE #Unshaken chapter: https://t.co/S3h1QGiVCs https://t.co/DfgN3iRFaV"
23,Is everything in your life done in a manner that brings you closer to God? Download FREE #Unshaken chapter: https://t.co/S3h1QG1kKU https://t.co/91TZlVCrxd
24,Allow #God to reveal Himself in His Word by downloading a #FREE #Unshaken #chapter: https://t.co/S3h1QG1kKU https://t.co/rbo732XrHX
25,Start making an impact for goodness and Christ's eternal Kingdom today! #Download FREE #Unshaken chapter: https://t.co/S3h1QGiVCs https://t.co/UMbBe5SlmQ
26,"When you know God's #truth, you can overcome Satan's temptations. #Download FREE #Unshaken chapter: https://t.co/S3h1QG1kKU https://t.co/E77gYzYnBL"
