Unnamed: 0,Text
0,"I am angry and heartbroken by today’s Supreme Court decision. We knew this was coming but it doesn’t make it any easier. Elections have consequences, and I will never stop fighting for access to abortion and a woman’s right to choose."
1,"NH’s engaged voters &amp; grassroots politics level the playing field, giving every candidate a fighting chance. NH is unique in that regard &amp; kicks off the election cycle to give candidates an opportunity to make their case directly to voters. I’ll always defend NH’s #FITN Primary. https://t.co/lmH9ef8KJx"
2,"Happy Father's Day to all the dads out there, including Billy! We love you. https://t.co/33B4Wh24vC"
3,"Thank you, NH Democrats, for joining the @NHDems state convention today!  Let’s knock on every door, connect with our neighbors and leave no stone unturned in our efforts to build a brighter future for the Granite State! https://t.co/nc02QuINLW"
4,"Happy to be in Manchester at @NHDems’ McIntyre-Shaheen 100 Club dinner tonight! 

We face serious challenges in our state and country, but there’s one thing I have no doubt about – our Democratic candidates, from State Rep to the U.S. Senate, can and will get the job done. https://t.co/dADmeIXYwZ"
5,"With the passing of Joe Grandmaison, NH has lost a political legend. I could always count on his insightful analysis and his blistering sense of humor. But those of us who knew and loved Joe understood that his genuine concern for others was at the core of all he did."
6,".@Maggie_Hassan has delivered real results for Granite Staters in her first term as a U.S. Senator, and I know she’s ready for the work ahead. We need to do everything we can to reelect her in November! https://t.co/lGKn9TTtF8"
7,.@CindeWarmington’s strong voice and steadfast leadership on New Hampshire’s Executive Council have made a real difference for Granite Staters. I’m proud to support Cinde for reelection this year! https://t.co/NaeE5TKJs6
8,"So glad to see you’re on the ballot, @AnnMcLaneKuster! Thank you for everything you have done and will do for New Hampshire. https://t.co/GdiJqxZMt9"
9,Happy birthday to my friend and colleague @ChrisPappasNH! It’s an honor to serve New Hampshire alongside you. Hope you’re having a wonderful day! https://t.co/Ez9BQp1WIX
10,The Granite State is stronger thanks to @ChrisPappasNH's dedication and service. Let's reelect him this November! https://t.co/3QUiPh7OLP
11,"My good friend and colleague @Maggie_Hassan won her 2016 race by just 1,017 votes – and she has another tough campaign ahead of her this year.

We need Maggie’s strong pro-choice voice in the Senate. Chip in right now ➡️ https://t.co/vfxBCGyYIB https://t.co/ygAfpSY3N6"
12,"Stefany, Stacey and Molly gave me the most important job and the greatest joy of my life. Happy Mother’s Day to all the women who raise, empower and love our children! https://t.co/2OJsl6LiiA"
13,"Outraged? Take action. Knock doors, volunteer, contact your elected officials and make clear that repro rights are a top priority for their constituents. Elections matter, and we have to show up in November."
14,"Elections have consequences and the future of reproductive rights are on the ballot in 2022. From Texas to NH, GOP attacks on women’s bodies have not stopped &amp; we must stand up, speak out &amp; codify #Roe"
15,"NH’s #FITN primary levels the playing field &amp; puts all candidates – regardless of their campaign war chest – through their paces. Our status as the first primary in the nation is crucial to the presidential campaign process, which is why I will fight tooth and nail to protect it. https://t.co/mvnHZqXfjq https://t.co/k0ZcSF30pW"
16,"I’m very saddened by the passing of Rep. Kathi Rogers. Kathi was a tireless fighter for Concord and for the Granite State, and her powerful legacy will live on. My thoughts are with her family and loved ones. https://t.co/pne31XFqtK"
17,"Congratulations on your decisive victory, Alderman-elect @JimBurkushNH! https://t.co/zHZfBJyJx8"
18,"Good morning, Manchester! There’s a special election happening TODAY in Ward 9, and @JimBurkushNH needs your support. 

Polls are open until 7pm at the Bishop Leo E. O’Neil Youth Center. Click here for more info, and be sure to get out and vote! 

https://t.co/2jgWnMkGLH"
19,"Congratulations to all who won local elections today – and thank you to everyone who stepped up to run! So much important work happens at the local level, and our Granite State communities are stronger thanks to your dedication and leadership."
20,I'm wishing @RennyCushing health and healing as he takes a medical leave of absence. My thoughts are with Rep. Cushing and his family. Thank you to @NHHouseDems leadership for stepping in and continuing your critical work in Rep. Cushing's absence.
21,"Happy birthday, @Maggie_Hassan! Thank you for all you do every day for the Granite State - it's an honor to work alongside you. Have a wonderful day! https://t.co/YCQcGCKIJw"
22,"Today is the 49th anniversary of Roe v. Wade, and we need to make sure it’s not the last.

GOP lawmakers in NH and across the country are doing everything they can to turn back the clock on our reproductive health and rights. We must stop them and codify Roe into law."
23,It’s been 22 years since I signed the bill to make #MLKDay a state holiday in NH - one of my proudest days as NH Gov. Dr. King’s legacy is more important than ever before - and it’s up to us to continue his fight to protect the civil liberties and equal rights of all Americans. https://t.co/oaGa7N4J69
24,Congratulations to all the municipal leaders across New Hampshire who were sworn in this week. Thank you for stepping up to serve your communities!
25,Congratulations to Manchester Mayor @JoyceCraigNH and all municipal leaders sworn in this morning! Thank you for everything you’ve done and will do to strengthen our Queen City.
26,"Congratulations to Portsmouth’s new Mayor @DeaglanM, Assistant Mayor Joanna Kelley - the first woman of color to hold this position - and all local leaders sworn in tonight! I look forward to working with you."
27,"From my family to yours, wishing you a healthy and joyous new year. https://t.co/UxZE3njD9g"
28,"Merry Christmas to all those celebrating in NH and around the world! Wishing everyone a joyous and safe holiday season, from my family to yours."
29,Congratulations!! 🎉 https://t.co/tkBe6Uw6on
30,It was great to join @NHDems last night to celebrate our state’s amazing local leaders and their huge accomplishments from the past year. Congratulations to this year’s honorees — thank you for your hard work and commitment to moving NH forward. On to 2022! https://t.co/hHnDDotNZC
31,"This is great news for New Hampshire! My friend @ChrisPappasNH has delivered real results for Granite Staters, and we need to re-elect him to keep moving NH forward. I’m thrilled to support his campaign. https://t.co/nuUaGZjJhh"
32,"From the Shaheen family to yours, have a happy and safe Thanksgiving! https://t.co/leX5sgl0al"
33,"Happy birthday, @ChairmanBuckley! Thank you for everything you do for the Granite State. Here’s to another great year ahead!"
34,"Good morning, New Hampshire Democrats! 

On the heels of last week’s Democratic victories in municipal races across the Granite State, I’m looking forward to today’s @NHDems 2021 State Convention, which begins at 9am. 

Tune in here: https://t.co/D2U3WRnyXM"
35,"Congratulations to Rep. Andrew Maneval, who was sworn in yesterday! I look forward to seeing the great work you'll do in Concord."
36,"Congratulations to Portsmouth Mayor-Elect @DeaglanM and Claremont Mayor-Elect Dale Girard, both of whom flipped these seats blue tonight. I look forward to working with you!"
37,"Congratulations to Concord Mayor @jpbmayor, Somersworth Mayor @DanaHilliard_NH, Dover Mayor Bob Carrier and Berlin Mayor Paul Grenier on your victories tonight!"
38,And thank you to all who stepped up to run regardless of outcome. Granite Staters deserve local leaders who are committed to helping NH turn the page on COVID-19 and who will deliver for their communities.
39,"As New Hampshire Republicans block COVID-19 vaccines for our most vulnerable and roll back women’s reproductive rights, NH needs strong leaders, like Mayor Craig, now more than ever. Congratulations to Mayor Craig and all candidates in NH who won their municipal races today."
40,"Congratulations, Mayor Hosmer! https://t.co/9YNW1FbBDZ"
41,"Congratulations, @JoyceCraigNH! https://t.co/qt0ueef8DA"
