Unnamed: 0,Text
0,Everything that the Biden administration done has put inflation on all of us more taxes on all of us raised and hurts Americans https://t.co/yPmBKoOIGo
1,@POTUS There are not enough words to say how much harm has been done to America by Biden's robust policy globalist policies and out of control spending
2,"RT @POTUS: We need an economy built from the middle out and the bottom up — not the top down.

Because I know that when the middle class do…"
3,Russian troops on our continent ! Really ? https://t.co/PrpaJnA7nw
4,Gas stations nationwide have been reprogramming to be able to enter double digits. Is $10 the end or will we see $15 under this administration ?https://t.co/UkCHgTRD8D
5,I just love this post ! https://t.co/vekcTsDHi1
6,"What could possibly go wrong ? 
https://t.co/xBSSWRz2Ty"
7,"""God Help Us"" is absolutely correct ! https://t.co/ABAiI0kE21"
8,"What worries me most about inflation, the cost of gas, are lower income families with children and Seniors on fixed incomes.  When it becomes food vs...gas, utilities, rent, medical care and prescriptions, Americans are loosing https://t.co/QlsCVH6fHJ"
9,"J6 Committee,  Justice Kavanaugh,   SCOTUS Leak,   W.E.F.,  Wuhan, Mandates and Lock-Downs, 2000Mules, CRT, Sexualization of our Children, War on Oil and Gas, Green New Deal, Afghanistan... I could go on. https://t.co/j2MBcmkdgn"
10,WHO is the SCOTUS leaker ???
11,"@Jan6thFalseFlag @desertman56 Thanks Bob,  well as you can imagine I'm up against a difficult dog fight of an election.  You can  help me by pitching in $2 to my campaign, it all helps!  You know once in I'll bring some momma bear common sense ! https://t.co/D1idlTkQOW"
12,"HR2377 and HR7910 are nothing more than an attempt to infringe on our 2nd Amendment Rights.  Lets harden our schools, invest in much needed mental  health and actually enforce our laws making America safe again !    https://t.co/jaKvXWTxW5"
13,"So tell me how different is the US than those in the UK with the full invasion of our Southern Borders from international people? Already homelessness rampant, food shortages, starting, economy crushed. How long is your home safe  #Bidensbordercrisis https://t.co/HmR6myOcAy"
14,"#gainoffunction 
https://t.co/Ux4yxmEI20"
15,Every day I am so inspired by the good people in this Nation I am meeting.  Real Americans who each in their own way is fighting to bring back good. FDRs words ring true even today!  #Jeannetteskinnerforcongress #jointhefightforamerica https://t.co/eCtyidh3lu
16,"Bad guys will ALWAYS have guns, even those on Pennsylvania Ave. https://t.co/Cqc9NVz9iR"
17,@FLCaseyDeSantis @GovRonDeSantis Love our Gov and Lady Casey DeSantis!
18,"@patriotic79 @JoeBiden @VP While an inconvenient truth, it is still a truth. Preservation of freedom, truly, lies in educating ""We the People"". Not only about our US Constitution, but the logic in the protections it is engineered to ensure. https://t.co/6yiTzzL2Xo"
19,"@POTUS No Joe! While an inconvenient truth, it is still a truth. Preservation of freedom, truly, lies in educating ""We the People"". Not only about our US Constitution, but the logic in the protections it is engineered to ensure. https://t.co/6yiTzzL2Xo"
20,"@POTUS No Joe! While an inconvenient truth, it is still a truth. Preservation of freedom, truly, lies in educating ""We the People"". Not only about our US Constitution, but the logic in the protections it is engineered to ensure. https://t.co/6yiTzzL2Xo"
21,"@Patriot66874185 Uneducated people are easier to control.  While an inconvenient truth, it is still a truth. Preservation of freedom lies in educating ""We the People"".  https://t.co/6yiTzzL2Xo"
22,"While an inconvenient truth, it is still a truth. Preservation of freedom, truly, lies in educating ""We the People"". Not only about our US Constitution, but the logic in the protections it is engineered to ensure. https://t.co/6yiTzzL2Xo"
23,"@TrumpetteGem I do feel there is this great awakening.  I'm running in a very tight race in Florida District 11.  People are turned off by the toxicity of the radical right just as much as they are the liberal left.  Thank goodness, the world on the ""squad"" is NOT GOOD"
24,"@GrammyC4Zone @RobertBradleyJ2 Make no mistake, the CDC has no authority over Americans.  When I win, the CDC  will be on my target of fiscal cuts and focused hearings if not legal action.  With only 2 years to make a substantial impact on our Nation.   #Jeannetteskinnerforcongress"
25,"A picture worth (100- 200- 300,000 / month)  words. https://t.co/5EJ9d7VguN"
26,"@Tbar4b Truth, sharing this one it's a SOLID point well made !  #Jeannetteskinnerforcongress"
27,"I have both family and good friends and collogues in California, on both the Democrat and Republican side as well as ""independents"".  The reality is this radical left agenda has been exposed and good people are uniting nationwide to clean house! https://t.co/WjHLdiGkWk"
28,@JustMe22955245 Priceless Image.
29,https://t.co/0HyyTK1727
30,@Don94118017 @VikingVape @GaryAMcCollum Yes. Defending our election integrity is a must. Become a Poll watcher...become a canvaser ...clean up voter registrations. We the People must do the work.
31,"@ecozentro @USAFirstPatriot I would opine that our Nation is built on Judeo-Christian values and our Constitution and Bill of Roghts specifically designed to protect our God-given rights. It is freedom OF religion, not FROM it. Our nation needs faith and healing. Family values."
32,@USAFirstPatriot Thank you so much !  The outpouring if support has been great!   I know folks want a choice at the ballot box in Florida 11 where Daniel Webster currently sits.  It's time !
33,@ashevillecomics @2ndamendment As long a criminals have guns and we will be defensless against threats both foreign and internal threats.  And we have both foreign and internal threats that are very real.
34,@ashevillecomics @2ndamendment Thank you. Having been raised on the US Border it was guns that saved my life more than once. We need better mental health a focus on family and faith. Right to bear arms to protect ourselves is our right.  Criminals and mentally ill will always break laws
35,@ashevillecomics @2ndamendment https://t.co/ltpRebztrv
36,@aceoaces @Nicholas_Ind Yes. With a bridge to get there. We have a finite amoung of fossil feul left and need to work towards alternate renewable solutions.
37,"@Nicholas_Ind Indeed. Apologies for typo,  its well after midnight. Be blessed. The morning fast approaches."
38,"@Nicholas_Ind Thanks. You are very quick with solid questions BTW, enjoy that and thank you. I'll do my best to answer have a great evening."
39,"@Nicholas_Ind Can we add the impact of strip mining to earth, the toxic waste of so called ""green energy batteries"" and the environmental impact of windmills as well to this thread.  Love Earth,  lets treat her well!"
40,"@Nicholas_Ind These are Temp ""Quick Fix"" solutions that would yield some relief for Americans, release additional reserves 50 MM barrels for US consumption, then work on longer term solutions.   Enjoy the dialog by the way and thank you we ALL need to dialog vs argue."
41,"@Nicholas_Ind Thank you.  Specifically we could lift the Ethanol Mandate, wave the Jones Act, suspend he Summer Blend requirement (15 cents/gallon)  &amp; implement a Gas Tax Holiday ( and State Tax Holiday)."
42,@VikingVape @GaryAMcCollum Well said. Primaries matter as well.  All positions.
43,"@Nicholas_Ind We must replenish our reserves, unleash American oil and gas. Put our nation first and lower prices.  This I care about greatly. People are suffering and already we are seeing the impact on our most vulnerable."
44,"@Nicholas_Ind Investors front capital, sustain billions in losses as a industry during the pandemic, while uncertain if the investment will even be allowed to operationalize due to WH policy...and finally get a ROI after years ? To be fair let's also share the PY losses."
