Unnamed: 0,Text
0,@ShekharMoona Thank you for the opportunity to earn your vote. If you have questions- please reach out.
1,"Polls are open! Everything you need to know to vote in today’s NC Primary is right here:

https://t.co/zniNCC0yiB"
2,"RT @Jen4SenNC: Jen for Sen is #10!  
For those looking for me at the top of NC’s Primary Republican U.S. Senate ballot, the order on this a…"
3,"I pray for strength for all the candidates, wisdom for North Carolinians, and continued greatness   always for America. It has been a pleasure and an honor to run for United States Senator. No matter what happens tomorrow, I truly had the time of my life. With Gratitude, Jen"
4,"“Another turning pt., fork stuck in the rd.Time grabs u by the wrist, directs u where to go. So make the best of this test &amp; don't ask why. It's not a question, but a lesson learned in time. It's smthng unpredictable, but in the end, it's right. I hope u had the time of ur life.”"
5,"As a Gen Xer on Primary’s Eve, the words of Billie Joe Armstrong come to mind…"
6,"Pre-Primary Chipotle!
#twittersupperclub https://t.co/GgdfchVUca"
7,"RT @Jen4SenNC: Why can't the U.S. just keep printing money? If you aren't already familiar, here's a primer on the limitations of Modern Mo…"
8,"RT @Jen4SenNC: Last fall, we went on a month-long cross country road trip. We saw more than 25 National Parks, and were reminded of all the…"
9,"RT @Jen4SenNC: It’s possible!
#jen4sennc #itspossible #mondaymotivation #motivation #motivationalquotes https://t.co/hC89FmMEaS"
10,"Today, I found a website that listed political survey answers attributed to me. I’ve never heard of the group, and the answers are not at all representative of my published or stated views. Be careful when doing your research. If skeptical, go to the source- reach out anytime!"
11,"RT @Jen4SenNC: This quote reminds me a lot of my government service. The best leaders always said, “Don’t come to me to admire the problem.…"
12,RT @Jen4SenNC: I signed the U.S. Term Limits Pledge. I challenge other state and federal Congressional candidates to sign up too. Expect mo…
13,RT @Jen4SenNC: What a custom wrap looks like when you don’t take PAC money (or any money)! It’s possible! https://t.co/0BnJZC32Ji
14,"RT @Jen4SenNC: 2 years on The Hill,
3 degrees in Poli Sci and International Security,
8 months of campaigning (so far),
20 years serving my…"
15,"RT @Jen4SenNC: Thank you all for making it possible.
#ncpol #ncsen https://t.co/2cYioHStPI"
16,RT @Jen4SenNC: “I was doing my due diligence as an independent (conservative) primary voter this morning. I was totally stuck on your site…
17,"RT @Jen4SenNC: Eight minutes of your time, and you will know: why I’m running for U.S. Senate, how I’ve prepared to represent NC, top prior…"
18,@rooisaid Change “facts”.  Lead with data.
19,RT @Jen4SenNC: I have been labeled as everything from a conservative to a moderate in the past week. It is clear that we no longer share a…
20,"RT @Jen4SenNC: Experience. Vision. Grit. It’s possible.
#jen4sennc #itspossible https://t.co/7daHEtTKls"
21,"RT @Jen4SenNC: Apologies for the frame-in-frame, but wanted you to see this in its entirety! It’s possible, NC!  #jen4sennc https://t.co/rI…"
22,RT @Jen4SenNC: This is the face of the ONLY U.S. Senate Candidate for NC who spoke at all 14 GOP District Conventions over the past month!…
23,"RT @Jen4SenNC: I was asked how a no-donation campaign works. Simply: Call/email, it’s me.Speechwriting-me.Strategy/metrics-me.Outreach/medi…"
24,Fiscal responsibility in a U.S. Senate race.  It's possible!   https://t.co/Yh2JagDSXh
25,"RT @Jen4SenNC: Good Morning, NC! #Jen4SenNC  It's possible! https://t.co/RvEIaTDw8I"
26,"NC Voter e-mail from the weekend: ""Thank you for taking the time to so thoughtfully reply to my questions- and you are the only candidate that did so, by the way.""  Candidates run the way that they will serve you.  Expect more, NC. It's possible!"
27,"It’s possible!

https://t.co/vwTubcZUUd"
28,"Tomorrow is Primary voting, NC! I’ll be standing by to answer any questions you have as you make your final selections. Details linked below. Make a plan- V-O-T-E!  https://t.co/zniNCC0yiB"
29,"Disappointed to hear about Republican leaders in NC sharing their Primary votes on social media. It may not be against the law, but it is wrong, and not representative of the values and ethics we (and they) espouse. #ncpol #ncsen"
30,"NC-one-stop voting ends at 3PM today. If you are not registered, or if you don’t want to stand in line on Tuesday, this is your moment!"
31,@TheRealBeliveau Prayers for focus and wisdom. You got this. Based…right? ;)
32,"We are celebrating the last day of early voting in NC with a Pre-Primary breakfast! Buttermilk pancakes with blueberries. Sloooooow cooked bacon. Fresh strawberries. And, of course, coffee. Happy voting, NC! #twittersupperclub https://t.co/EaDRIRDpGd"
33,"@ratlpolicy Congratulations and good luck as you go forward with final prep, defense/oral comps/other, and beyond. That meal looks amazing!"
34,"Savoring the last of these pre-Primary moments by answering questions of North Carolinians preparing to vote. For 14 months, I have answered the (e-)mail. All of it. So grateful to every person that took their time to share great questions, support,ideas,disagreement,guidance. https://t.co/c318cJiNKD"
35,"Where it all started. Change the conversation, and you start changing the world. Vote."
36,"Good Morning North Carolinians! If you are not currently registered to vote, need to change your affiliation, or if you don’t want to stand in long lines on 17 May, you have through Saturday to do one-stop/early voting. Find your location here: https://t.co/tc7YUoXUQB"
37,"If inflation is the #1 concern in America, what would happen if we had the discipline to talk only about inflation until Congress presents an acceptable plan to address it?"
38,"Smoked ribeye sliders with sharp cheddar cheese, spaghetti with truffle,porcini, and cream marinara, fresh strawberries and sliced cucumber. #twittersupperclub https://t.co/x55kSKBNX7"
39,"Grilled beer brats with peppers on brioche buns, and sweet corn on the cob. Blueberry cobbler with vanilla bean ice cream for the win. #twittersupperclub https://t.co/7OcuIP1JRL"
40,@four4thefire You should give him Havel’s Power of the Powerless as a gift. Prayers for his safe travels and good health.
41,"Thank you all for making it possible.
#ncpol #ncsen https://t.co/2cYioHStPI"
42,We voted! Did you? https://t.co/Ua6Ou01zq5
43,"@CutlerBryantNC Congratulations, Cutler!!! Was there anything that surprises you about the voting experience? Thank you for bringing the future to the now."
44,"“I was doing my due diligence as an independent (conservative) primary voter this morning. I was totally stuck on your site and information, interview, etc. So refreshing. I want to believe it is possible.” 
-North Carolinian Voter  
It’s possible!
www. https://t.co/t1bpQArJKk"
45,Make a plan. Vote! https://t.co/WeajVVxoWl
46,"Good Morning!
North Carolinians- tomorrow (10 May) is your last day to request an absentee ballot for the Primary."
47,"Cheddar bay biscuits, onion and bacon potatoes, and ribeye roast. My husband smoked the meat all day, and it is beyond amazing! 
#twittersupperclub https://t.co/YP4FmXCKLC"
48,"Thank you, mom. Today and every single day. I love you. https://t.co/bYgKVgFNzs"
