Unnamed: 0,Text
0,"Its been a rough week, but boy did it end on a high note. Finally, justice for the unborn! Praise the Lord!"
1,"Last night didn’t turn out in our favor. But I’m thankful for all my supporters across Southwest &amp; Middle Ga who helped on this journey.

As for @kyseptember and me, we trust God’s plan in all things. We know He’s always in control, and thats why we’re excited about the future!"
2,@KLF @kyseptember Thanks Ken!
3,"RT @BurgessOwens: Big things ahead for @thejeremyhunt. Good luck today, my friend! Change is coming to Georgia's 2nd Congressional District!"
4,"RT @newtgingrich: Anyone in #GA2 who wants to see a smart, energetic, and principled leader represent them in Washington should go vote for…"
5,"RT @TomCottonAR: Go vote today for @TheJeremyHunt in Georgia’s runoff. 

Jeremy has dedicated his life to serving our country. 

Now more t…"
6,RT @VoteMarsha: I urge all my friends in Georgia to get out tomorrow &amp; support @thejeremyhunt for United States Congress. As a West Point g…
7,"RT @EliseStefanik: 🚨 ENDORSEMENT ALERT 🚨

Proud to endorse @thejeremyhunt for Congress in #GA02!

Jeremy is an Army Veteran who has what it…"
8,"RT @NikkiHaley: I know what it takes to win in a runoff and @TheJeremyHunt has it. He's the pro-family, pro-farmer, pro-freedom candidate w…"
9,"RT @votetimscott: Jeremy Hunt knows what it means to serve. He has selflessly dedicated his entire life to public service, and I know he’s…"
10,"Ky, Kinsley and I just voted and we’re fired up! The polls are open until 7PM, so make sure you get out and VOTE! Looking forward to winning the nomination tonight and moving forward to November! #GA02 #GaPol #J4G https://t.co/ySXVNcar3Q"
11,WOW! I’m thrilled to welcome another SEVEN elected officials to the J4G team. That makes over 42 local elected officials who have endorsed us so far. I’m so thankful for their endorsements as we build a strong coalition to win tomorrow’s runoff and #BootBishop in the Fall! #GA02 https://t.co/xIcFKPv8RT
12,@EliseStefanik Thank you Congresswoman! Let’s win this thing!
13,"Thanks Senator Scott for your endorsement as well as your leadership in the conservative movement. Tomorrow, we’re going to win the nomination and be on our way to flipping our district RED in November! https://t.co/lNL5PRxKtm"
14,"Thank you Congresswoman @EliseStefanik for your endorsement! We’re going to win the nomination on Tuesday, defeat Sanford Bishop in November, and deliver a conservative majority in Congress. With your support, we’re well on our way! #GA02 #GaPol #J4G https://t.co/g0gFOT8Etb"
15,"My opponent has zero momentum and has resorted to making fake, illegal calls harassing voters in our district using my name. Thanks @ByNickEWoot for uncovering these dirty tricks. https://t.co/yNDOURq5bu"
16,The J4G Sheriff coalition continues to grow! I’m honored to have the support of Sheriff Peavy of Dooly Co. &amp; Sheriff Hilton of Calhoun Co. I’m still the only candidate in our race trusted to support our men and women in law enforcement. I won’t let you down. Vote on June 21st! https://t.co/09X2zWxMEw
17,RT @charliespiering: When you realize you're late for the beach trip... https://t.co/EcUYBfzDiO
18,"We have reason to believe that my opponent is sending out fake robocalls harassing voters in our district at all times of the night while saying “Vote Jeremy Hunt.”

Any voicemail￼ from our campaign will end with “Paid for by Jeremy for Georgia.” Let’s end this June 21st! https://t.co/QegbcJXyoK"
19,"The girls and I visited Baconton, Camilla, Thomasville, and ended with a Meet &amp; Greet in Grady County! We had a full house of supporters who are ready to get back out and vote this upcoming Tuesday, the 21st! https://t.co/FA0a8hRAsI"
20,RT @VoteMarsha: To all my fellow freedom-loving friends in Southwest and Middle Georgia - don’t forget to get out and VOTE for @thejeremyhu…
21,Thank you so much Senator! Everyone check out our conversation below: https://t.co/NXkkhzewc1
22,Hearing that some are concerned about missing my last appearance on Fox. You can check it out here! Thanks to everyone who tuned in! https://t.co/T7awjn0nXx
23,Agriculture is Georgia’s #1 industry. That’s why I put our farmers first! #GA02 #GaPol #J4G https://t.co/llIEXtaHoD
24,He’s crying out for help y’all https://t.co/Kerc18a4BS
25,"Today we celebrate the Army’s 247th birthday as well as 245 years of the Stars and Stripes!

The J4G team got up early to wave flags as folks made their way into work. We also had the opportunity to hand out donuts and coffee at our VFW Post!  #GA02 #FlagDay #J4G https://t.co/C2AbpKQkNg"
26,"I know several families, farmers, small business owners, and Veterans in our district who can attest that Biden’s disastrous policies have indeed changed their lives. https://t.co/31giGOueWs"
27,Please join us in prayer for our Bibb County law enforcement officers as they work to safely handle this situation. We’re believing God that the hospitalized Sheriff Deputies will recover quickly in the days to come. #BacktheBlue https://t.co/4Jp4Ds8uAe
28,"RT @ByNickEWoot: In #GA02 GOP runoff, @thejeremyhunt gets another endorsement. This time: U.S. Sen. @MarshaBlackburn. #gapol https://t.co/z…"
29,"Thank you for your endorsement, Senator! Our country is better off because of your conservative leadership. I appreciate your support in our fight to flip this seat and take back the House! https://t.co/6Tgrh4IjLZ"
30,RT @CivicViewPoint: .@thejeremyhunt isn't the only family member being tweeted about by Ambassador @NikkiHaley! TOO CUTE!
31,"I’m running a campaign to defeat a 30-year incumbent by focusing on faith, family, and community. Unfortunately, my opponent has no forward vision of his own. Here’s why I am the best candidate to defeat Sanford Bishop. #GA02 #GaPol #J4G https://t.co/XxEKcU8sQP"
32,Traveling the district with my girls today! #GA02 #GaPol #J4G https://t.co/Y1dSjZL0Tl
33,Thank you to Amb. @NikkiHaley and the 200 J4G Patriots who rallied with us yesterday! It was a standing-room only packed house. We’re fired up for June 21st! #GaPol #GA02 https://t.co/RSMbAFLna4
34,https://t.co/ykpBDhQlll
35,Out of touch elites strike again. Many Black voters in South Georgia proudly exercise their 2A rights. In fact gun sales have gone up in the midst of the crime epidemic spurred by failed democrat leadership. But PLEASE keep this tone-deaf messaging up through this fall! https://t.co/I06t3WJQuL
36,RT @BradOnMessage: A foiled plot to assassinate a Supreme Court Justice days before the biggest opinion in 50 years does not make Page A-1…
37,"RT @NikkiHaley: It was a great day in Columbus, GA! @thejeremyhunt is the pro-family, pro-farmer, pro-freedom candidate who will keep Georg…"
38,"RT @Emma_Hurt: “And how much are you paying for gas?”

Republican state House Rules chair Richard Smith makes the case to GA-02 voters for…"
39,"RT @Emma_Hurt: Hunt says this is a fight for a “generation.” 

“Every grandparent and every parent here that you think you've lost your chi…"
