Unnamed: 0,Text
0,I have been busy talking to voters from across District 17.  From Sewickley’s Night Market to my son’s baseball game vs Riverside (Beaver County) to meeting friends from Oakmont and Verona it has been great talking with people about ways to move our country forward! https://t.co/wmWbqHp8BH
1,… Pittsburgh used to be ranked #3 in the US for corporate HQs just behind NY and Chicago.  When the HQ leaves the focus will inevitably shift over time and both investments and local philanthropy dwindles.  I will work with business and labor to advance our region!
2,Western PA is one of the best places to live and raise a family. We need leaders who will fight for our region and encourage a positive business environment.  The announcement by ATI moving its HQ to Texas is bad news for our region.  We have seen this story before (1/2)
3,We were happy to support the historic Burtner House’s annual Strawberry Festival this past weekend.  There is so much history here in Western PA to learn about and enjoy.  Thank you to all those keeping it alive and telling the story to the next generation. https://t.co/ujoWgFdAMj
4,Another fun Saturday afternoon across #PA17 — first in Beaver Co (Chippewa Twp) for a car cruise benefitting the Blackhawk HS marching band &amp; then in Allegheny Co (Oakmont/Verona Boros) marching in a parade for the county’s 108th annual Volunteer Firefighter’s Assoc convention. https://t.co/gsLtEKugKD
5,Proud to run for a great cause at the @PghCureSarcoma 5k! There was a tremendous crowd at North Park this morning to raise important funds for cancer research/awareness. #PA17 https://t.co/yZMZEzJCBY
6,Thanks to the @EASCarpenters for the opportunity to tour the @kmlcarpenterstf Pittsburgh Training Center earlier today! It's terrific to see local apprenticeship programs that provide excellent preparation for careers in building trades. The Carpenters do great work in #PA17. https://t.co/TqyvdJsfwl
7,I enjoyed my visit to the Honus Wagner Museum operated by the Carnegie Historical Society.  I was happy to join and support their work.  Carnegie is a wonderful community here in PA-17 always enjoy talking with so many people and pets! https://t.co/2Wj8wvagbh
8,Stacey and I were honored to be able to support the Beaver Area Jaycees at their 25th Annual Dinner Fundraiser in Monaca.  The Jaycees support many great charitable groups including Nicolina’s Wishes and the work they are doing to help the community. #beaverareajaycees https://t.co/TMqKDynGwW
9,Beautiful day in Beaver County. Our campaign has a booth at Beaver Area Heritage Foundation’s 43nd annual Garrison Day — it’s great to see such a variety of vendors and meet with so many wonderful people! #PA17 https://t.co/Gf9V57cVkK
10,Stacey and I were happy to support the Mary Claire Foundation at their 5k fundraiser in North Park this morning. Also had a great talk with CORE volunteers on organ donation. https://t.co/4gQWV3RkNy
11,The United Way of Beaver County is doing tremendous work. Stacey and I were honored to be able to attend and donate at the annual dinner. Congrats to Mike Rubino the Exec Dir.  on retirement.   It was good to see so many Beaver county friends working to make Beaver even better. https://t.co/X64pnL1elF
12,"Just posted a photo @ McCandless, Pennsylvania https://t.co/Id7ZShXbZJ"
13,"Just posted a photo @ Cheswick, Pennsylvania https://t.co/VY15Owf859"
14,#PA17 is made up of many great  communities. McKnight Village in Ross is one of them. I’m happy to support their annual Run for the Rec. Here are pics from today &amp; one from a few years ago. Sadly I think my time pushing the stroller &amp; my time today without it were about the same. https://t.co/Qa00qOdlgb
15,Great to meet so many fellow Shaffers (and Schaffers!) in Beaver County today! #PA17 https://t.co/yQksuYx4IW
16,This morning I was proud to support Beaver Volunteer Fire Department in their 20th annual 5k run — the longest continual and most attended organized race in Beaver County! #PA17 https://t.co/WSdC3a4OMN
17,Great to be in Kennedy Twp earlier today to tour @RosedaleTech and see career and technical education programs in action. Thanks to President Dennis Wilke for showing me around! #PA17 https://t.co/1vO9LP56mA
18,"A beautiful morning for a Memorial Day parade in Sewickley! 🇺🇸 

It's great to see our communities coming together this long weekend to celebrate our country and honor the sacrifice and service of our fallen heroes. #PA17 https://t.co/b5oz30LU59"
19,"Today, Memorial Day, we honor the brave men and women who gave their lives fighting for our great country. Thank you to those heroes who made the ultimate sacrifice to protect us and ensure our freedoms. #PA17 https://t.co/JxsG1Sd40b"
20,"Land of the free, because of the brave! 🇺🇸 

It was an honor to be in Carnegie this afternoon for their annual Memorial Day parade as we paid tribute to all the brave men and women who made the ultimate sacrifice while serving our country. #PA17 https://t.co/eEozffqiuO"
21,Just posted a photo @ Mario's Dockside Grille https://t.co/JTdCTKPr9s
22,"Just posted a photo @ Gibsonia, Pennsylvania https://t.co/F632T6W8aX"
23,👋 🪧 Great day for sign waving and thanking everyone who voted this past Tuesday! #PA17 https://t.co/Seffhp72z9
24,"Fun time today at @SenElderVogelJr’s Kids Extravaganza!

The event is at the CCBC Dome and continues through 2pm so stop by if you can for a great time with games, prizes, treats, and more! #PA17 https://t.co/PfxdPdVhbe"
25,"Thanks to our amazing team across Western Pennsylvania and beyond, tonight we secured the Republican Nomination for #PA17!

Full statement: https://t.co/XjVhMQRUZF https://t.co/8pwrEV8kJI"
26,"RT @EliseStefanik: GET OUT AND VOTE! 🗳️🗳️🗳️ 

#PA17: Make sure you get out and vote for @JeremyShafferPA! 

Jeremy will work thoughtfully a…"
27,"You know what day it is! 🇺🇸 🗳 

I’ll be out at the polls from 7am to 8pm greeting voters and I’d be honored to earn your vote.

I’m so proud of the positive, principled campaign we’ve run and so thankful for all your support — now let’s go win this! #PA17 https://t.co/uzfl3QDg0Z"
28,"Pennsylvania’s clean natural gas energy create thousands of jobs for Boilermakers, Steamfitters, electrical workers and all the building trades. I’m committed to bringing back those jobs! Vote Jeremy Shaffer for Congress! @Boilermakers154 @Steamfitters449 https://t.co/ltISLPDnLl"
29,"Had an absolutely incredible time at our campaign’s picnic meet &amp; greet at North Park this afternoon — what a beautiful day!

Republicans from all corners of #PA17 are fired up and ready to vote on Tuesday. 🇺🇸 https://t.co/8LsWA4t1hr"
