Unnamed: 0,Text
0,"This is the #EmpowerthePeople System I spoke of at my last Town Hall Meeting to work in conjunction with the #RepthePeople System. We're going to unite, think, love, and vote for the best ideas, instead of crooks who keep screwing you over. #DontTread
https://t.co/gtNKGWvnoR"
1,"Was great speaking with my fellow New Mexicans about my campaign and our strategy to take back our Congress. #RepthePeople #DontTreadOnMe 

https://t.co/YU2Bm3k5aL"
2,"""It is too often that those in government think of solutions looking for problems. Tyrants never come in the form of boogeymen, but always in the guise of promised saviors."" #RepthePeople #DontTread https://t.co/PxOtIDcYtS"
3,#RepthePeople #DontTread https://t.co/sW3UruA8xu
4,"Being blinded by what you think you know from what you could know, is the greatest darkness in which we reside."
5,"Keep an eye on this. Whatever your personal opinion, I know this is popular with the People, let's see if the Senate followsthrough. #repthepeople #donttread
https://t.co/EbdiwcMc7l"
6,"Happy President's Day  #RepthePeople #DontTread
https://t.co/VveZg0uYM0"
7,Hot off the presses. :) #RepthePeople #DontTread https://t.co/UZRGqeGNYk via @ein_news
8,The #RepthePeople System https://t.co/tlEbVakgNX via @YouTube
9,I just uploaded “The #RepthePeople System” to #Vimeo: https://t.co/QIVIv58gLS
10,"Special election two months away for the 2nd Congressional District in Louisiana. We need to elect regular people like this, who actually care about their people, not $$$. 
BELDEN BATISTE FOR CONGRESS #Louisiana #RepthePeople https://t.co/uCFPxuyGmA via @YouTube"
11,Our first #RepthePeople Newsletter has been published! Please subscribe at our campaign website https://t.co/bFdPzUiHws to stay up to date with the campaign and show your support to take back Congress for #thePeople. See newsletter here at https://t.co/QF2SRV2Bx4 #DontTread
12,"Greetings everyone! We have revamped our campaign website to try and give it a more professional look. We will always be working to improve how we communicate our message. Original domain will be up and running again soon.
#RepthePeople #DontTread 
https://t.co/kz3ZHpupOB"
13,I just uploaded “A Simple Fix” to #Vimeo: https://t.co/FHuEqB7vS5
14,#RepthePeople #DontTread https://t.co/GeAZJPRRUM
15,"We are asking you, the American People what YOU want, unlike the Representatives and Senators who only care about what their wealthy donors want. There are just seven questions I would like to ask you. #VoiceofthePeople #RepthePeople #DontTread
https://t.co/5i4puQVMCI"
16,I just uploaded “5 DOLLARS” to #Vimeo: https://t.co/CbRIohB4pt
17,5 DOLLARS https://t.co/aAoACjRgob via @YouTube
18,"@marcorubio @JimInhofe @JohnCornyn @SenatorRisch @SenJoniErnst @TomCottonAR @SenKevinCramer You senators need to #RepthePeople and demand an election audit. The People need to know the election was done right, and if you do not stand up for them, we will remember."
19,#RepthePeople #DontTread https://t.co/yervHSpLAM
20,"Here's a good one. CONGRESSIONAL TERM LIMITS! You think the People might want this @SenatorTomUdall and @MartinHeinrich ? What about you Senator-elect @benraylujan ? I'm going to find out, so help me God, and I will fight for it in the U.S. Senate if that is the case."
21,@USSenate Only six of them voted no on that popular stimulus bill. I wonder how many of them asked their constituents about it first? #RepthePeople #DontTread
22,"@JOSEPHMPHANLEY @BreitbartNews I agree. Our legislators don't represent us, that's why I'm running for US Senate in 2024. I'm developing a system where the People will truly be represented. This is just madness Joseph. https://t.co/bFdPzUiHws"
23,I just uploaded “Campaign Announcement” to #Vimeo: https://t.co/OVhcIrbG86
24,Did they ask what you think? Do you know where most of this money is going? WHY didn't they tell you first and ask you about it? Could it be because they don't #RepThePeople? #DontTread https://t.co/lLawyTuYzL via @BreitbartNews
25,#DontTread https://t.co/prlBfOpmKc
26,RT @JRose4USSenate: Campaign Announcement https://t.co/HVcwbSx76B via @YouTube #RepThePeople
27,Campaign Announcement https://t.co/HVcwbSx76B via @YouTube #RepThePeople
