Unnamed: 0,Text
0,"RT @Joanne4Congress: Tonight's the Night!  

NBDC is hosting a Candidate Showcase and Straw Poll open to ALL Brevard County Democrats 

Enj…"
1,"RT @Gayezo1: #VoteBlue
PLEASE RT"
2,"📣  IF YOU LIVE:

Titusville to Daytona Beach West to the St Johns including the Deltona area - You are in Florida Senate District 8 &amp; You need to be FOLLOWING:

@8AndreaWilliams 

And if you live anywhere else, Show her Your Support!! https://t.co/JWDqhUhexc"
3,RT @BrevardCo_FL: Looking for the opportunity to give back to your community in a rewarding way? Help keep our children safe while crossing…
4,"Tonight's the Night!  

NBDC is hosting a Candidate Showcase and Straw Poll open to ALL Brevard County Democrats 

Enjoy some Great Seafood, Hear from the Candidates &amp; VOTE for your choice for Gubernatorial &amp; Congressional Candidates to be on the ballot this November! https://t.co/2VF4XhC9q3"
5,"RT @Joanne4Congress: This is Not a Drill!

We MUST #GOTVBlue !

EVERYTHING IS ON THE LINE!

@BrevardDems

 #TikTok https://t.co/KFPWsUkjCx"
6,"RT @NWSMelbourne: June 27th |  Storm chances will increase during the afternoon, especially inland from the coast.  Most areas west of I-95…"
7,"RT @Joanne4Congress: I Will Support SCOTUS Reform, My opponent Bill Posey Won't!

Help stop the Madness!

Chip in $20.22 for change in 2023…"
8,"RT @Joanne4Congress: SCOTUS Justices are not above the law!

I will support SCOTUS Reform, My opponent Bill Posey won't!

Chip in $20.22 To…"
9,"@DoYouHaveData For Starters ...
1. Term Limits - absolutely
2. Ethics requirements - recusal for conflicts should not be voluntary (Justice Thomas👀)  + other
3. Confirmation Accountability - no point in hearings if nominees are not held accountable for their testimony"
10,"RT @Blue2Being: Voting is critical and so is encouraging others to do so.  Check your registration.  Talk to friends, neighbors and family.…"
11,"RT @BrevardDems: Join us THIS Friday for march and/or rally … details under the link! Feel free to DM us with any questions. 
#BrevardWontG…"
12,"@ThePurpleBauer @hernandodems @HCFLDems @BrevardDems @CollierDems @DemsKeys @VolusiaDemParty @HiCtyDemocrats @JaCoDems @MarionDemsFl @PBCDemParty @DemocratManatee @polkdec Don't wake up Nov 9th and say, Damn I should have done something more. Just do it - Contact your local Dems ⬆️

https://t.co/xpL2Wn40wi"
13,"@debbie156 We Better ...

#VoteBlueToProtectWomen 
#VoteBlueToProtectLGBTQIA 
#VoteBlueToSaveOurKids
#VoteBlueToSaveDemocracy 

IT'S ALL ON THE LINE!"
14,"This is Not a Drill!

We MUST #GOTVBlue !

EVERYTHING IS ON THE LINE!

@BrevardDems

 #TikTok https://t.co/KFPWsUkjCx"
15,"SCOTUS Justices are not above the law!

I will support SCOTUS Reform, My opponent Bill Posey won't!

Chip in $20.22 Today for Accountability in 2023 https://t.co/3kroshVxuZ https://t.co/zDDObSrrsR"
16,"I Will Support SCOTUS Reform, My opponent Bill Posey Won't!

Help stop the Madness!

Chip in $20.22 for change in 2023! Go to JoanneTerry. com 
 #TikTok https://t.co/4uMlh2BRlb"
17,"RT @FL8ForJK: 📣 #TeamTerry 

Monday evening, Come Up to Dixie Crossroads in Titusville for some great Seafood and join the N. Brevard Dem C…"
18,"RT @ThePurpleBauer: Register to vote in #Florida or check your current registration:

https://t.co/wlpoXeXexD

Please retweet!

#TeamMarkFL"
