Unnamed: 0,Text
0,"Fatherhood has been one of the great joys of my life. So proud to be their dad.  

Happy Father’s Day to everyone! https://t.co/y2zkF3dICm"
1,"@JulianCastro is guest hosting on @MSNBC today and tomorrow.  

Tune in! https://t.co/0mlVB4SLJr"
2,"Join us this Saturday as we honor and #standwithuvalde  

Hope to see you all there #UvaldeStrong https://t.co/uAMM5TIksU"
3,"RT @jay4txland: Honored to be endorsed by a host of elected officials from Bexar County. 

We’re only 6 days away from Election Day and it’…"
4,"Proud to endorse Democrat @jay4txland for Texas Land Commissioner. As an experienced environmental educator and advocate, Jay has the skills necessary to get the job done right. 

I hope you’ll join me in voting for Jay Kleberg! https://t.co/8Y8JZff3IV"
5,"RT @jay4txland: Excited to endorse my friend, @MichelleVforTX, for Texas Congressional District 15.

Michelle is the daughter of immigrants…"
6,RT @PatrickSvitek: .@JoaquinCastrotx endorses @MichelleVforTX in #TX15 Democratic primary runoff as early voting gets started there
7,"RT @SawyerHackett: The left: health care should be free, I think.

The right: Washington is run by a cabal of child-trafficking pedophiles…"
8,"RT @NoLieWithBTC: Hundreds of billions in PPP loans have been forgiven, including for big corporations. Republicans had NO issue.

But the…"
9,"RT @harrylitman: .@JoaquinCastrotx: Gov Abbott is following in Trump’s footsteps, playing to the far-right base with political stunts to po…"
10,RT @Castro4Congress: This is how @GregAbbott_TX gets away with giving huge state contracts to cronies.
11,RT @amandacarpenter: ICYMI: One of two leading candidates for #pagov vowed to appoint a Secretary of State to shred the voter registration…
12,This is how @GregAbbott_TX gets away with giving huge state contracts to cronies. https://t.co/C93UAuxd5M
13,"RT @_RebeccaMarques: Don’t mind me — just here for the @BetoORourke and @Castro4Congress crossover !

Let’s go Beto!!! #AbbottFailedTexas h…"
14,".@GregAbbott_TX cant keep the lights on, can’t keep the traffic and trade moving and can’t keep Texans safe. Time for a change. @BetoORourke for Texas Governor. #BetoForGovernor https://t.co/KpDKKTRDkY"
15,https://t.co/QVhOVHuNAE
16,Honored to be endorsed by the @Brady_PAC.  Let’s continue the critical work around this important issue #TheTimeIsNow https://t.co/3GWQham9n2
17,RT @JuanSaaa: This is the San Antonio and Texas spirit that ⁦@JulianCastro⁩ and ⁦@JoaquinCastrotx⁩ tell us about on regular basis 👏🏼 https:…
18,"RT @LemonadaMedia: ""This was a great night for progressives in Texas, and we're not going to get that coverage. But we, at least, should ta…"
19,"I’m proud to endorse Ivalis Meza Gonzalez for Bexar County Judge. Ivalis is a passionate leader who will do great things. She will work to ensure that the University Health System takes care of our residents, especially those most in need, and to create a fairer justice system. https://t.co/s3qKXqvT59"
20,RT @SenatorLujan: See you all soon! https://t.co/jJe8OCn8lw
21,#FixTheDamnGrid https://t.co/TADbZrhv2C
22,RT @ChrisGTurner: How it started.              How it’s going. #txlege https://t.co/ccHCADIA47
23,Happy birthday Coach Pop! https://t.co/ZwfUFFwMxx
24,"Congrats, y'all! https://t.co/eENrd5Gl4y"
25,RT @RepSwalwell: Cancun
26,"RT @byjayroot: Awkward: Billionaire Kelcy Warren's company is threatening to cut fuel to power plants in dead of winter, which is ""ruffling…"
27,This is peak @TexasGOP horse $hit https://t.co/q2pFWIblId
