Unnamed: 0,Text
0,Only a few hours left! Make sure to vote for parents rights! Vote John Barge for State School Superintendent! https://t.co/9n830hbC4l
1,@RightThing8 Thank you!!
2,Happy Election Day! Go vote John Barge for State School Superintendent! https://t.co/gntyriLkLZ
3,"Schools need to stop grooming children! Enough is enough. 
And yes, this is a GA school library. https://t.co/9QoMMXWnEq"
4,"Regardless of tomorrow’s outcome, I want to encourage parents to keep fighting for their children and for education."
5,See why I’m running! https://t.co/wYnYT9BPSc
6,It’s time to get back to the basics #education #gapol https://t.co/cCN6ZJrLrG
7,"Thank you, Joel! I am grateful for your kind words of support!! https://t.co/7F9ye1xSR3"
8,"In case you didn’t know, GA received a grant because of the SEL standards that the incumbent implemented. He’s even quoted below b

#KnowBeforeYouVote https://t.co/41raGLVlXA"
9,https://t.co/ivgrZD1V3C
10,"In case you missed any of our announcements, here are our endorsements! We are grateful for the strong support throughout the state! https://t.co/YP4icRSkIV"
11,"The transgender ideologies are infiltrating into our schools- and the incumbent is allowing it. 
I will not allow this to continue. https://t.co/WOPZXB3pP9"
12,"We have lost ground since I was in office. We’re going backwards. I am running to restore the foundation, rebuild the DOE, and renew trust https://t.co/QTRgSI3OwM"
13,Anyone ask the incumbent why he’s running on things he should have already done the past 7 years he’s been in office?
14,I encourage transparency and parental involvement! https://t.co/NGNWwxfbXq
15,"The only record my opponent has to run on is the achievements of MY WORK from my administration. See here. 

There he goes again, taking credit for something he had nothing to do with. 

Give credit where credit is due. https://t.co/O7jMeShnez"
16,https://t.co/JtWhwOTYSw
17,RT @MarshaK22: @JohnBargeGA DECLINING - and his underwriting of GPB and PBS Learning Media on the GAdoe website is unacceptable as it teach…
18,@MJMADDJR I agree
19,Be aware! These are just a small amount of the many reported books in Georgia schools that parents have found. Why are we still allowing this? https://t.co/C4XEtV4Uzd
20,"I want to hear from you!
The incumbent has been in office for 8 years. Do you think our children are better off now or is our education system declining? https://t.co/W4HIgKvG4C"
21,I am the only candidate in my race who has consistently stood up for the rights of parents and fought back against government overreach. https://t.co/4lWbtQXZOW
22,"BREAKING: we received report of a teacher in metro Atlanta who decided to participate in some sort of “protest day.”

Schools are NOT the place for your social activism. A teacher’s job is to teach content, not push social agendas. https://t.co/9lPtvw7rjF"
23,"My opponent has been in office for 8 years and has no record to run on. That’s why he decided to create a fake website full of lies against me. 
So I wanted to give voters a little bit of insight. 
Here are the facts. https://t.co/YUTErHXJq1"
24,"When a group of parents went to the incumbent to show them examples of offensive and pornographic material in Georgia schools, he ignored them. 
That’s when they came to me and I wrote letters of support to legislators. 
(We later learned the incumbent’s staff worked against it) https://t.co/UXBeUSa2UJ"
25,https://t.co/eLU5FeACqs
26,https://t.co/t9gy80MFDb
27,@JodiForGeorgia Thank you!!
28,Thank you for your kind words of support! https://t.co/B0x3QFZRg4
29,We are ONE week away from the Primary Election! Please consider me for State School Superintendent when you vote on May 24th! https://t.co/lh8O1lI5go
30,"Thank you, Mary, for your kind words of support! https://t.co/CSxlDerFpp"
31,"I’m running to restore the foundation, rebuild the DOE, and restore trust! https://t.co/sT5Pgu25cy"
32,Thankful for another video of support from a parent! https://t.co/T4KJ8KoQV5
33,Great morning in Jackson County! Over 125 people in attendance! https://t.co/jkOH714ivw
34,"Thankful to have the support of a retired teacher, Wanda. See her message to voters! https://t.co/HGqMSfUTb2"
35,https://t.co/QATUHtsYv3
36,Can you give $25 right now to help us in these last few days? We need your help! Go to https://t.co/09R8Wv8dAl to give! https://t.co/Dw306jLcfD
37,@gal_dawg This was when I was state superintendent
38,"We are so thankful for our supporters! Thank you, Noelle, for sign waving! https://t.co/qjqH61acAS"
39,@MarciaAtlanta I appreciate you asking
40,@MarciaAtlanta The graduation test was just a repetitive and unnecessary test for high school seniors
41,@MarciaAtlanta No the graduation test has nothing to do with that. The reason we’re having lower reading scores and math scores (see my most recent post) is because of the current leadership of the incumbent. Did you know they don’t teach phonics anymore? They teach sight words. This is a part
42,#KnowBeforeYouVote https://t.co/iiLPPT4Z5z
43,Lowest in 15 years in 4th AND 8th grade reading AND math #knowbeforeyouvote https://t.co/sv4lwaQsZP
44,Honored to have earned the endorsement of a group that stands for vaccine choice! Thank you @standforhealth1! #GAPOL https://t.co/erklbHgnOQ
45,RT @JohnBargeGA: Only two weeks away and we need your help! Donate today at https://t.co/09R8Wv8dAl https://t.co/vb2ETZQ1jK
46,https://t.co/sZyrcj9tew
47,https://t.co/UwMhd06c55
48,Looking forward to being with the Jackson County GOP tomorrow with @BrianKempGA and Tim Barr! https://t.co/k0uq29r3wZ
49,See you all tomorrow afternoon with the Douglas County GOP! https://t.co/MEyLYdu8Od
50,Thankful for the kind message from a GA educator and parent! https://t.co/NIQU1Yq79K
51,@noleftturnga Agreed!!
52,"The incumbent has allowed in obscene material, political agendas, and indoctrination. It’s time for real leadership to take back our schools. https://t.co/8nKMMPaO7A"
53,https://t.co/AReW7j6YZm
54,https://t.co/kapEd9vBag
55,https://t.co/RoRmNz2fhB
56,Only two weeks away and we need your help! Donate today at https://t.co/09R8Wv8dAl https://t.co/vb2ETZQ1jK
57,This is unacceptable. It’s time to put real leadership back in the DOE https://t.co/7m8TlIQHyg
58,https://t.co/sldgbmCry1
59,"RT @DrMonicaHenson: 1/Endorsement Thread: I support John Barge for GA's State Superintendent of Schools b/c we need knowledgeable, experien…"
60,https://t.co/mxYFVJbhKK
61,HUGE win in Cobb County yesterday at a straw poll! https://t.co/dpWEtmo0Z8
62,"This is one of the state’s most successful education programs. In fact, my opponent couldn’t stop talking about it in our debate. Proud to have created it. https://t.co/mxF5kpxXdG"
63,"#TeamBarge was the clear winner in today’s debate! We encourage you to go back and watch!

https://t.co/3zA2yL2xrB https://t.co/BW0mn8f1kQ"
64,RT @rahulbali: HAPPENING NOW: The Atlanta Press Club debate among the Republican candidates for State School Superintendent. #gapol #gagop…
65,Early voting starts today and I humbly ask for you vote in this very important election 🗳 https://t.co/z0jq7orZpf
66,"Did you know I eliminated the largest barrier to high school graduation- the high school graduation test? This is the reason for the increased graduation rates over the last decade, regardless of who else is taking credit https://t.co/mWTPN97vb9"
67,"Did you know? 

When I was a local superintendent, I stopped the transgender agenda from infiltrating into our school district when the Obama administration tried to force it. 

I’ll continue to fight against the harmful transgender agenda as your next State School Superintendent https://t.co/feXCbhcWaC"
68,Excited to be out at @GACounty conference this weekend! Come stop by! #ACCG https://t.co/OYT4r1mDYw
69,"Parents have a right to be involved in their child’s education. Period. 
I’m grateful to the legislature for protecting those rights when the current superintendent failed them. https://t.co/s8xDUWNZH4"
70,It’s the job of administrators and teachers to put the needs and concerns of parents first. https://t.co/x3hTL24O1n
71,"We are less than ONE MONTH away from the primary election and I need your help! Would you donate $50, $100, or $500 to keep our campaign going? You could be the difference that helps us save our schools!

https://t.co/09R8Wv8dAl"
72,"Education, not indoctrination! https://t.co/NAepVrPsCW"
73,What issues are you most worried about in your child’s education? https://t.co/sCOKBFsa8G
74,Grateful to have won the poll at the Cobb Women’s luncheon! https://t.co/Rb5K5mXj9q
75,"Critical Race Theory gets in the way of learning, it should be banned from our schools. https://t.co/bu9ZstSNqB"
76,"Teach kids to love each other and treat each other with respect, don’t divide them by race with hateful critical race theory. https://t.co/s7aw1DDag5"
77,Looking forward to it! https://t.co/u439kWXQ8a
78,"School Choice matters because it encourages competition. Public Schools should be able to compete with other options. When parents have the choice, we want them to choose public schools! https://t.co/tPAnL3xbLf"
79,@DLG30019 This is unacceptable!!
80,"I find it disappointing that teachers are living in fear and not following the science, thus not giving students the best education. https://t.co/HCjvlxkIon"
81,Parental involvement needs to be welcomed in our schools! https://t.co/ISqjDzEpF9
82,"Schools exist to serve the students and families of their communities, not the teachers and administrators it employs. https://t.co/VTutbGIord"
83,"Monday is the last day to register to vote for the upcoming primary election on May 24th! Register below. 

https://t.co/E20bX8gCAv https://t.co/xegnhxlTs1"
84,"BREAKING: LIBERAL TEACHER UNION ENDORSES INCUMBENT IN STATE SCHOOL SUPERINTENDENT RACE! 

See link below!

https://t.co/PmSpYGELoi"
85,"Good job, Florida! https://t.co/OVy1qpTOwN"
86,Looking forward to being in Thomasville tomorrow! https://t.co/sGSLamORfd
87,CRT is divisive and goes against what we should be teaching our children. We should teach our children to love one another and treat each other with respect and dignity. https://t.co/Rx5yNdhPFM
88,"Christ has risen, hallelujah! #HappyEaster https://t.co/W9vF0lnumg"
89,"Parents should decide whether their child is vaccinated for COVID, not school administrators and teachers.

Medical freedom is an essential right and schools are an essential service. It’s not one or the other!"
90,Education cannot work without removing politics from the equation. https://t.co/2tzmqbF7FV
91,"RT @JohnBargeGA: We need your help! Help keep our campaign going! Would you consider donating $25, $50, or $100 to help us take back our sc…"
92,"Students should understand why they believe what they believe – education is more than temporarily memorizing trivia facts.

We need to be teaching critical thinking skills that can be applied anywhere!"
93,"Students and their success should always be the number one priority, not political agendas. https://t.co/MlbMbEOxxR"
94,"Today is Good Friday, the day we remember the death of Jesus on the cross. Jesus went to the cross so that we may all be saved and have eternal life! May we remember the love and sacrifice of our Savior on this day. #GoodFriday https://t.co/pjnKTRyNrD"
95,A zip code should not determine a child’s future. We need to give every student in the state a fair shot at success.
96,"Teach STEM, not Social Emotional Learning and Critical Race Theory! https://t.co/Xa3y0Ihk2q"
97,"We need your help! Help keep our campaign going! Would you consider donating $25, $50, or $100 to help us take back our schools? We can’t save the education system without you!

https://t.co/09R8Wv8dAl"
98,Their stock is down. Attendance is down. And hundreds of thousands of people are canceling their streaming subscription. Let Disney be an example to public schools! Parents will fight back. When you go woke- you go broke! https://t.co/zBxzITbACw
99,"I hate to see this. My mother graduated from Druid Hills HS. It appears these students have valid concerns about the health &amp; safety of their school. I urge the school system to communicate with students &amp; community regarding their plans to address this!
https://t.co/jZbOQ9t2tV"
