Unnamed: 0,Text
0,"Knock Knock 🚪

Who’s there?

If you live in PA + have a #TeamFetterman yard sign in your front yard, it might just be me + G 😁 https://t.co/7QC6cxJDKJ"
1,"Your move, Wawa. https://t.co/wNVlnU6dDF"
2,"More trains 🚂 for PA is *big* win for our Commonwealth.

Get from Pittsburgh ➡️ Harrisburg

Faster ➕More frequently

Thanks, Guv. 🥰 https://t.co/9V28ZJzdlM"
3,@JamesRLeVan1 @giselefetterman 🥰
4,"PRICE GOUGING IS IMMORAL!!!!!

That’s the tweet"
5,"Monday ☀️ Morning 🥱

Finishing my walk with a sincere + humble ask: If you can spare it, will you pls chip in a few bucks to our campaign today?

Thank you for your consideration. 🙏 
https://t.co/SmdNkbnBEO https://t.co/6aICgI4Ovl"
6,"Since 2015, marriage equality has been the law of the land.

Send me to the U.S. Senate, and I’ll do everything I can to make sure it stays this way - No matter what Clarence Thomas says. 

Democrats MUST act to pass the PA Fairness Act + the Equality Act once and for all."
7,"2016 ➡️ 2022

Women’s reproductive freedom is non-negotiable for me. Always has been, always will be.

Democrats should be UNITED + ruthless about this. https://t.co/6hda997ndT"
8,"Our PA ticket stands together for protecting abortion rights.  

As Governor,  @JoshShapiroPA will absolutely VETO any Republicans bills to end abortion access in PA 

As 51st Senator, I will absolutely VOTE to codify Roe v Wade into law.  

The stakes can’t be higher."
9,Date night with my best girl in Johnstown. https://t.co/gz6En1ph5X
10,"We can't wait. We need Democrats to vote like Democrats, scrap the filibuster, and pass the Women’s Health Protection Act."
11,"@morethanmySLE @AnjelikaTheDog Thanks for the support, Peter 💯"
12,"Abortion rights &gt;&gt; Filibuster

That’s the Tweet."
13,"@MegOnJeopardy I’ll take “THANK YOU MEGAN” for $400, please. 🥰"
14,"I just want to be really clear about something. Abortions will still happen whether it's illegal or not. The difference is that more women will die because they won't be safe, and it will fall hardest on poor women + women of color. We must fight this with everything we’ve got."
15,"A woman's reproductive freedom is non-negotiable.

Dr. Oz said he would support a ban on abortion even in cases of rape or incest.

The stakes couldn't be higher for women in PA + across the country - and this isn't the end of attacks on our civil rights. https://t.co/5R8q8A6zvT"
16,"I won’t stop fighting for Roe v. Wade. 

Like I’ve *always* said: Abortion rights are non-negotiable. https://t.co/GsPqYRmAtV"
17,@AnneBradbury5 @snooget Thank you.  💯
18,"I *literally* can’t stress this enough.

Maintaining our Senate majority + flipping PA blue 🔵 has never been more important.

Can you rush a donation of $10 or any amount to our campaign right now? The future of our Democracy all comes down to PA. https://t.co/j8CPEOXbMI"
19,"In Pennsylvania, the Governor’s pen will either protect abortion rights or eliminate them.  

The stakes can’t be any higher.  

We MUST elect @JoshShapiroPA. He has been an absolute advocate of protecting abortion rights here in Pennsylvania.

There is too much on the line."
20,"BREAKING: The Supreme Court just overturned Roe v. Wade

It is unjust. It is wrong. And I’m going to fight it with everything I’ve got. 

Send me to the U.S. Senate, and I’d *proudly* vote to codify Roe v. Wade into law."
21,"Record primary voter turnout in PA 🔵🔴

In all 67 Counties 🧐

This is *very* significant. 

We have the team ➕ the energy it takes to win in November. 
https://t.co/YVxnQWAn0X"
22,"Schoolchildren's lunch held hostage to bully trans kids is gross.

If PA wants a Senator who stands against this, send me to Washington, D.C. https://t.co/iABShM7rJN"
23,"No one should ration the medication they need to survive. This is just basic Common Sense.

Insulin should be capped at $35 for *everyone*. Let’s get this done.
https://t.co/zL657HmWu8"
24,Giggle. 🤭 https://t.co/DbcxSCiC8P
25,@TheLetterhack @katiasportela 🥰
26,"The Bipartisan Safer Communities Act marks the first time in 26 years Congress will pass major Common Sense gun safety legislation.

It’s a BIG moment for our country."
27,"Woo hoo!! @TCindivisible is hosting the *First Annual* Tioga County Pride in Wellsboro.

We must *never* stop pushing for Equal Protection Under The Law. That means passing the PA Fairness Act + the Equality Act once and for all.

Happy Pride, Tioga. Love Yinz🥰🏳️‍🌈 https://t.co/yrbsmV4YNl"
28,@giselefetterman She's everyone's favorite 🙄
29,"I am a proud product of Pennsylvania public schools, and I was taught by @PSEA teachers as a kid in the Central York School District.

I’m so very honored to have their endorsement today. The Union Way of Life is sacred + I will always stand with PA's teachers. https://t.co/cg9QjrecgS"
30,"DID YOU KNOW that Dr. NJ loaned his campaign $12M+ during the primary?

Now, I may not have the million$ to self-fund our campaign.

But I do know we have the best grassroots team PA has ever seen. 🥰

Pls consider donating $10 tonight. It all adds up. 🙏https://t.co/Fi3xZg5oba"
31,@docSwers @giselefetterman @ZacharyRalph98 @LeviFetterman @JoshShapiroPA @katiasportela ❤️ this crew
32,https://t.co/50qoRi1YVM https://t.co/yLStJOQNY7
33,"I have an MBA. But you 💯don’t need one to understand why a minimum wage of $7.25/hr is great for business but really really shitty for millions of Americans trapped in poverty, while working full-time, for less than $15/hr."
34,@Ali_lynn1039 @giselefetterman 🙏🙏
35,"Yo Adrian! 🥊😌

Seen in Fairmount. https://t.co/6qpy3NUQcu"
36,"UNLIKE those who take corporate PAC money or try to buy a seat with their own fortunes, our campaign is funded by you, the people.

Yup, I’m totally bought and paid for by you 😏

Can you help us out with $5 or $10 ahead of this crucial deadline?https://t.co/4qSwbh715E https://t.co/2M1lmAsZps"
37,"12 hour shifts day in and day out is absurd. I stand in solidarity with Teamsters Local 830 in their strike for better pay + fair hours. 

These workers help beverage companies turn out record profits + they deserve to share in that wealth. 

https://t.co/Dnc1nM8tic"
38,"What goes *great* with an iced coffee? ☕️🧊

A Union - and every Starbucks worker should be able to join one. 

CONGRATULATIONS to another Philly Starbucks Union!!! https://t.co/RWg46EXhNM"
39,@giselefetterman @LeviFetterman 😍🥰
