Unnamed: 0,Text
0,"It was a pleasure to stop by Richmond High School today to meet with students and faculty. 

In Congress, I successfully fought to enact the American Rescue Plan into law—which provided billions to support public education throughout the pandemic. #CA08 https://t.co/qMWA1vEmsf"
1,"Tonight, I joined @USW_Local_5 oil workers at the the Chevron Richmond refinery as they went on strike. 

These workers are opposing efforts to undermine generations of collective bargaining progress and are simply asking for a fair deal. I stand with them. https://t.co/9IhUB5hviE"
2,"It was a pleasure to stop by the Bright Futures Growth And Development Center in El Sobrante to learn about how they develop their students’ talents and strengthen their values.

I will always vote to expand childcare and education services in Congress. https://t.co/V91Ku6w1Iq"
3,"Last month 678,000 Americans were hired back to work — surpassing expectations yet again and bringing the #BidenBoom to a total job creation of 7.4 million. But there’s more to do. That’s why I’m working hard to bring good-paying jobs back to American shores and reduce inflation."
4,"#BREAKING: I’ve officially been endorsed by @CA_Dem in my re-election campaign for California’s 8th Congressional District. I am honored by the support and will never stop working for universal healthcare, strong jobs, and a better education for all through my work in Congress."
5,I just finished meeting with President Zelensky and several colleagues. President Zelensky discussed ways to support #Ukraine against #PutinsWar. Congress must immediately authorize additional humanitarian and defensive relief for Ukraine. We are all in awe of Zelensky’s bravery.
6,"I voted this week to pass the Emmett Till Antilynching Act — a policy that has been delayed for far too long. I look forward to this bill being passed by the Senate and being signed by President Biden, finally closing a horrifying and shamefully long chapter of American history."
7,"I'm laser-focused on getting costs down for the middle class. Prices on essential goods are simply unacceptable right now. 

The House recently passed my Ocean Shipping Reform Act to address inflation and the supply chain crisis, and I'm working to ensure it becomes law."
8,"Members of Congress shouldn't be allowed to use inside knowledge to buy and trade stocks. 

That's why I'm supporting the #STOCKAct to prohibit Members of Congress from buying and trading stocks."
9,"Today, I filed papers to declare my re-election candidacy for Congress in California’s 8th Congressional District, which includes portions of Solano County and Contra Costa County. https://t.co/tCO5V2uDTw"
10,RT @Livableworld: 🎉 Rep. @JohnGaramendi has been a steadfast champion for the Council’s issues throughout his time in Congress and regularl…
11,"The new infrastructure law includes $100 million to offer affordable high-speed internet to every Californian. 

545,000 Californians lack proper internet access. This new infrastructure law will ensure they are connected and bolster services like online school and telehealth."
