Unnamed: 0,Text
0,@beavis617 @Rachel009820 @skipper_wi @MarshaBlackburn Ok.  Let's see those tweets.
1,"@GodTrumpCuntry @IngrahamAngle Oh, let me see....
Yeah, that was just about when the pandemic hit.  Yeah, good luck with selling that."
2,@jenniferhorsey @JoNathanVol77 @IngrahamAngle Maybe because those leases don't have any oil?
3,@grumpyonekenobi @Justask95406683 @IngrahamAngle But it worked so well before...didn't it? Lol
4,@surfingwahoo @pearsoncrz @MayraFlores2022 I never said religion should be in politics.  Can you show me where I have ever condoned that?  Or should I break out the crayons for you?  Wait... I know..  it's nappy time
5,@surfingwahoo @pearsoncrz @MayraFlores2022 Huh?
6,@clark_director @LaDeeDaKY @MayraFlores2022 Huh?
7,"@pearsoncrz @MayraFlores2022 In his first year as president, Washington said, “It is the duty of all nations, to acknowledge the Providence of Almighty God, to obey his will, to be grateful for his benefits, and humbly to implore his protection and favor.”"
8,"@laurenlaurent11 @ma16354264 @Susan_Dupres @thebradfordfile Nope, I use it all the time.  No problem using it as long as it's correct.  The problem is this.  If you actually knew the difference you would have corrected it.  You didn't."
9,"@laurenlaurent11 @ma16354264 @Susan_Dupres @thebradfordfile I am not insisting, I am just not lazy"
10,"@laurenlaurent11 @ma16354264 @Susan_Dupres @thebradfordfile And again you still can't bring yourself to correct your spelling even though the photo you are referencing can spell it right.  Typical. 
And why would police need to be at every door when simply blocking the entrances would suffice."
11,@laurenlaurent11 @ma16354264 @Susan_Dupres @thebradfordfile And your response has nothing to do with what I said.  Deflect much?
12,"@ryan87845367 @RobSchneider Yes, the Army can have them because The Few, The Proud, sure don't want them."
13,"@laurenlaurent11 @ma16354264 @Susan_Dupres @thebradfordfile So you are saying there are 850 exterior facing doors in the US Capitol building?  (FYI Capital refers to a city, not a building, Capitol is a building)"
14,"@GrenMeera @ShhhhDontTalk @DocEgonSpengler @tedcruz Yes, store my weapon in my house to protect my loved ones when I am home, and carry said weapon when I am with my family outside of my home."
15,"@Paraclete1001 @silent_d_SD @MZHemingway As a Marine, we were told that green is the only color we recognize. And for those Non-military, green is the color of our uniform, not the color of our pay."
16,@Mowracer84 @LPath22 @MAJTOURE Self defense is what got England kicked out of the Colonies (at the time) nearly 250 years ago.
