Unnamed: 0,Text
0,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/DxSjneNPvB"
1,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/PtehGHncTo"
2,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/iw70jHbv1d"
3,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/UQWQBgzHmy"
4,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/sAB8qIhCQr"
5,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/6CMnG6OTp5"
6,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/ADOZ7bmRAZ"
7,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/AdostBMnND"
8,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/gKBXbgzlT6"
9,"https://t.co/sulD80IwQa
#txglo #txlege #2ndamendment https://t.co/0I6fRmCtmz"
10,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/9a9MHNDLZl"
11,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/aSkCVpNyVC"
12,"https://t.co/sulD80IwQa
#txglo #txlege #prolife #chooselife #wethepeople https://t.co/TTHWGShAxJ"
13,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/tkejSW6CkY"
14,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/twkS4lWhv1"
15,"https://t.co/sulD80qVrA
#txglo #txlege #electionday https://t.co/BYtUVBmThB"
16,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/RtsSOuI0Zj"
17,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/i3KuU8mNaj"
18,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/fcjtVZmAMe"
19,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/r4IQZ2foXA"
20,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/k8m4o8u9Fp"
21,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/A620mfZr5l"
22,"https://t.co/sulD80IwQa
#txglo #txlege #prolife #chooselife #wethepeople https://t.co/afaQMRwaFa"
23,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/UF6cmDksY7"
24,"https://t.co/sulD80IwQa
#txglo #txlege #prolife #chooselife https://t.co/kY33OIbjAn"
25,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/D44jXxc8dI"
26,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/YFrB18gX5Z"
27,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/MBKj4fjjW0"
28,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/Iqt8lG5GwY"
29,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/WuXmiIju9t"
30,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/cHBljH8e1y"
31,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/L8PFprM07c"
32,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/c87R2Xf0fg"
33,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/eMJL7MRIpD"
34,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/OVwmljR0mp"
35,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/9x6C6pMCya"
36,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/aPpSQpbZs3"
37,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/EmMNpoyGgb"
38,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/Xdk3hFEyPV"
39,"https://t.co/sulD80J4FI
#txglo #txlege #electionday https://t.co/QaA3jFGaBI"
40,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/wkYfOOxjZn"
41,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/1qxrd4lwpW"
42,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/2q7F30l5ax"
43,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/2pQ0HuHhi0"
44,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/2j26MflUIJ"
45,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/oZqFWaEs4f"
46,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/9ZL9ijwvDF"
47,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/gZ6f6o54Jd"
48,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/VPqFN6SjVb"
49,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/RWfep33TkN"
50,"https://t.co/sulD80IwQa
#txglo #txlege #prolife #chooselife #wethepeople https://t.co/ChidQBnxBp"
51,"https://t.co/sulD80J4FI
#txglo #txlege #electionday https://t.co/k1RghR8rOB"
52,"https://t.co/sulD80IwQa
#txglo #txlege #prolife #chooselife https://t.co/0kBLIIaA1L"
53,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/bR77vXXY4I"
54,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/Yr9iTYTLMV"
55,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/BbtJNnSvmM"
56,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/gjZEHz1ORn"
57,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/SlVQaQV5Ri"
58,"https://t.co/sulD80IwQa
#txglo #txlege #electionday https://t.co/OwO5DHF56q"
