Unnamed: 0,Text
0,"My final video ending my campaign.   Thank you all so much for the support!   I am very grateful.   

P.S. Video is grainy and we can blame AT&amp;T for that.  I miss the days when you could get AT&amp;T and Verizon almost anywhere. Shouldn’t service get better?

 https://t.co/pUMAHBXcJN"
1,https://t.co/lIuQYLpenX
2,VOTING DAY!   Be sure to cast your vote before 7pm!   #vote #nevada #democrats #2022 #herewego #letsdothis https://t.co/f9x0s4nVFy
3,Just posted a photo https://t.co/b1zk2sDCo0
4,"RT @ActiVoteUS: 🗳️ Nevada election day is June 14th! Who shares your values⁉️

Midterms 2⃣0⃣2⃣2⃣

Let's get #VoteReady!
👉 https://t.co/KlSD…"
5,Just posted a photo https://t.co/YGiBOZFLw6
6,"Just posted a photo @ Summit, New Jersey https://t.co/JNyj2Ptlnw"
7,@ooshdesign Thank you so much!   Your support means the world to me.  I also have a full statement as to where I stand on abortion at https://t.co/bsyKYNdYSz.  It’s definitely worth reading if you like my post!  😁
8,"RT @nate_postlethwt: Never underestimate a cycle breaker. Not only did they face years of generational trauma, but they stood in the face o…"
9,"Happy Pride Month!

#pride #pridemonth #pride🌈 #prideparade #lgbtq #lgbtqia #lgbtqpride #gay #gaypride #gaypolitician #nevada #nevadapride #democrats #2022 #proud #loveislove @ Summit, New Jersey https://t.co/fhNb1kgP5U"
10,"Just posted a photo @ Carson City, Nevada https://t.co/yrReFSk3Na"
11,Just posted a photo https://t.co/O5pHyBUcI0
12,"Just posted a photo @ Washoe Valley, Nevada https://t.co/QCP43fOi9a"
13,It takes a monster to kill children.  It takes a bigger monster to watch it happen and do nothing. https://t.co/GEwwdTDWVd
14,RT @TheAmandaGorman: It takes a monster to kill children. But to watch monsters kill children again and again and do nothing isn’t just ins…
15,"A video of me addressing why some may not see me on the ballot.  Head over to instagram to view now!

#democrat #cd2 #northernevada 

 https://t.co/7ILWr1XXe4"
16,#guns #GunReformNow #guncontrol #nevada #politics #northernnevada #Democrats #Congress https://t.co/EhDczOCVff
17,"As a former foster child for 10 years, I’ve seen and experienced first hand what happens to unwanted children.  I’m a firm believer in a woman’s right to choose and will FIGHT to ensure this right isn’t taken away.  Children don’t need to grow up unloved and unwanted.  #abortion"
18,Hi Everyone!   I am terribly sorry I have been absent from social media.  I have been working 18 hour days for a couple of months now and that should be changing soon.  I am going to try and post daily going forward.  #Democrats #Candidate #2022midterms
