Unnamed: 0,Text
0,https://t.co/FSWQq7BDVq
1,@MrsT106 @lsferguson Running for office I learned both parties are 2 heads of the same snake. https://t.co/gKDTn8O6mD
2,RT @4TiffanyJustice: I watched as a friend who was 6 months pregnant was forced to choose between taking the vaccine or losing her job. Whe…
3,RT @Scattermae777M: Clinton Body Count: Bill's special advisor 'who let Epstein into White House 7 TIMES' dead at 59 https://t.co/MP6ju71h0V
4,https://t.co/t6xWCKLFkr
5,https://t.co/MuqM464czO
6,https://t.co/0veZJogBd8
7,https://t.co/pI2FWG3aZr
8,RT @JackPosobiec: At least we know what a woman is now
9,Maybe we should be prepared to fight back https://t.co/CERDWSGxAw
10,"RT @MattWhitaker46: Dear President Biden:

Standing for the rule of law, honoring the constitution and trusting the people is not an “extre…"
11,"RT @GOPChairwoman: Remember when the White House bragged about saving a whopping 16 cents on your 4th of July cookout last year?

This year…"
12,https://t.co/w72mE9fsP5
13,@Sassychickie https://t.co/TlnhAVBfYf
14,@skyhawk1929 @newsmax The blind masses believe everything from them. https://t.co/ToPCMp8elj
15,@KateKcollins1 A shame.  She’s so smart but fell into the swamp..
16,#2AShallNotBeInfringed  https://t.co/lcVGSUCBns
17,@JoanneCipressi Looks amazing.  I can’t wait for cruise to Bermuda next month
18,@RepMGS here’s your build back better https://t.co/Av8OYsnlT1
19,"RT @MarshaBlackburn: Since Joe Biden took office, he issued 39 new regulations and executive orders that restricted American energy indepen…"
20,@POTUS OMG we don’t need reserves you moron. Unleash American energy! Prices have been rising since you shut down the pipelines and drilling.  Idiot..
21,https://t.co/GJ6kdsxL8G
22,@RepMGS @PADems  here’s something y’all don’t think about.. with the current state we’re in you don’t think at all.  If you put Americans &amp; America 1st you would be more popular with everyone. https://t.co/Q7YPgk0QJs
23,#BackTheBlue https://t.co/vYGUBf30SY
24,RT @JennaEllisEsq: @GOP @DCGOP But no comment on the 14 GOP Senators that sold out Americans’ gun rights?
25,@RepMGS Everyone except conservatives right??
26,RT @PatrioticPizzas: Hard to argue with this logic. https://t.co/wQqp1gMBA9
27,@charliekirk11 @speedbirdefcn3 It seems that way.  At least in PA5 area.
28,"RT @Liz_Wheeler: If you believe Democrats won't weaponize red flag laws against conservatives, then you're an idiot who ignored Democrats w…"
29,@Phillygirl741 Crenshaw has been a huge disappointment.  As a fellow Navy Vet I’m extremely frustrated that he fell in line with the swamp.
30,@RepMGS @GOP  instead of giving Ukraine all our money you should give it all those who lost their businesses &amp; jobs due to the illegal lockdowns you forced.  And help the Americans you work for! Maybe hold up your pay until we’re all good. You can live off ur lobbyists $$.
31,"RT @thebradfordfile: Umm. Biden is sending $40 billion to a country that just permanently banned the opposition party. 

I'm pretty sure th…"
32,"RT @charliekirk11: The Navy just created ""safe spaces,"" the Army is teaching CRT at West Point, the Air Force is hosting drag shows—but sto…"
33,RT @SamRamani2: BREAKING: Germany announces that it will restart coal-fired power plants in order to conserve natural gas
34,@akmarinemom Will our troops support patriots?
35,What if the president &amp; congress are Domestic enemies? https://t.co/VpTrQV5qv3
36,https://t.co/oVfR51fM0N
37,https://t.co/5wBIbEFmmU
38,https://t.co/Lp3e5N9dU2
39,https://t.co/l47SlYkFxI
40,@LivePDDave1 https://t.co/OvVpdOb5xT
41,“It’s a dog eat dog world and I’m wearing milkbone underwear.”  Norm from Cheers https://t.co/MRgGvhiCRA
42,RT @osmosis8989: Pfizer pulled out of vaccine deal with India the minute India wanted to get the vaccine tested by its own experts.
43,https://t.co/F2lnnLGDu4
44,@GOP So why can’t republican governors secure their borders?
