Unnamed: 0,Text
0,"Truth is coming 

https://t.co/vAvYL5zLQF 

#stolenelection"
1,@NalaInLight @detachedaz @KariLake @RealMarkFinchem @Leo4AzHouse @FannKfann No she won’t. Lots of candidates and legislators will be
2,@Austin1618_ The right to prayer is the same as right not to pray. You can’t make someone not pray because the other person doesn’t want to. Simply don’t pray.
3,@Austin1618_ If they want to continue disgracing themselves and our nation then have at it.
4,I want to go to DC and shrink the federal government. Anything not enumerated in the Constitution must be sent back to the states. Decentralizing the Feds power and going back to a true republican form of government is what needs to happen.
5,@Arya07782353 When I played we all held hands and said the Our Father before every game. I went to a public school.
6,@RealBettyDre @Rec4MCBOS @DavidSchweikert Spread the word
7,"Praying before football games is upheld! 

🇺🇸🇺🇸🇺🇸🇺🇸🙏🙏🙏🙏🙏"
8,"@AZRed65 @RepDavid I would have been a hard NO

And a NO to the $400,000,000 to expand federal database to track our vaccination status 

#VoteBarnett"
9,Tonight. Live stream @RSBNetwork and @AmericasVoice 6pm AZ time https://t.co/bdRGc95cCa
10,🇺🇸🇺🇸🇺🇸🇺🇸 #VoteBarnett https://t.co/49Asr43xO1
11,@DineshDSouza @gfguy710 Tomorrows release of Jovan Pulitzer paper analysis will be bombshell
12,@BekkUhhh Rsbn and Americas voice will be live-streaming it
13,Tomorrows release of Jovan Pulitzer paper analysis will be bombshell
14,Insurrection J24 https://t.co/TLGiXCfLRa
15,@Chewbacca7222 No. House members
16,@DrEliDavid @tan123 Price controlling never works.
17,"You’re right @SteveHiltonx 

Kentucky Bill of Rights

“Absolute and arbitrary power over the lives, liberty and property of freemen exists nowhere in a republic, not even in the largest majority.”"
18,@charliekirk11 @JoyBell75174267 Yes 🙌
19,@Nacirema79 @PPFA I would have a c section and try to save my baby and not dismember it.
20,@smithcr01 @AmericasVoice @JovanHPulitzer Rsbn too
21,@JosephChaplik Ooooops. Didn’t notice til you said.
22,@RealAlexGemini Thanks for your opinion
23,Spending day in Sedona with the family https://t.co/oSkqzFZb8l
24,I believe in full disclosure and not hiding things from the people. Light is the best disinfectant.
25,"Still waiting on @PPFA to show us all what not a big deal it is to have an abortion. Post a video of an actual abortion 12+ weeks. Just a clump of cells, right?"
26,Original law stands until it is altered or changed https://t.co/4HxeNNc9EC
27,RT @BarnettforAZ: @AmericasVoice will be live streaming the release of @JovanHPulitzer paper analysis results on Monday 6pm (AZ time) for t…
28,"I’m running to ensure a future for our children. One that is based on freedom and a Republican form of government. 
#VoteBarnett #AmericaFirst #AZ01 https://t.co/hHSRXiZL16"
29,I will entertain trolls for a bit then block them. It’s a waste of time and energy. Nothing will be accomplished going back and forth.
30,RT @JackPosobiec: Full vid
31,@JackTVegas 🙌🙌
32,@JackTVegas I keep forgetting they moved it to December.
33,@LaurenKuby Peaceful lol https://t.co/NcF9Z8zFqr
34,@JackTVegas Probably. Depends on campaign schedule. Do a day trip if anything
35,@JackTVegas The Clayton house
36,@JackTVegas Old town scottsdale
37,"Bentley was super excited to go up with Hall of Fame bodybuilder, Dennis James, to hand the overall award to the overall bodybuilding champion https://t.co/V9ZzuWcolU"
38,"Back to my roots for the afternoon 
💪💪💪 https://t.co/tRXbDQpAZC"
39,The sheer racism I see from the left is disturbing although it doesn’t surprise me that the party that supported Jim Crow and formed the kkk is acting like this.
40,"@Tradeshows2021 LOL I can tell by the comments. The Democrats supported Jim Crow laws, started the KKK, and didn’t support civil rights act. Wake up and pull your head out"
41,@Tradeshows2021 It’s factual. The left is the party of racism.
42,@Tradeshows2021 No. It’s because he’s black. They are racists.
43,@AzDayofSession Disgraceful
44,@megreyes_ Comparing a miscarriage to an abortion is absurd and irrational.
45,All of these racist leftists talking about Clarence Thomas because he’s black. Disgusts me
46,#NewProfilePic https://t.co/wiTkOHtBza
47,@Tellthetruth602 @Zazoo2022 @K1 With 0 followers. Go away bot before Elon makes you disappear
48,@Tellthetruth602 @Zazoo2022 @K1 Says Jack Off lol
49,"@Zazoo2022 @K1 Actually, polling shows my views are up in this district. Only ignorant lefties don’t understand that reversal of roe v Wade didn’t get rid of abortion. It simply sent it back to the states to decide as intended with a Republican form of government."
