Unnamed: 0,Text
0,@DonaldJTrumpJr @seanhannity @TuckerCarlson @GovMikeHuckabee @newsmax https://t.co/XAn7MZwK36
1,@elonmusk @seanhannity @TuckerCarlson @DonaldJTrumpJr https://t.co/t5U4DSdIFt
2,https://t.co/TTMCZhgnoz
3,@seanhannity @TuckerCarlson @newsmax @RonDeSantisFL @elonmusk @marklevinshow @DonaldJTrumpJr https://t.co/gJVvjFhMog
4,RT @FabioASays: Comunidad latina de la Florida queremos una cuba libre y fuera la dictadura castrista.  En nombre de los colombianos le hab…
5,"Rally for Cuba 🇨🇺
5PM Tamiami Park. please share https://t.co/neiEyxlcjG https://t.co/lP2JEHicaD"
6,@CornelioMella @DraGladysFeliz @mepreocupard @ManuelValdezRD1 @HRCC07 @maria_brito2003 @linajedominican @Ramoncespedes20 @MariselaTavare4 @RepudiototalRD Falsa foto... Esa foto es vieja
7,Happy Birthday America https://t.co/Q3uBruWUDs
8,@Atheen_ @govkristinoem Cheap excuse. Fight it!
9,@CryptoPuppy07 @govkristinoem Agreed
10,@govkristinoem She caved to special interests. Another establishment GOP politician talking out of both sides of her mouth.
11,@mightcan @lukelegate @FairParkRising And how many birds does it kill?
12,@Rushlimbang @lukelegate How many birds does it kill each year?
13,https://t.co/KpwjjvPhDm
14,@DanielDiMartino https://t.co/qwOO3PiyNN
15,"@RealDeanCain The most tolerant, always seem to go after a person's livelihood. I've come to the conclusion that it's because they are straight up envious."
16,@mariegelabert @DavidBaku3 Thank you
17,"@GenFlynn @realDonaldTrump
@seanspicer @seanspicer @seanhannity
POLL:
DESANTIS -VS- PENCE
REPUBLICAN PRESIDENTNIAL PRIMARY 2024
(Remember you can't vote in a Republican primary unless you are Republican)"
18,"@seanhannity @mattgaetz @RonDeSantisFL @RealDeanCain 
POLL:
RUBIO -VS- MATT GAETZ
FL SENATE 2022
(Remember you can't vote in a Republican primary unless you are Republican)"
19,"@realDonaldTrump @RealDeanCain @DebbieAAldrich @sjsno @seanhannity 
Liberals Are Attacking Me Personally. They Are Attacking My Livelihood Because They Disagree With My Beliefs. https://t.co/X1V7IWD2UO"
20,RT @robbystarbuck: Matt Gaetz speech was fantastic. 🔥 https://t.co/C4QbVrZ93f
21,RT @Juan_E_Fiol: @realDonaldTrump @seanhannity @TuckerCarlson @marklevinshow https://t.co/ZFujh2aNd1
22,@realDonaldTrump @seanhannity @TuckerCarlson @marklevinshow https://t.co/ZFujh2aNd1
23,RT @marcorubio: YouTube announced it would start censoring certain videos but apparently that doesn’t apply to a marxist threatening to kil…
24,@realDonaldTrump @BrianKempGA @GeoffDuncanGA @GaSecofState American Citizens Requesting To Be Included In Brief Supporting Texas  Lawsuit In The Supreme Court https://t.co/CXectwBRrP
25,@realDonaldTrump American Citizens Requesting To Be Included In Brief Supporting Texas  Lawsuit In The Supreme Court https://t.co/CXectwBRrP
26,@realDonaldTrump American Citizens Requesting To Be Included In Brief Supporting Texas  Lawsuit In The Supreme Court https://t.co/CXectwBRrP
27,@TheRightMelissa @realDonaldTrump American Citizens Requesting To Be Included In Brief Supporting Texas  Lawsuit In The Supreme Court https://t.co/CXectwBRrP
28,@oldwarhorse11 @realDonaldTrump @CNN American Citizens Requesting To Be Included In Brief Supporting Texas  Lawsuit In The Supreme Court https://t.co/CXectwBRrP
29,"@realDonaldTrump @seanspicer
@seanhannity @marklevinshow
@TuckerCarlson @DebbieAAldrich
American Citizens Requesting To Be Included In Brief Supporting Texas  Lawsuit In The Supreme Court https://t.co/CXectwBRrP"
30,"@realDonaldTrump @seanspicer
@DebbieAAldrich @seanhannity
@TuckerCarlson @marklevinshow

American Citizens Requesting To Be Included In Brief Supporting Texas  Lawsuit In The Supreme Court https://t.co/CXectwBRrP"
31,"@realDonaldTrump @Covfefe_Kim31 American Citizens Requesting To Be Included In Brief Supporting Texas Lawsuit In The Supreme Court
Help the petition reach its goal, share with others:
URL: https://t.co/CXectwBRrP"
32,@susie57 @realDonaldTrump Great Job in Florida
33,"Trump Election Watch Party
When: November 3rd 2020 6:30 P.M.
Where: Rancho Mateo (Formerly Las Vegas Coral Way) 11995 Coral Way, Miami, FL. 33175TRUMP ELECTION NIGHT WATCH PARTY
When: November 3RD 2020 6:30 P.M
Rancho Mateo ( formerly Las Vegas Coral Way) 11995 Coral Way, Miami, https://t.co/mhf7ZRjiZB"
34,"Hanging with @PamBondi 
@realDonaldTrump @VP @seanhannity https://t.co/elHwtrlwFY"
35,It is always an honor to drive on the motorcade.  Today was extra special since we had both the President and The Vice President at the same place. #DORAL #trumpNationalDoral #MAGA @realDonaldTrump @VoteJoeBudd @DebbieAAldrich @VP https://t.co/rVsjilcpHC
36,President Trump Shared My Picture https://t.co/13vYgYGHFj
37,"MIAMI 10/10/2020

https://t.co/Sh158Tq3cF"
38,"The largest MAGA Caravan EVER!
30,000 cars. Miami, Little Havana 
10/10/2020 #MegaMAGACaravan 
@realDonaldTrump

https://t.co/qlZGGwa13i"
39,"@Maggiem00848430 Unfortunately too many teachers in high school and college call it socialism, therefore we need to teach the youth that it's the same thing. That's why its the Anti-Socialist / Anti-Communist Caravan"
40,@realDonaldTrump https://t.co/qlZGGwa13i
41,"@realDonaldTrump El Herald had to admit it...
""Thousands take to the streets in support of Trump and against Socialism""
#MegaMAGACaravan #LittleHavanaUSA #30000cars 
https://t.co/6RH8KohuVV 

https://t.co/V68WKJCuTN"
42,"El Herald had to admit it...
""Thousands take to the streets in support of Trump and against Socialism""
#MegaMAGACaravan #LittleHavanaUSA #30000cars
https://t.co/V68WKJCuTN"
43,"Massive 20,000 + MAGA caravan in Little Havana USA https://t.co/clz6HYCncn"
44,https://t.co/AHPp2XWdkU
45,RT @sammyhagar: Heartbroken and speechless. My love to the family. https://t.co/MQMueMF2XO
46,@WolfVanHalen My condolences
47,Who would you rather have as president for the next 4 years?
48,"Breaking News
Hillary Clinton has tested negative for being president!"
49,"@realDonaldTrump
@marklevinshow @DebbieAAldrich
@VoteJoeBudd @EricTrump @seanhannity
Do you believe the ""pandemic"" Covid-19 is..."
50,"@WolfVanHalen The ultimate band would be Alex Van Halen, drums, Ed Van Halen Lead Guitar, Mike Anthony Bass or Keys, Wolf Van Halen Bass / Keys, Sammy Hagar on lead vocals &amp; rhythm guitar, David Lee Roth Lead Vocals (lead vocals can alternate, but do one song all together). one can only dream https://t.co/aFMMcBYxC0"
51,#NewProfilePic https://t.co/kPchaNPpeC
52,"@RealDeanCain That's horrible. There is nothing worse than losing a child.
Prayers for him and his family"
53,"#BREAKING: President #Trump younger brother “RobertTrump""  has died. https://t.co/HQi1YMaoY7"
54,https://t.co/E2wXkxmHok
55,See this Instagram video by @juan_fiol_for_congress https://t.co/m6kYWFH7Pm
56,See this Instagram video by @juan_fiol_for_congress https://t.co/gcPKjSiXP8
57,"Just completed my
@ballotpedia survey
Visit and read all about my campaign"
58,"Please go vote
Punch #20
https://t.co/0Vw5Z22Qj6 https://t.co/Y0Vp5j1xnF"
59,"It is always an honor to accompany the Vice President during his visits to Miami. 

Today, we visited the University Of Miami Medical Center before making our way back to Miami International Airport for his departure on Air Force One. 
Best of Luck, Mr Vice President, and May God https://t.co/k9MbESus9R"
60,@veritas2727 They didn't show
61,"BLM and Communist protesters threatened to hold a protest at Senator Marco Rubio's house.  Miami Republicans said, no way Jose. 
#NotInMiami https://t.co/QK85KJ8UY9"
62,"@DanWantsFreedom 
Rest In Peace My Friend https://t.co/NS6h5CfbDT"
63,"Republican Juan Fiol VS Maria Elvira Salazar. Congressional District 27. FL.
https://t.co/DAWTpTFErO"
64,"They have destroyed thousands of businesses and sent the country into a panic over false test results. I haven't seen much as far as political outrage from our elected officials. We need new leadership. #GoVote
https://t.co/6dJzUPJaFy"
65,"It is always an honor to accompany the President during his visits to Miami. 

Today, we visited several locations, before making our way back to Miami International Airport for his departure on Air Force One. 

Best of Luck, Mr President, and May God Bless America! https://t.co/cu9LuUzRgF"
66,It's amazing how liberals want to defend minorities and then turn so quickly on one of the largest minority owned businesses in the country! This community has benefitted so much from Goya brand. It is a shining example of how ANYONE can succeed in this country! @realDonaldTrump https://t.co/8lLQrr8Ggh
