Unnamed: 0,Text
0,@CoreyPHarrisNE I travel a lot for work.
1,@tannermitchel16 @katebolz I will be there Friday for sure!
2,Hastings Pride put the ❤️ in Heartland. https://t.co/UdkmsXdS3E
3,It's been a good week in Rural Nebraska (except for that bear I had to fight off!) https://t.co/RUMYfHlB4b
4,TAR HEELS!!!
5,@samhuppert Welcome to the world little love!
6,@samhuppert I look forward to high key freaking out when baby comes along 😄 ❤️
7,@samhuppert Silly me I thought “is the baby coming?!!?” - nope - legislative labor pains!
8,@mlhaden I will share this insight with my colleagues in the Farm Service Agency.
9,"RT @POTUS: It is up to all of us, We the People, to stand for the rule of law.

To preserve the flame of democracy.

To keep the promise of…"
10,"RT @POTUS: Last year, for the first time in our history, a president who just lost an election tried to prevent the peaceful transfer of po…"
11,RT @janekleeb: Another great appointment by @POTUS -- John Berge knows and respects Ag and rural...especially family farmers and ranchers.…
12,"I am pleased to share that I have been appointed by the Biden Administration as the United States Department of Agriculture State Director of Rural Development for Nebraska.  

https://t.co/QFrnGXoKll"
13,Impressive student athlete. ⁦Makes me proud to be a Husker volleyball fan. https://t.co/4GkiwKWkN4
14,RT @SenDuckworth: Retweet if you believe Election Day should be a federal holiday.
15,@samhuppert Sam is an excellent scheduler and good at yelling at the tv so he should be all set for this game!
16,"Were you like me last Nov? Sitting on the edge of your seat praying for the folks running our elections? Hoping they would be fair and safe? Join me, support Adrian Fontes for AZ Secretary of State. He will make our Democracy proud. @janekleeb @AdamParkhomenko @SenatorKerrey https://t.co/KXeWJItCTD"
17,"Hey, I know I'm biased, but I want to say that this guy does a great job for our community - protecting our health, our environment, and our neighborhood. Re-elect Commissioner Sean Flowerday!

https://t.co/qMlCwnkR0k"
18,"@George4NE  George Dungan is the real deal.  He is smart, committed, and kind.  I believe in him, his values, and his candidacy.  Follow him.  Donate to him.  Support him.  Nebraska will be better for it. 
https://t.co/g8kTEVStxF"
19,"RT @Huskervball: We’ve finally got a schedule, how ya feelin’ Husker Nation⁉️

Reply below, GIFs only."
20,"I’m pleased to share that I will join the Gaylor Baird administration, working to promote economic and employment opportunity for Lincoln. https://t.co/PCffR9Lrgx"
21,"And here in Nebraska, I have no doubt that we will continue to see the fruits of our shared labor. 

Thank you, from the bottom of my heart, for being on the side of progress, for believing in me, and for continuing to keep the faith for justice and equality...

--Kate Bolz"
22,"Your work matters, your contributions matter, your struggle matters. Struggle leads to progress.  It leads to a more perfect union, here in Nebraska and all across the nation.

To say it the way Douglas did, you can’t have crops without plowing the ground..."
23,"The struggle doesn't end tonight.  It continues, it continues in the daily push for equality and justice, in the small victories for fairness and opportunity, &amp; the ongoing work for major milestones for racial justice, and turning back climate change, and access to health care..."
24,"Because of the struggle those who deny health care, those who ignore science, those who refused to stand up for women and people with disabilities, have been held accountable for their positions and their actions..."
25,"...and wellbeing of Nebraskans in a pandemic is worth it, and pushing for equality, fairness, and opportunity is worth it. Because of the struggle we are stronger, we are smarter, and we are more united..."
26,"We defied odds, we persevered through a pandemic, and we won victories of votes, endorsements, and hearts and minds.

Tonight, I want to say to you that the struggle is worth it.  Fighting back against the erosion of our democracy is worth it, fighting for the health..."
27,"Friends, tonight we did not win this particular struggle.

It is with sadness that I concede the race for Nebraska’s First Congressional District. But it is with pride that I can say with conviction that we ran an incredible campaign..."
28,"One of my favorite quotations about democracy and justice is from Frederick Douglass: ""The whole history of progress of human liberty shows that all concessions yet made to her august claims have been born of earnest struggle. If there is no struggle there is no progress.""..."
29,"RT @jzozayaKETV: Bolz: ""When we can address those healthcare needs, that puts us in a stronger position to addressing some of our economic…"
30,"RT @jzozayaKETV: Tonight at 7 on @KETV: Part of my conversation with @katejbolz , who's running for NE's 1st Congressional district:
She te…"
31,"Just under 30 minutes to go. You can STILL get in line to vote. As long as you're in line by 8 pm, your vote will count! https://t.co/3q7xCum8u5"
32,RT @LibraryTan: @JimHarroldOmaha @JoeBiden @katejbolz You’ve become a leading voice of eastern Nebraska. I appreciate your perspective.
33,"At the end of the day, this campaign has always been about YOU! 

Now, it's time to bring this thing home. 2 hours before polls close. 

Let's send a Nebraskan to represent Nebraskans in Congress! https://t.co/iRoyT3a9RT"
34,We wore masks because it's the right thing to do. https://t.co/LNX1dhfoEe
35,"We listened to young voters who care about climate change, health care, jobs, and preventing brain drain in their communities. 

https://t.co/kVeCYSxR7D"
36,"Our rural communities were listened to and were HEARD! In addition to our ""Share the Mic"" live events across the district, we hosted many virtual roundtables and conversations with farmers  and ag policy leaders. 

https://t.co/0cwOTrhY1m"
37,"Sure we attracted national attention with endorsements from @JoeBiden, @Axne4Congress , @BenMcAdams, @ericswalwell and many other organizations....

All the while, our campaign is funded to the tune of 95% by NEBRASKANS! This is YOUR campaign. https://t.co/Bfvih6oCwC"
38,"Speaking of Republicans! While @JeffFortenberry built attack ads falsely stating that I was ""silent on the police,"" Steve – a Republican and former Fraternal Order of Police President talked about why he supports Kate Bolz. 

https://t.co/DTvFswvR9u"
39,"Republicans and personal friends of @JeffFortenberry said ""Enough"" with the petty, partisan politics and stood up for decency and respect. 

https://t.co/RMENz7ELVt"
40,"When our campaign kicked off over a year ago, hundreds of people gathered to see what REAL representation in Washington would look like. Dems, Republicans and Independents. https://t.co/jQIHb1xCOo"
41,"We built a campaign around listening before lecturing, and presented people with something new: Someone who cares and someone who listens. https://t.co/FM7PUMmfX2"
42,We stood up for the health care rights of hundreds of thousands of Nebraskans with pre-existing conditions. https://t.co/O5N3jYaN3N
43,"Nebraskans deserve a Congresswoman who will fight for them. 

Today, my opponent (or his Twitter account) spent the day running smear campaign ads because he has no record of his own to promote. Here's what we've done in the last year....."
44,"Let's do this! 
Vote Kate Bolz!
Honk for Kate Bolz! https://t.co/1PjiW0YUod"
45,"Thanks, Karen! https://t.co/JXAXratwXI"
46,"RT @jmsesow: @supportfortNE Did you give a lecture on lying? Seems like that’s what you’re really good at, just like our current administra…"
47,"Don't wake up tomorrow thinking, ""Wow, I wish I could have done more."" 

Find a neighbor, friend or family member who hasn't vote and encourage them to VOTE!

Polling location locator: https://t.co/e7E513zrl2"
