Unnamed: 0,Text
0,"Today's your last chance to vote for a true conservative Kate Gibbs! You can place your ballot in approved drop boxes or fill out an in-person provisional ballot at limited polling locations in Burlington &amp; Ocean Co.
Find locations below ⬇️  #TeamKate #NJ3
https://t.co/Kc4Wy2ni5g https://t.co/dklV2l8s6u"
1,Help us spread the word and remind your friends to VOTE for Kate Gibbs in Column #2 in Burlington and Column C in Ocean. Let's CHANGE the status quo and get REAL results for Burlington and Ocean Counties! #NJ3 #TeamKate #VoteToday 🇺🇸🇺🇸 https://t.co/RxCsWKuZ6o
2,"TODAY is the Republican Primary! Have you mailed your ballot in? It's not too late! Drop it off at the post office or one of the Board of Elections Collection bins BEFORE 8PM TONIGHT or find a polling place to vote in person to make your voice heard! ⬇️
https://t.co/Kc4Wy2ni5g"
3,"I am honored to receive the endorsement of the @PhillyInquirer Editorial Board. I am glad that they see what everyone else is increasingly seeing—that David Richter cannot attract the voters needed to cross the finish line in November. #NJ3 #TeamKate
https://t.co/GTdN6hvXkg"
4,"“Gibbs is a mainstream Republican more in sync with her politically diverse district. Gibbs is savvy, yet her down-to-earth manner has served her well... We take Gibbs at her word when she claims to have learned from her mistakes."" https://t.co/xoI1W85Zzj"
5,"I'm so thankful for all the support I have received throughout this campaign, especially the palpable enthusiasm from women of all ages, throughout #NJ3. Help us finish strong — remind your friends and family to VOTE by mail or in person for Kate Gibbs!
https://t.co/Kc4Wy2ni5g https://t.co/xWu6F2tWtH"
6,"🇺🇸  Happy Independence Day! 🇺🇸 

On this day 244 years ago, the Continental Congress approved the final wording of the Declaration of Independence, marking the birth of the USA as an independent nation. Today, we celebrate what it truly means to be an American! #July4th #NJ3 https://t.co/AJAxYF21N5"
7,"The Republican Primary is this Tuesday! Now more than ever our party needs young conservatives like me in Congress who are willing to fight for our American values &amp; stand with Pres. Trump AGAINST radical socialists. RT if you’re voting for Kate Gibbs #NJ3
https://t.co/Kc4Wy2ni5g https://t.co/FyHa6NX5Sl"
8,"With your support, Kate will be an authentic, honest &amp; relatable voice we can trust to fight for our shared values in Congress. Click below to learn more about how you can vote in this year’s primary. Return your ballot today to make your voice heard! #NJ3
https://t.co/Kc4Wy2ni5g https://t.co/HylDr0VF6n"
9,"Before the holiday weekend, return your vote-by-mail ballot! Every vote counts in this year’s important primary election—let your voice be heard! Together, we can demand TRUE Republican leadership we can trust for Burlington &amp; Ocean Counties #TeamKate #NJ3
https://t.co/Kc4Wy2ni5g https://t.co/Zl2mV3Ivhe"
10,"Small businesses are the lifeblood of our #SouthJersey economy. In Congress, I'll fight for our family-owned businesses &amp; for YOU. I hope to earn your vote in the July 7th Republican Primary! VOTE for Kate Gibbs—Column #2 in Burlington &amp; Column C in Ocean.
https://t.co/Kc4Wy25GGG https://t.co/UUcLrlqeeY"
11,"#DYK Trump’s co-chairs for NJ condemned Richter for his rhetoric being more closely aligned to Sanders &amp; Warren than any member of the Republican Party? #NJ3 deserves a TRUE conservative who will put people BEFORE politics—NOT a carpetbagger after a title.
https://t.co/tFLq5TiQuq https://t.co/8JTWaj0ZFb"
12,"As one of the youngest women ever elected to countywide office in New Jersey, I fought for our families every day. From cutting taxes to investing in education and infrastructure, I’ve put #SouthJersey FIRST. I'll bring that same mindset to Congress. #NJ3
https://t.co/Kc4Wy2ni5g https://t.co/2w1opRDrTo"
13,"David Richter proves time &amp; time again that he's the WRONG choice for #NJ3. If you're ready to send a proven conservative fighter &amp; #SouthJersey's first congresswoman to Washington, VOTE Kate Gibbs! Return your ballot by July 7th—Column #2 in Burlington Co &amp; Column C in Ocean Co. https://t.co/PM3pK46U8K"
14,"Kate Gibbs has a proven conservative record and is our ONLY chance to DEFEAT Andy Kim:
✅CUT County Property Taxes Every Year in Office
✅LEADER in creating good paying middle class jobs
✅SUPPORTS Building the Wall &amp; Opposes Sanctuary State
✅STRONG Defender of Our 2nd Amendment https://t.co/BUZd5RCjTs"
15,"#NJ3 deserves a representative who doesn't view their position as a status symbol. We don't need another entitled rich guy representing our values. Send me to Congress and I'll always put Burlington &amp; Ocean Co. FIRST. Return your vote-by-mail ballot today!
https://t.co/k6KXBMtuO3 https://t.co/t3277QjFtX"
