Unnamed: 0,Text
0,"Hit this link to hear what I had to say about Roe v Wade being overturned, and plans for what to do about it

https://t.co/CvSMcniUFZ"
1,Shifting because rights matter. https://t.co/WESb55CFsp
2,"RT @nycsouthpaw: Unmentioned in the piece: As of this time last year, in states where voters register by party affiliation, 49.3 million re…"
3,RT @JRubinBlogger: She understands well how unpopular Republicans’ support for upending Roe v. Wade is. And she will make Republicans face…
4,RT @nycsouthpaw: It doesn’t so much matter. It’s profoundly caustic to civil life when the majority and the dissent can’t agree on a set of…
5,RT @scottjshapiro: Dobbs is the glorious Iraq Invasion that becomes the intractable Iraq War—a deep quagmire born of hubris.
6,"RT @SenatorTester: No VA clinics will be shutting down in Montana. End of story.

Proud to lead this bipartisan coalition to keep our VA cl…"
7,@charles_gaba @willboydforAL @rothforIdaho @VoteKendraOK @BrianBengs @EvanMcMullin I support eliminating it but also support carve outs to make progress and changing the rule to be the filibuster overide can just come from 60% of the population (you don't need sixty votes just the votes from 60% of the population)
8,RT @NARAL: Criminalizing abortion or miscarriage and threatening people with arrest is antithetical to healthcare. People deserve #CareNotC…
9,RT @MuellerSheWrote: https://t.co/Smx5L58p4T
10,This is the landscape for medical care in now unequal states. Women will suffer and die as the draconian laws impact modern medical care. https://t.co/5SUNeCpNos
11,"RT @SenErikaGeiss: That absurd statement above is from this article:

https://t.co/BVK1Qnliqc

Let me be perfectly clear. Anyone who doesn’…"
12,Check out my conversation with Joel Heitkamp this evening on BEK TV between 5:30-6:30 central. We discussed the Roe v Wade and Casey reversal and the implications for women and their health. https://t.co/t47MtCbAeT
13,RT @ashley_ehasz: I’m Ashley Ehasz. I’m a Democratic U.S. Army veteran running for Congress in PA-01 to replace Republican Rep. Brian Fitzp…
14,RT @nycsouthpaw: I’d missed that Ron Johnson admitted he “coordinated” with a WI attorney to pass false records to the Vice President right…
15,"RT @BrianBengs: South Dakotans have a choice to make this November:

1) Myself, a veteran who doesn’t care about partisan politics, pledged…"
16,"RT @native4data: No, Indian Reservations aren’t going to become safe harbors for abortions. It sounds easy, but there’s hundreds of years o…"
17,"RT @SenatorTester: Seven years ago today, marriage equality became the law of the land.

But as attacks on LGBTQ+ rights continue, it's cri…"
18,"Carbon capture is the algal biofuels of the 2020s. The same challenges with expensive unit operations and a low return on investment will make this a bubble and an embarrassment.

https://t.co/IiOBPVEXVd https://t.co/LCKNRTsoiW"
19,"RT @Amy_Siskind: Midterms:  we need to pick up 2 Senate seats, make Manchin and Sinema irrelevant, limit the filibuster, then codify the ri…"
20,"RT @GavinNewsom: Refresher on what a “pro-life” agenda ACTUALLY looks like:

- gun safety laws
- taking action on climate change
- protecti…"
21,"RT @ThePlumLineGS: ""Disaster looms ahead when one party is committed to authoritarianism but pays no real price.""

This is exacerbated by ""…"
