Unnamed: 0,Text
0,"RT @BarackObama: Last week, I stopped by the Obama Presidential Center construction site. 

It’s great to see this dream start to come to l…"
1,Government cannot unreasonably search and seize a woman’s body by denying her the right to choose. Any jurisdiction that denies a woman the right to choose is in clear violation of the Constitution. I will continue this legal fight when in Congress! https://t.co/0FMEpCkCat
2,@PPGNHAIK @PPFA @ACLUofKY Government cannot unreasonably search and seize a woman’s body by denying her the right to choose. Any jurisdiction that denies a woman the right to choose is in clear violation of the Constitution. I will continue this legal fight when in Congress!
3,Government cannot unreasonably search and seize a woman’s body by denying her the right to choose. The Supreme Court has been wrong about the constitutional analyses for decades. Any jurisdiction that denies a woman the right to choose is in clear violation of the Constitution. https://t.co/H2sExFOpXh
4,We will always support you Linda! Let’s keep moving forward. https://t.co/fMHHsDQ1ug
5,RT @MichaelJDowling: The decision made by the US Supreme Court strikes at the heart of a foundational principle in medicine: the shared dec…
6,RT @marceelias: American democracy is at stake and it depends on each one of us to defend it. The best way to fight against voter suppressi…
7,Agreed! https://t.co/XQKHzbJX30
8,Yes. Every dollar raised is from people seeking change. Keep big money out of politics! Join our cause. Together we change Washington! https://t.co/acYxlVySY3
9,Where were they on January 6th? The Legal and Political Revolution starts now! https://t.co/7wIDB1tUTa
10,"@Debfornow Yes. In fact, the Constitution requires it."
11,"The ramifications for this are disgusting and far-reaching, beyond comprehension. We will never be free, until we all are. When I am in congress, I will fight like hell to restore bodily autonomy to women. Please read my statement below to address this unconstitutional overreach. https://t.co/ZrCW6EeMiy https://t.co/ExL6NlIGB7"
12,"Completely reprehensible. Justice Thomas acknowledges todays decision is just the tip of the iceberg. The Court will be coming after LGTBQ and contraception rights, as well. Stop the Handmaids Tale- these 5 Men have no right to control a woman’s body!

https://t.co/VlcYXzQh4k"
13,The conservative majority of the Supreme Court just sent women's reproductive rights back 50 years. Extremist partisan Judges should have never been appointed. Any jurisdiction that denies a woman the right to choose is in clear violation of the 4th Amendment. https://t.co/iVKPPZnSNn
14,"So happy to Celebrate Juneteenth! We have come a long way, but we still have much work to do. https://t.co/3UKQHCN7Jj"
15,Privileged to recognize an outstanding young man as he assumes the rank of Eagle Scout. TJ Ledwith congratulations on this amazing honor. I look forward to assisting you in a way possible from Washington. https://t.co/1yz6WRKLWO
16,RT @marceelias: Someone should let him know that this statement is admissible in any future trial under Federal Rule of Evidence 801(d)(2).
17,"guide us to the right path. The visual representation of Freedom, Justice and Equality for all as seen in the Stars and Stripes should be a stark reminder there are better days to come. God Bless America!"
18,"On this Flag Day let us not forget the values and ideals embedded in our Constitution. While our body politic may seem at odds and we yearn for leadership to lead us through this low period in our nations history, rest assured our founding principles will always… https://t.co/oe4HN3yVV7"
19,RT @JasonKoppel: Productive few days in our nation’s capital with @AIPAC activists from across the country hearing from congressional leade…
20,Congratulations Troop 2237 on bridging to Cadettes. I was so proud to be a part of your ceremony. https://t.co/LbWpscmRNF
21,"RT @TheDemocrats: “Tell the court I love my wife, and it is just unfair that I can’t live with her in Virginia.”

Today marks 53 years sinc…"
22,"I agree with Leg. Siela Bynoe and this grave injustice must be fixed. I look forward to working with Leg. Bynoe and the community to ensure the proper designation for Uniondale! 

https://t.co/vl3f5n6S6Y"
23,Government has failed to address mental health and social services for decades. I have commissioned a team of medical professionals and social workers to address this very issue. Together we will ensure for our Districts success.
24,"RT @Acyn: Wow, this McConaughey speech https://t.co/0CeFFdAhlw"
25,Together with the recent upgrades to the Jones Beach ensures our State parks in CD 4 are well positioned for the future. (2/2)
26,"As a Commissioner of Long Island State Parks we were able to provide substantial upgrades to Hempstead Lake State Park. So proud all of these enhancements are ADA accessible so all of our residents can enjoy this great venue. (1/2)

https://t.co/78BBz4tY2d"
27,RT @Pontifex: I was deeply saddened to learn of the horrific attack at Saint Francis church in Owo in #Nigeria. #PrayTogether for all those…
28,RT @davidaxelrod: This peculiar argument that gun safety laws won't work because criminals will just break them...Couldn't you make that ar…
29,"Honored, as always, to join our bravest as we remember those who sacrificed their lives for our greater good. https://t.co/uqS3lhdCpD"
30,"RT @ThisWeekABC: ""The idea that us being the only developed country where this happens routinely...is somehow a result of the design of the…"
31,RT @LIFEDofLABOR: Great turnout this morning in support of the partners at Starbucks- Westbury Gallery Plaza. #UnionStrong #UnionYes @Worke…
32,So proud to be a part of the Long Beach Centennial. Happy Birthday Long Beach. Here’s to 100 more. https://t.co/LmkwFmCvZ4
33,"RT @TheDemocrats: Every American deserves the freedom to go to school, the grocery store, and church without being shot and killed."
34,"In Congress I will always provide new revenue sources for our local economy. Today, we opened the first ever Comic Con in Malverne adding significant revenue to our local businesses. https://t.co/0uhC236nLQ"
35,As Mayor we are always thinking of creative ways to expand our economic horizons. Tonight I was proud to open the first ever Malverne Comic Festival. Come on down to Malverne Tomorrow to enjoy our beautiful Village. https://t.co/dbqlAhb1sc
36,"Mayor Corbett always supports our firefighters. He was proud to dedicate the new ladder truck. His 5 year capital plan will keep all our emergency responders well stocked without tax increases. Efficient government, imagine that! https://t.co/WG9eTTR8k0"
37,"Just three days ago, I memorialized our brave heroes by calling upon our country to honor their sacrifice by protecting our citizens. Action starts now! https://t.co/sXhtBqi3be"
38,"When will the carnage end? We need leaders who can responsibly handle the freedoms our brave service members have died for. 

https://t.co/pIHSIWW74f"
39,"The car is a more prevalent and useful tool to the average citizen than a fire arm. 

Maybe we should approach gun ownership the same way we approach car ownership so we can live in a less terrifying world. (2/2)"
40,"To own a car you need liability insurance, to take a written test, pass a physical exam and have annual inspections. When a car strikes another human being, the driver can be charged with aggravated assault with a deadly weapon. (1/2)

https://t.co/x0GgjRhaRA"
41,(2/2) https://t.co/v4gbUnB4IE
42,Was so proud to attend the Stop the Hate Rally at the MLK Center in Long Beach. Happy to hold down the fort in Washington until these great children can be our leaders. Action starts now! (1/2) https://t.co/3WpmSz9ykw
43,On this Memorial Day take a moment to remember those who gave all. And ask yourself are we doing them justice with the state of our body politic. We must be more responsible with this enormous privilege we call freedom. This country must act to make our heroes proud! https://t.co/agwDRchZN6
44,Always a privilege to honor those who gave all for the freedoms we so often take for granted. God bless our heroes! https://t.co/Up9MKsrwGC
45,Proud to continue our beautiful tradition planting American flags in honor of those who gave all! God bless our veterans! https://t.co/dYz2U4LYc8
46,"As a Commissioner of Long Island State Parks, I am so proud the Bethpage Airshow is back at Jones Beach. This event provides in excess of 20 million dollars to our local economy. What a great Memorial Day tradition! #nassaucounty #ny4 https://t.co/sZX4XrIC7S"
47,Shame on the @GOP for lining their pockets with @NRA  money and turning a blind eye to this systemic issue. Enough is enough: lets work together and save American lives. (2/2)
48,"Reflection without action will not stop mass shootings. For far too long, the @NRA has profited on preventing federal gun regulations, even though hundreds of Americans are slaughtered in mass shootings annually. (1/2)

https://t.co/FMk0kxfTVf"
49,"The devastating loss associated with gun violence continues to tear families a part. We must bring the change necessary so no child, parent, spouse or loved one has to experience such a devastating loss. We need common sense gun control. https://t.co/rWl3GvyZOA"
50,"Enough is enough! Change is coming. 

#ny4 #NassauCounty #CommonSenseGunLawsNOW https://t.co/JtxzV3VOYD"
51,Common sense gun reform and direct federal funding for school safety needs to happen now. I will see this through! (2/2)
52,"Today, as the Mayor of Malverne, I had to place police officers at all schools to ensure our children felt safe. I will not stand idly by while the partisanship and polarization that is strangling our country continues to kill our children. (1/2)"
53,"Pat, I am with you. Let’s go to Washington and do this together. I am Keith Corbett and I am running for Congress in NY 4. We will stand up to the gun lobby and protect our children! Action, not words, that is what will be delivered! https://t.co/H7Tg9gyhlh"
54,"Like so many parents this morning I am am sad, heartbroken and in despair. We are being strangled by our own partisanship. When the greatest nation on earth can’t pass simple common sense gun control, we have lost our way. It is time for true leadership and real solutions."
55,Exactly the point! The partisanship and polarization is killing our children. It is time for true leadership who can navigate the political divide and protect our families. https://t.co/m8N2tA7EbV
56,"What happened at Uvalde elementary in Texas is a horror that no parent should have to experience, yet so many have had to. I am appalled and heartbroken that this our reality. How many more families need to suffer before we pass commonsense gun laws? 

https://t.co/CDFXr3QSG1"
57,Proud to stand in support of Uniondale! #NY4 #NassauCounty https://t.co/SiRBotYsmx
