Unnamed: 0,Text
0,"Call your friends, today is Election Day 2020. Today is the day to make a change. Today is the day to make your voices heard and VOTE Kevin Cookingham and #VoteCostaOut.

Polling place/drop-off box info can be found here: https://t.co/5dO50KB09M https://t.co/NoaMddrBxq"
1,"Help push Kevin to victory! 
￼
Phone bank to 'Get Out The Vote'  today and tomorrow.

805.350.9393

Matt.gee@fresnogop.org

🇺🇸"
2,"The endorsements keep rolling in!

I am honored to have received the endorsement from Pat Ricchiuti.

Our district and our nation rely on a thriving Ag Industry.

It's time we have leaders in Congress who will fight for our farmers, not against! 

#CookinghamForCongress https://t.co/YfdgpSvOOy"
3,"I am proud to be endorsed by the Madera Police Officers Association.

In order for the 16th district to thrive, law and order must be a top priority of our region's leaders.

I promise to be the greatest defender of the men and women in blue at home and in Congress! https://t.co/xYDb4zOJIT"
4,"Almost half a million ballots in California were sent to voters who have died or moved.

This is inexcusable.

Californians deserve to have an election process where massive errors are nonexistent!"
5,"I proudly support Veterans. 🇺🇸🇺🇸🇺🇸

https://t.co/Pburf259fS"
6,"My campaign for Congress is surging with just days until Election Day.

We have set a goal for reaching 10,000 followers before November 3rd.

Social media plays a key role in our plan for victory.

RT &amp; follow to spread the word! 🇺🇸"
7,"District 16 is the breadbasket of America.

Yet for decades, @RepJimCosta has ignored the water needs of our farmers.

In Congress, I will advance new technological and conservation methods that won’t put the burden on farmers or consumers!"
8,"My name is Kevin Cookingham.

I am running for Congress to unseat California Democrat Jim Costa.

I need your help spread the word on social media.

Please RT and follow! 🇺🇸"
9,"Jobs are the #1 issue in this election.

That is exactly my forte.

As an educator in charge of the Clovis Adult and Online schools, our career tech programs had high success rates.

I am ready to use my background in Congress to get Americans back to work!"
10,"Liberal Jim Costa has been a career politician for his entire life.

I have been an educator and helped launch students into their careers my entire life.

Who would you rather have representing you in Congress?"
11,"My opponent @RepJimCosta is a prime example of why we need term limits.

Costa has been a career politician for 4 decades and has nothing to show for it.

It's time District 16 is represented by a leader with real-world experience!"
12,"I would like to thank Merced County Supervisor Mike Nelson for his support and endorsement to represent the Valley in Congress.

The momentum is on our side.

Let’s win this! 🇺🇸

#CookinghamForCongress https://t.co/103o2LDCFi"
13,"It’s no coincidence that there have been 200 more shootings than last year in Fresno. 

This is a result of leftist Jim Costa’s failed leadership—who refuses to condemn this lawlessness.

I will bring law &amp; order back to California’s 16th District this November!"
14,"If you want to track your ballot and know when it’s mailed to you, received and counted, you can sign up for notifications. 

All you need is your registration name, zip code, date of birth. 

Then either use your phone number or email for notification.

https://t.co/VJdUW7rrUk https://t.co/VAJ60auBSI"
15,"Jim, you've been in office for DECADES. What have you done for our farmers? Nothing.

Now that you're facing me, you're desperately trying to win them over.

Sorry, it's 40 years too late. Our 16th District farmers know whose on their side this November. https://t.co/WtcMw9aS4x"
16,"My name is Kevin Cookingham.

I am running for Congress against a Nancy Pelosi puppet.

Our campaign is not funded by big money. Our campaign is funded by patriots like you.

Please chip in today and let's take on The Swamp together.

https://t.co/uRCSo0K0Au"
17,"The policies my opponent Jim Costa supports have led to Californians dealing with routine blackouts.

No American in the year 2020 should have to deal with such nonsense.

I am running for United States Congress and you can bet I will fight the socialist Green New Deal!"
18,"The media wants voters to believe a Republican can no longer win in California.

My surging grassroots campaign would say otherwise.

I need your help to get us over the finish line on November 3rd.

RT and help us win ⤵️🇺🇸

https://t.co/YJpxCnarXb"
19,"The @RepJimCosta Record:

High unemployment 

Rampant homelessness

Lack of clean water

Farmers abandoned

Endless taxation

Voters don't have to settle for Costa's decades of failures.

That is why I am running for Congress!"
20,"I won’t just come out every two years asking for votes before an election.

I promise to work for the people of the Central Valley from Day 1.

The choice is clear on November 3rd.

Watch my new campaign ad ⬇️🇺🇸 https://t.co/qsKaYAkUL4"
21,"California District 16 voters:

Do you want a candidate who votes with Nancy Pelosi 99% of the time, or do you want a candidate who will vote our values 100% of the time?

The choice is clear on November 3rd.

#CookinghamForCongress"
22,"Let’s be real for a moment.

Government ""solutions"" have exacerbated the Central Valley's homelessness crisis.

When I’m elected, I will empower the faith-based nonprofits who have a successful record supporting the homeless population!"
23,"My name is Kevin Cookingham.

I am running for Congress to unseat a California Democrat who has a record of 40 years of failure.

I need your help spread the word on social media.

Please RT and follow! 🇺🇸"
24,"BALLOTS HAVE ARRIVED EARLY!!!! 
IT’S TIME TO VOTE!!! 🇺🇸 
VOTE COOKINGHAM FOR CONGRESS FOR DISTRICT 16!#cookinghamforcongress #voteoutcosta #votered https://t.co/xOLQRR5ddD"
25,"Your daily reminder that no Democrat can call themselves a moderate and then vote with Alexandria Ocasio-Cortez 91% of the time. 

Yes, I am talking about you @RepJimCosta."
26,"California, are you ready to vote?

Ballots will be sent out on October 5th.

We want you to vote early and take your ballot directly to a ballot box.

If you don't vote early, make sure to vote in person on November 3rd!

#CookinghamForCongress"
27,"Gov. Newsom is now calling to ban sales of gas-fueled cars by 2035.

This is just another pointless ""green"" policy that is causing statewide blackouts.

Enough with this manufactured hysteria, Newsom. Do your job &amp; focus on the real issues at hand!"
28,"Joe Biden and Jim Costa:

Both are career politicians

Both pretend to be moderate

Both have 4+ decades of failure

If Biden and Costa had solutions to America's problems, why didn't they tell anyone decades ago?"
29,"California's Governor @GavinNewsom has released 18,000 convicted felons since March.

Now there is a nationwide movement to release every prisoner in the United States.

When I am elected to Congress, I will do everything in my power to stop this from happening!"
30,"Democrat Jim Costa has had 7+ years in Congress to secure water for Central Valley farmers.

Each one of those years he has failed to do so.

If Costa can't deliver for farmers in 7 years, how can he in the next 2 years?"
31,"As a Californian, I have a warning...

Our blackouts didn't have to happen

Our homeless crisis should've been prevented

Our high taxes could've been controlled

Democrats brought this mess to California. Don't let them bring this to the rest of America."
32,"Rioters and looters have free reign in @RepJimCosta's America.

It's time we take back our streets, our cities, and our country.

That starts with your vote for President @realDonaldTrump and I in November!"
33,"I am Nancy Pelosi's worst nightmare.

That's why my campaign to flip California's 16th District from BLUE to RED is surging.

I need your help to get across the finish line.

Chip in $5 to help us win:

https://t.co/YJpxCnarXb"
34,"My name is Kevin Cookingham.

I am running for Congress to unseat swampy California Democrat Jim Costa.

My campaign is using social media to help spread the word.

Please RT and follow! 🇺🇸"
35,"California is on the verge of becoming a socialist state.

I am leading the charge to take California back.

There are only 50 days left in the campaign.

Join my fight to stop socialism by donating today.

https://t.co/YJpxCnarXb"
36,"Where I stand:

Defend the police

Reopen schools

Support farmers

Protect life

Cut taxes

Reform health care

RT to help get me to Congress! 🇺🇸"
37,"I am running against a Democrat who has been a career politician for decades.

My race is key to taking the gavel away from Speaker Nancy Pelosi.

Chip in $5, $10, or $20 today to help us win in November.

https://t.co/YJpxCnarXb"
