Unnamed: 0,Text
0,"The #BidenBorderCrisis must be resolved. Drug smugglers and human traffickers are crossing our border untouched!
 
If elected to Congress, I will bring law and order to secure our nation."
1,"This ruling is a win for religious freedom. It was wrong that Coach Kennedy was fired for praying, and today #SCOTUS showed that they are committed to upholding the constitution and protecting personal liberties. https://t.co/kN2XQMxKUC"
2,"Thank you @tampafreepress for the kind words and endorsement. I'm the law enforcement backed conservative running to represent #FL13, the community that I was born and raised in. 
https://t.co/FyL3KjjmZn"
3,RT @TBLightning: The best fans in hockey. ⚡️ https://t.co/WKrX00sRCj
4,BOLTS WIN ⚡️⚡️⚡️#gobolts https://t.co/memk9aAD8i
5,"As a member of Congress, I will always support and protect the lives of the unborn, and am proud to be pro-life. With today’s decision #LifeWins!!"
6,"Until we have security at the southern border, we will not have security in our community. 

If elected to Congress, I pledge to implement Trump’s border policies and put an end to the #BidenBorderCrisis!"
7,"Thank you Fraternal Order of Police, Pinellas Lodge 43 for allowing me to speak to—and more importantly, listen to—members of your lodge. I will ALWAYS #backtheblue and stand proudly with law enforcement. #HayslettForCongress #FL13 https://t.co/kiIklAep6J"
8,"This is a clear and obvious step in the right direction. Legislators must act to move our economy forwards, not backwards, and empower companies to do the same for their customers. #crypto #bitcoin https://t.co/X6XfBuqXGU"
9,"Does anyone believe this? 
https://t.co/cLW0n2gWQo"
10,Thanks to all who came out to the Largo GOP meeting last night—it's clear that Republicans are energized and ready for the #redwave! #TeamHayslett #HayslettForCongress #FL13 https://t.co/adq8Cg7QFh
11,"RT @TBLightning: Got ourselves a series. ⚡️

#StanleyCup"
12,"Join Team Hayslett for our Campaign HQ Grand Opening &amp; Volunteer Training! Volunteer training begins at 10:30 a.m., and Kevin will speak at noon. Come by for training, sign up to volunteer, and pick up your Hayslett for Congress yard sign! 🇺🇸 https://t.co/jJUg0RlX4B"
13,"The liberal media &amp; establishment will continue to push the narrative that rising gas prices have everything to do with the Russian invasion &amp; nothing to do with the Biden Administration.

FALSE!

When Biden shut down the Keystone Pipeline before the invasion, gas prices soared."
14,"A simple but powerful prayer before spending time in God’s Word:
 
Psalm 119:18 -  “Open my eyes that I may see wonderful things in your law.”"
15,"A significant amount of #FL13 is in a federal flood zone. Biden's policies will directly cost Pinellas County homeowners thousands with soaring premiums. This is the type of bad governance that I will fight against once elected. 
https://t.co/X1Snii7m8m"
16,"ICYMI, Joe Biden still maintains his ties to the Defund the Police Movement.

https://t.co/lSddQz5tS0"
17,"RT @TBLightning: #StanleyCup Final. Game 1. Tonight. ⚡️

#TBLvsCOL: https://t.co/B36JmSVjum https://t.co/hFDICHkXES"
18,"Thanks to Joe Biden’s wide-open borders, we have witnessed:

&gt; Foreign criminals enter our cities
&gt; A surging fentanyl crisis
&gt; Billions in American tax revenue wasted

We MUST finish Trump’s wall!"
19,"With two sons that received appointments to our Service Academies and are currently Active Duty - Biden’s continued falsehoods regarding his non-existent military service are an embarrassment to all of us. 
https://t.co/MzSEorlCWC"
20,"Americans can’t afford to keep their gas tanks full without leaving their wallets empty.

The answer to the problem is clear: unleash American energy production!

https://t.co/bw8tCWy9bg"
21,Officially qualified for the ballot in #FL13! America is at a turning point and I’ll take on the Washington establishment because we need real leadership in Congress more than ever! #MakeAmericaFlorida https://t.co/I0ZN6gj4fP
