Unnamed: 0,Text
0,"Missed the show today on @wbalradio?

No worries, check it out on the podcast ➡️ https://t.co/8Aa9Q2u5lo https://t.co/ja26gHXQNG"
1,This is 5 at my house. Pray for me. https://t.co/hVnMByZzcm
2,RT @FOP3: 17 homicides &amp; 42 shootings in the last 10 days. 176 homicides &amp; 350 shootings YTD. Every weekend @MayorBMScott and PC Harrison h…
3,"19 people shot since Friday in Baltimore City. 

The Mayor of Baltimore is setting aside 300k for access to abortion in a state where the law did not change. 

@BCFDL734 is urging leaders to #knockthemdown. Baltimore still has 15k vacant homes standing.

Join me on @wbalradio 🇺🇸 https://t.co/3M6wWyAsbK"
4,@antoniopitocco1 👏🏾👏🏾👏🏾🇺🇸 Time to unseat Sarbanes!
5,"RT @antoniopitocco1: Primaries matter and your vote defines tomorrow — if you want to send a true Republican to Congress in November, then…"
6,@alexsalvinews Biden’s face lol
7,"I don’t think people realize how hard so many on Capitol Hill work. There are a few just taking up space, and then there are senators like @tedcruz. Thank you for holding the line against the out of touch progressives.

Keep fighting the good fight 🇺🇸
#together4truthsummit https://t.co/9con7ybqh2"
8,@MikenzieFrost @FOXBaltimore @KyleDodd102 @CapitalEmmys Congratulations
9,Investigative journalism 👏🏾 https://t.co/zo4bBW9qr6
10,@chrispapst @FOXBaltimore Congratulations
11,"On Friday, I was in Largo FL with @RepMontague speaking to residents &amp; other local candidates about the importance of having all hands on deck as we head into November.

@RedRenaissance_ 
https://t.co/SRz1uuExJe https://t.co/QAquOcNELN"
12,"One would think same sex couples would be pro adoption &amp; anti abortion.

It’s a little confusing."
13,@KariLake @CNN Queen 👑
14,"Protest happening outside of the summit l am speaking at in Milwaukee. 
Some upset about #RoeVsWadeOverturned &amp; others claiming the #LGBTQ community is under attack. 

Senators Cruz &amp; Johnson are the keynote speakers. https://t.co/Yn8GvbU3Up"
15,"Those championing medical freedom today, were demanding I get vaccinated to lessen my #COVID19 symptoms for my own safety just yesterday.

What a world."
16,@Espranor We do. I am told it is much more harmful &amp; should not be used frequently.
17,"@robinsonnink @JosephStorrs We have free clinics in all regions where women have access to pelvic exams &amp; can find out if they are in fact good candidates for the pill. I understand your concern, but we do have safe guards in place."
18,@sethweathers Wtf 😳
19,@robsmithonline Happy birthday 🎉
20,@bestMAMAof4 Wisconsin Center 🥰🇺🇸
21,@LyssaRichter Wisconsin Center 🥰🇺🇸
22,"Excited to be in Milwaukee, Wisconsin with these hard working American patriots! 

I take the stage at 1:30pm
See you soon 🇺🇸
#Together4Truth https://t.co/cwpzCPIyfN"
23,"RT @justin_fenton: 8 shootings in five separate incidents last night in Baltimore, including two shot within the “stabilization zone” I wro…"
24,"If I were a member of Congress, my focus would be on solutions.

It’s time for OTC oral contraceptives, giving women a choice before conception. 35 countries offer it, and their number of abortions decreased drastically. It is regulated in the US for financial reasons.

Enough."
25,RT @FoxNews: 'WE ARE SAFE': Arizona lawmakers say police prevented 'insurrection' at state Capitol https://t.co/N5mF0bfXvv
26,RT @HotepJesus: Is this an insurrection?
27,"Protesting in front of my SUV is a gamble YOU decided to take… 

…just saying 🤷🏾‍♀️"
28,"Yesterday, I was in Hollywood, Maryland to support my friend, and future Congressman @ChrisPalombi. Having @ByronDonalds at the event was the icing on the cake. 

Can’t wait to see you on the Hill, Chris! #RedWave2022
@RedRenaissance_ https://t.co/sMpZfVElOy"
29,See you soon! https://t.co/HqEVFMQIkH
30,"Today, everyone is a biologist."
31,"Dear Liberals,

Roe vs Wade did not outlaw abortions, it just returned it to the 50 state legislature. 

You will live, considering you weren’t killed in the womb, I promise. 

#RoeVsWade"
32,@TomRodgersNews Happy Anniversary!
33,"RT @lisagray220: @kimKBaltimore When a man-----and woman have unprotected sex

The woman doesn't get pregnant that night

It takes 7 days f…"
34,"This decision is on the state level. Also, Planned Parenthood offers oral contraceptives before conception &amp; condoms. 

Women are brilliant &amp; can figure it out. https://t.co/uB7JdjZ7lI"
35,@dess_ri It’s wild
36,"Me watching people lose their minds over a #SupremeCourt ruling that will ultimately be decided at the state level while trying to comprehend the excitement about killing babies 🤔

#roeoverturned https://t.co/Ls7CWjiYTv"
37,"RT @RepDonaldsPress: HAPPENING NOW: 

I’m joining the @FaulknerFocus on @FoxNews to discuss the Supreme Courts historic ruling on overturni…"
38,"RT @NickForVA: With 14 “GOP” Senators pushing gun control, who needs Democrats?"
39,"Maryland Democrats are making the #RedWave2022 even stronger. 

43 other states already do it, and they all have less crime &amp; violence than Maryland (thanks to Baltimore) https://t.co/R8LiA8yCzE"
40,@alexjholder @geoffpilkington Is this supposed to be bad? He was getting a good shot. Everyone goes for the best shot possible. Y’all are weird 😂
41,@nypost This is a terrible headline
42,"See you soon Hollywood, Maryland! https://t.co/o0wFEeD0Sd"
43,"Show us how it’s done by getting rid of your security detail, Mr. Mayor. https://t.co/uYlAhyZgsc"
44,RT @LatoyaNkongolo: @kimKBaltimore @RedRenaissance_ Kim and team! I thank you for your support. We’re working very hard to win this seat an…
45,"Yesterday, @RedRenaissance_ joined @LatoyaNkongolo for some door knocking &amp; community engagement. Winning seats takes hard work. 

Check out https://t.co/SRz1uuExJe to see how we are assisting with #RedWave in November. https://t.co/sp4uOXvY9p"
46,@JRMajewski @RyanZinke 🇺🇸🇺🇸🇺🇸
47,"The ruling by the #SupremeCourt is great news for law abiding citizens in Baltimore City! The only people truly protected are the elected officials defunding the police &amp; violent criminals.

LET FREEDOM RING 🇺🇸"
48,RT @greg_price11: 🚨BREAKING: Supreme Court rules that New York's strict limits on the concealed carry of firearms in public violates the Se…
49,"RT @LizWillis_: GREAT Supreme Court decision on gun rights just released: 

Justice Thomas: ""the Second and Fourteenth Amendments protect a…"
50,@BillGre60755332 @MayorBMScott @wbalradio Sounds like it
51,@robsmithonline 👏🏾👏🏾👏🏾
52,"7 people shot in separate shootings in Baltimore City on Wednesday, @MayorBMScott claims in interview things are getting better despite the record number of homicides, and a popular Baltimore lawyer sentenced for money laundering. 

Let’s discuss on @wbalradio https://t.co/ucT9Swdk1E"
53,"RT @wbalradio: Baltimore Mayor @MayorBMScott will join @C4WBAL and @BryanNehman later this morning. Listen at 1090 AM, 101.5 FM or stream l…"
54,"On Saturday, Fathers Fighting for Fathers, hosted a brunch to celebrate great Dads in Baltimore City. Here are a few pics from the event.

Keep up the great work, men! Fostering the family unit is necessary. https://t.co/u73cEmsBmZ"
