Unnamed: 0,Text
0,@JeffTracy13 Hi Jeff! Try going to https://t.co/nEDa1qNuEv and clicking directly on the petition link. When we have your information we will make arrangements to bring you a hard copy petition for your signature. Let me know how it goes using this method!
1,"Campaign Update: Great meeting with staff yesterday. Our #1 goal is collecting signatures for the petition. 84,000 INK signatures will put me on the General Election ballot for the US Senate in 2022. Want to sign? Start here: https://t.co/HgtXUT0x6C… #K4NC #spiritofliberty"
2,@PeytonSickles @wunc I am glad you are there recording the truth.
3,"To Get NIL Right, Congress Must Protect Nonrevenue Sports https://t.co/1LvzGVugyR"
4,RT @KimreyThinks: Trillion(s) $$ deals are not sustainable. GAO analysis says debt will reach highest point in history in 2028 &amp; continue t…
5,"RT @KimreyThinks: Budget Reconciliation is not a toy or ""trick play."" This legislative tool ""wasn’t designed for the sorts of policy goals…"
6,"RT @StarMedCare: Hey Wake County, you’re up! About 1,200 COVID-19 vaccine appointment slots available now! Register here: https://t.co/LiNg…"
7,Back to the basics. What we learned in kindergarten still applies today. #k4nc https://t.co/LO0OJPbFIH
8,RT @KimreyThinks: Back home in Burke County. Kicking off my petition drive. Talking to a lot of voters who want new voices and better choic…
9,RT @KimreyThinks: I cannot wait to head back to Burke County. THIS WEEKEND! As soon as I know where I will be and when - I will post here.…
10,I enjoyed talking with @TimBoyumTV of @CapitalTonight about my leap to Unaffiliated status &amp; my unexpected candidacy for U.S. Senate. #K4NC #ncpol @KimreyThinks https://t.co/wi18mTk3D5
11,To opt-in to sign my petition to run for U.S. Senate - go here: https://t.co/NmZ3J8OVaS. #SenateElection #ncpol
12,"RT @wunc: Kimrey Rhinehardt of Pittsboro, a former Capitol Hill staffer, says she’s aiming to run for a North Carolina U.S. Senate seat in…"
13,@AdamKinzinger I think that this was his attempt at celebrating #InternationalWomensDay. Do better @DrPaulGosar. Please do better.
14,RT @KimreyThinks: First day of our campaign. First thoughts. @KimreyforNC #K4NC https://t.co/HnpZYN3VsR
15,"RT @DBattagliaNC: .@KimreyThinks announced her run for U.S. Senate. She is now one of six, but she is running unaffiliated: https://t.co/xq…"
16,#K4NC 2022 ⭐️ https://t.co/HHbBOsQ1XJ
17,"Kimrey is ""strongly considering a run but...w/o a political affiliation requires 84,000 signatures &amp; she is trying to figure out a way to make that happen w/o risking people’s health during a global pandemic."" #K4NC

Read more here: https://t.co/rbciN3o9gY https://t.co/8GfpRki0J5"
18,"RT @KimreyThinks: In 1991, I applied to ONE college. I knew that Appalachian State was the only one for me. The PoliSci faculty prepared me…"
19,RT @ChathamNR: BREAKING: Chatham County resident Kimrey Rhinehardt confirms she will seek office in U.S. Senate during the 2022 midterms. F…
20,RT @KimreyThinks: North Carolina's Unaffiliated voters outnumber Republicans. #ncpol #ncvoters https://t.co/2AiA02elI4
21,RT @SteeleThoughts: If you want to know what good teaching looks like... ask some students.
22,"RT @KimreyThinks: North Carolina's Senate race is likely to cost $300 Million or more. But, should it? #ncpol https://t.co/wyOHYXH0oN"
23,RT @KimreyThinks: https://t.co/hyHrlkE0NZ
24,"RT @KimreyThinks: At a historic moment, Burr served North Carolina, the nation and the Constitution by having the courage to vote his consc…"
25,RT @KimreyThinks: I will run for U.S. Senate if Lara Trump  steps foot in North Carolina. #2022Election #ncpol #ncga https://t.co/IkYfHMQrOB
26,RT @KimreyThinks: I will run for the US Senate myself if Lara Trump runs in North Carolina. #ncpol #laratrump https://t.co/pr5sPdCHiO
27,RT @KimreyThinks: Lindsey Graham: Lara Trump...certain nominee for US Senate in North Carolina https://t.co/8lZciQGdHT
28,"RT @jeffzeleny: Burr, who is retiring, explains his guilty vote: “I do not make this decision lightly, but I believe it is necessary. By wh…"
29,RT @KimreyThinks: GOP Senator Richard Burr votes guilty. Proud of my former boss. #principles #evidence
30,RT @KimreyThinks: I am the ex-GOP voter. And I am not alone. We must do better. We must expect more of those elected to represent us. #ncpo…
31,RT @KimreyThinks: https://t.co/gF1jy8MEd5 #ncpol #ncga
32,"RT @thehill: Nearly 140,000 voters left GOP in 25 states in January https://t.co/gHEfEOebRb https://t.co/dX6F2f7DWx"
33,"RT @BillKristol: ""Let me add, in the party of Lincoln, there is no room for intolerance and, not even a small corner for anti-Semitism or b…"
34,"RT @Pontifex: Social friendship and universal fraternity necessarily call for an acknowledgement of the worth of every human person, always…"
35,"RT @KimreyThinks: ""What happened on Jan. 6 had nothing to do with fences or barriers or bad security infrastructure at the Capitol. It was…"
36,"RT @KimreyThinks: ""We cannot but speak about what we have seen and heard” (Acts 4:20), is a summons to each of us to “own” and to bring to…"
37,RT @KimreyThinks: I did not leave the Republican party. They left me. NC Republicans are leaving their party in larger numbers after Capito…
38,RT @KimreyThinks: Proud to be an American. 🇺🇸
39,"RT @KimreyThinks: I have been a registered Republican for 28 years &amp; 9 months.

Today I am the newest UNAFFILIATED voter in the state of No…"
