Unnamed: 0,Text
0,"What a fantastic way to preserve our public lands with the first and best stewards of this land. This is a great move by the Bureau of Land Management, a clear indication of how crucial it is to have Native leadership at the Department of Interior!

https://t.co/5iBhmeeA1Z"
1,"50 yrs of safe, legal abortion won’t just go away because 6 Justices say so. Generations of Arizonans rise up against this decision &amp; won’t stop until everyone has control over their body. 

So. AZ shows up &amp; we’ll keep showing up to fight for our rights. #BansOffOurBody #AZ06 https://t.co/WOKrGnJp0e"
2,"I am livid. The S. Ct has overturned Roe v. Wade. That the writing was on the wall doesn't make the news any less devastating. I am unapologetically pro-choice. Abortion should remain safe and legal. In Congress, I will fight to ensure that it does. https://t.co/ybViyWpmNO"
3,"Money in politics is not a new problem, but Americans deserve accountability from major companies and their political spending. Thank you to these 85 companies for keeping their promise not to fund insurrectionists!

https://t.co/9i4LYOKKmf"
4,"Climate change, rising temperatures, &amp; lower flows are a threat to the Colorado River Compact. Small solutions won't solve this, we need leaders who have been in the trenches of water &amp; climate policy to fight for big solutions for AZ's future. #AZ06
https://t.co/J5O3B4ayQe"
5,"Speaker Bowers and I did not exactly see eye-to-eye on policy when I was in the legislature - I disagreed with him 99% of the time -- but I appreciate his standing up to his party when it's overrun with election deniers, and taking a principled stand.  https://t.co/P5OzapX64z"
6,"Treating inflation as a political football only hurts Arizonans, we need serious leadership that will work hard to find creative solutions to these big issues &amp; equip regulatory agencies with the resources needed to protect our economy &amp; bank accounts.
https://t.co/wxy3C0VIfN"
7,"Bisbee Pride this weekend was wonderful, it was great to get down to Cochise County and celebrate the LGBTQ+ community and Bisbee's incredible legacy as the first place in Arizona to legalize same-sex civil unions! https://t.co/qWrzMqFjKN"
8,I'm proud to have signed the Reparations Pledge and will fight for racial justice in all forms in Congress!
9,"On #Juneteenth we celebrate liberation of the last enslaved people in Texas, June 19th, 1865 while recognizing the continued fight for racial justice. From racial wealth gap to mass incarceration, legacies of enslavement threaten our values of freedom &amp; justice for all. #AZ06 https://t.co/D0urCtxcvA"
10,"My father, Ron Engel, inspired me to become an attorney, to protect the environment and to make the world a better place. I even became a Park Ranger, just like him! A very Happy Father’s Day to all! https://t.co/7HgThPcIRH"
11,Celebrating Juneteenth in Kennedy Park with some fantastic Jamaican jerk chicken. So tell me why Juneteenth isn’t a state holiday in AZ???#juneteenth2022 #pcdp https://t.co/K3eZDnk5IH
12,"It's Bisbee Pride!  This weekend, come join educational, cultural and recreational events celebrating the LGBTQ and Cochise County community in Bisbee, AZ! Come say hello -- I'll be speaking at 1:05 pm Saturday at the Day Stage at Goar Park! 
https://t.co/s2QQcnCCku"
13,"So great to catch up with Connie DeLarge, Chair of the African-American Caucus of the Pima County Democratic Party at the Tucson event for Katie Hobbs! @PCAADems https://t.co/A3a9jwPF3O"
14,Go @SecretaryHobbs - we need your leadership on election integrity and reproductive healthcare in the Governor’s office! Great to see you in Tucson! #ppaz https://t.co/wz5Q5gHAgh
15,"A glimpse of life for so many families in a post-Roe America: hardship, desperation, unsafe illegal abortions, the crippling costs of seeking abortion care hundreds of miles away. If Roe is overturned, Congress MUST step in to guarantee abortion access. 
https://t.co/npprXV9GTO"
16,@GrahamDemocrats Thank you for having me!
17,"Next, we headed over for a delicious La Paloma lunch with owner and @GrahamDemocrats Chair Nick Nordgrän-Tellez before heading over to party HQ. We ended the day with dedicated Democrats for a great discussion about Arizona's future and keeping #AZ06 blue! https://t.co/NQzIqxfCfv"
18,"We ended the tour with an informative Chamber Board Meeting, thank you to the The Gila Herald for the coverage of these great #GilaValley employers! #AZ06 https://t.co/g7eu98pG3O"
19,"We visited @eacmonsters &amp; met with the President, Foundation Chair, and other administrators, then Optimal Health Systems, and Mi Casa Tortilla, an award-winning local business -- so of course we had to pick up supplies for the drive home! #AZ06 https://t.co/wMXoBSn4zN"
20,"Fantastic day in Graham County! 

We started our day at 8:30 with David Bell at KATO 1230AM, the Voice of the Valley. Next up was an economic tour with Vance Bryce of @GrahamChamberAZ. 
#AZ06 https://t.co/s3WDUnlRJW"
21,"Workforce development programs like those by Dorothy Kret and Associates empower all persons to land a good-paying job. The Justice Program and Working With Women will help employ those released from prison &amp; those with substance abuse experience. 
https://t.co/gLOHoskaWS"
22,"Unbelievable! Here we are in a mega-drought and the State of AZ is practically GIVING our water to a Saudi Co. to grow alfalfa for its cattle back home! In Congress, I will fight for sound water policy for the people of Arizona!
https://t.co/F26wwQPjiH https://t.co/ADy95poU2T"
23,"Great to meet the leadership at LUCHA &amp; ACE's new Tucson office today - great to have you in the neighborhood, LUCHA &amp; ACE, and hear about your efforts to help register voters! #LUCHAAZ #EmpowerAZ https://t.co/TDrz413XTO"
24,We have signs! Look out for our bright orange Engel signs across #AZ06 -- get yours to show your support by requesting here: https://t.co/sFRqGUaakv https://t.co/IepzpSAspT
25,"My daughter’s generation wants answers &amp; action. They’re sick of politicians taking away healthcare rights, kicking the can on climate change, &amp; making it harder to vote. That’s why I’m running for Congress, to ensure her voice &amp; all our voices are heard. We need action now.#AZ06 https://t.co/BAcgDUbbH2"
26,"If you have time to volunteer, please sign up to help us reach voters and Get Out the Vote at https://t.co/nrCmKOC01l or donate to support our voter outreach at https://t.co/dQKveqsegF!"
27,"If you're an Independent, you can request a Democratic primary ballot on the @PimaRecorder website! If you're going out of town or will be at a different address in July, request your ballot be mailed there! More info at https://t.co/eOKkYVjr5M"
28,"Ballots drop the first week of July and today marks 50 days until the August 2nd Primary! Make your plan to vote, whether that be by mail, at an early voting location, or on Election Day at the polls! https://t.co/bOt7zQ1RV1"
29,"The 2nd Jan 6th Hearing is LIVE at 7 am AZ time! It will show Trump always knew that the ""Big Lie"" was false but spent millions to deceive Americans into believing this falsehood. Shamefully, AZ Republican candidates continue to push the Big Lie.  
https://t.co/yMR5PRWXDu"
