Unnamed: 0,Text
0,"Decisions about abortion policy are now in the hands of state legislators and voters where they belong. We must pass the Value Them Both Amendment on August 2. After that, as Kansas Attorney General, I will quickly take action to fully restore our pro-life laws in Kansas. #ksleg https://t.co/Ls4vMiRTyw"
1,"📺WATCH: Today at noon, the Johnson County Bar Association is holding a debate featuring Republican Candidates for Attorney General. You can watch live on PBS stations across the state, or on @kansascitypbs  Facebook live. https://t.co/4AwWuvCJWY"
2,"In addition to officially filing for office today, I also launched my Five-Point Plan for the Attorney General's Office, outlining my commitment to Kansans and the experience I will bring to accomplish the plan’s initiatives.
https://t.co/jtQzlPfSxE #ksleg"
3,"This morning I filed for Kansas Attorney General and launched a Five Point Plan to tackle voter fraud, fight Biden, restore our pro-life laws, eliminate CCH fees, and prosecute scammers. https://t.co/HFjFvTsrkz #ksleg"
4,"This morning I filed to run for AG and launched a Five-Point Plan for the Attorney General's Office. When I'm elected AG, I will fight back against the illegal executive actions of the Biden admin and I will prosecute voter fraud in Kansas. #ksleg  https://t.co/BYGht424UA"
5,Today my family joins all American patriots as we remember the sacrifice of the men and women who paid the ultimate price for our freedom. #ksleg https://t.co/oCtsAjCArU
6,"AGs are the best defense against a Biden Admin increasingly relying on executive orders to enact a liberal agenda. The Red Wave this fall will cripple his ability to legislate, so like Obama before him, he will use illegal executive actions. https://t.co/8108tT6nHf #ksleg"
7,📺WATCH: The least qualified candidate for Attorney General in modern history gets exposed at the Pittsburg debate. #ksleg https://t.co/4ekFnLSgMq
8,"I'm looking forward to a series of debates across the state where candidates can interview for the job of Attorney General. You deserve to know where we stand, and our capability to debate complex issues -- just as we would in the courtroom. #ksleg https://t.co/BxbMt2YwrG"
9,"“You do not give up your religious freedom when you enter the military,” Kobach said Tuesday in an interview. “Individuals should not be punished for practicing their religious faith.”
➡️MORE: https://t.co/Tuo8uFUwu0 #ksleg"
10,🎙️LISTEN: Kris Kobach joins @PeteMundo on @kcmotalkradio to talk big polling lead and lawsuit on behalf of military service members against the Biden Administration. https://t.co/pQ2h8gaL6T #ksleg
11,"Last night at the Reno County Republican Party meeting in Haven, I talked about the tragedy of the local city council forcing the police to remove ""In God We Trust"" -- our national motto -- from their vehicles. #ksleg https://t.co/ZdFKBZZyll"
12,"This case is so important because the very men and women who are fighting to defend our constitutional freedoms are having their own constitutional freedoms destroyed. I'm standing up for these airmen, just like I'll stand up for you. https://t.co/1hxJExbesw #ksleg"
13,The hearing today confirmed that the military religious accommodation process is pure theater. The answer is always no. The Air Force has granted zero accommodation requests that were not effectively early retirements. https://t.co/4yIpfbAKHj #ksleg
14,"In the federal courthouse in Omaha, I asked a judge to prevent the Air Force from discharging airmen for exercising their religion. This case is critical to protect the religious freedom of the men and women who fight for our freedom every day. #ksleg
➡️ https://t.co/ZrChMfBzDj https://t.co/ksA2NIyO9X"
15,"While his opponents in the Republican primary argue that Kobach is too conservative to win a general election, the polling shows that is not true. None of Kris Kobach’s primary opponents receive a larger vote share in the general election. https://t.co/0ufAijNNey #ksleg"
16,"At Monday’s hearing, Kobach asked Judge Brian Buescher for a preliminary injunction barring the Air Force from taking punitive action against any of the 7,835 airmen who have requested exemptions under RFRA. If granted, it would apply nationwide.
➡️https://t.co/ZrChMfjYLL #ksleg"
17,"🚨Schmidt and Kobach Lead Democrats in General Election
👉MORE: https://t.co/Qw5YzkqZZT #ksleg"
18,"Kris Kobach leads in general election polling, destroying his opponent's narrative that Kris Kobach is too conservative to defeat the Democrat.
👉MORE: https://t.co/XSUKxGjVcX"
19,"🚨BREAKING POLL RESULTS: Republican Kris Kobach is the favorite for Kansas Attorney General in the general election against Democrat Chris Mann, matching the lead Republican Derek Schmidt has over Democrat Laura Kelly in the governor race. #ksleg 👉MORE: https://t.co/0BsB5TG8lz https://t.co/u6Q8B8UkTX"
20,"Derek Schmidt is winning the race for governor against Laura Kelly and Kris Kobach is winning the attorney general race against Chris Mann by a similar margin. The November election will be another clean sweep for Kansas Republicans. 
👉RESULTS: https://t.co/OBj6Ox7y1c #ksleg https://t.co/yn9pXdULwl"
21,"🚨POLL RESULTS: No other GOP primary candidate earns a larger vote share in the general election than Kris Kobach, destroying the establishment narrative that another candidate performs better than Kris Kobach against the Democrat in November.
👉DETAILS: https://t.co/0BsB5TG8lz"
22,"Happy #MothersDay to Heather, the mother of our five girls. And to my mom who is a wonderful mother and grandmother. https://t.co/wU4Njpki7O"
23,"On this National Day of Prayer, I thank God for our nation and its Constitution. I offered this prayer today in Topeka, where I joined other Kansans in prayer for our state and country. #ksleg https://t.co/VTxHJFtxae"
24,The leak of the Dobbs opinion does incredible damage to the independent judiciary that protects our Constitution. It was done to invite protest and to place outside pressure on members of the court. https://t.co/llcxRUwHfk #ksleg #scotus
25,"🚨ENDORSEMENT ALERT🚨
“With abortion extremists attacking pro-life laws in KS, the race for AG has never been more important. Kris Kobach has a long history with our movement. Pro-Life Kansans and those we seek to protect must continue to have a voice in the AG’s Office.” #ksleg https://t.co/UJZ079clJp"
26,🚨BREITBART: Kris Kobach Dominates in GOP Primary for Kansas Attorney General https://t.co/vD36mrxFtn #ksleg
27,"On the campaign trail in Abilene I gave an update on the three lawsuits I brought against Joe Biden's illegal executive actions. In the courtroom we won against both Obama and Biden, and we'll keep fighting back against this lawless administration. https://t.co/7BBOHsYMzz #ksleg"
28,"🚨BREAKING: Our lead in the race for Attorney General is GROWING! After successful lawsuits against Joe Biden, top fundraising numbers, and endorsements from Dr. James Dobson and Sen. Ted Cruz, we are polling at 52% in a three-way race. #ksleg

➡️ JOIN US: https://t.co/1ozOjBgKDl https://t.co/2VlNi5Gv1M"
29,"Tonight I spoke to the Leavenworth County Elephant Club where I updated members on the lawsuits I am pursuing in federal court against the Biden Administration. In the Attorney General race, I am the only candidate who has sued both Obama and Biden -- and won. #ksleg https://t.co/pB68hDq55c"
30,"Speaking tonight at the Dickinson County GOP, I shared my vision for the Attorney General’s office. We need to take the lead against the reckless policies of the Biden Administration by filing suit against his radical executive orders. I will not back down from this fight. #ksleg https://t.co/INueuueUs2"
