Unnamed: 0,Text
0,"Applause to faith leader Charlie Caswell #Memphis on his collaboration to bring spiritual &amp; mental resources for folks in #TN &amp; #USA. A servant of The Lord making a connection in a #Tennessee &amp; #America direction. All Glory to God, Who leads. https://t.co/yDcPHJ4wtn"
1,#Tennessee Makes Comeback to Shock Indiana at #Gator #Bowl #Vols Beat Indiana with Onside Kick + Quick Scoring #TN Wins 23 - IN 22
2,#Tennessee Makes Comeback to Shock Indiana at #Gator #Bowl  #Vols Beat Indiana with Onside Kick + Quick Scoring #TN Wins 23 - IN 22
3,At #Tennessee We're On a Mission and this is our next step #BigOrange Vs #Indiana #GatorBowl #GBO https://t.co/eaq76wlxeB
4,Grandson Knox &amp; his Popsie Larry; We're Wishing You a #Happy #Thanksgiving &amp; Holiday that's Merry!
5,Thank God we’re living in Tennessee. That’s where He put me. With mountains we call Smoky. #Happy #Thanksgiving https://t.co/78uXUJNfSB
6,"On #November22 every year we remember the loss of #PresidentKennedy, recall where we were and wonder what might have been. We cherish what was when #JFK led our nation. President Kennedy set an... https://t.co/e8ZuTsP764"
7,"This is the kind of wall - commemorating our nation's veterans, which unites our country.  The names listed here represent our fellow Americans who swore an oath to the Constitution and died 
in its defense. Today,... https://t.co/Hp8OmV70Vx"
8,Happy 🇺🇸❤️🙏🎚FB FriendVersary Bro. Charlie. Keep up the great ministerial community outreach work you do for the Lord and God’s People in Memphis and around the Great State of TN. #TeamAmerica ...For ALL The People.
9,"As America looks ahead, ALL the people deserve to be heard. We've heard from career politicians &amp; privileged elite. It's time we hear from the people on the street. Part of their story we heard from folks out of... https://t.co/GQedAKYFeJ"
10,Yesterday we said all the people in Memphis need a voice in the U.S. Senate. How about the folks in #Chattanooga? #TeamAmerica #ForALLAmericans https://t.co/bsAk3wegPT
11,Reaching out in the #BluffCity of #Memphis was key then and now to give all the people a voice.  A career politician puppets excluded the people from the election process in 2018 and are seeking to... https://t.co/BRuxy05tOl
12,"U.T. Wins Big in More Ways Than One! Standing up for Child mocked for his hand made #UTShirt, giving him a scholarship, helping a 4th grader find victory after a let down -... https://t.co/82TC4IISIZ"
13,"U.T. Wins Big in More Ways Than One! Standing up for Child mocked for his hand made #UTShirt, giving him a scholarship, helping a 4th grader find victory after a let down -... https://t.co/82TC4IrhRr"
14,Y'all help me applaud U.T.'s player-leaders and let's continue to support The Big Orange! #VFL #GBO https://t.co/SSCHmpnSpV https://t.co/SSCHmpnSpV
15,Y'all help me applaud U.T.'s player-leaders and let's continue to support The Big Orange! #VFL https://t.co/SSCHmpnSpV https://t.co/SSCHmpnSpV
16,U.T. Stars Still Shine Giving Hope to Team &amp; #Vol #Fans. Applauding UT player-leaders @ #LarryCrim #UTAlum #TeamAmerica https://t.co/SSCHmpnSpV https://t.co/SSCHmpnSpV
17,Congratulations  to #Rep #BarbaraCooper of Memphis on your induction into the International Educators Hall of Fame.  Barbara has had a life long dedication to teaching and loving young... https://t.co/ePGm6rafZ6
18,News from #TheNashvillian on 16th district council election. Big Issues Over #Tiny #Homes for #Homeless #Vets.  https://t.co/uO8nSxJ46d https://t.co/uO8nSxJ46d
19,Keep The Faith. We’re Coming Back! #Go #Big #Orange. Go ALL People of Tennessee. Go America! #TeamOrange. #TeamAmerica https://t.co/TINJNMO6Q2
