Unnamed: 0,Text
0,"RT @TerryNamkung: CRT is being put into our military at a scary rate. We just found out that it is now even being taught at West Point.

We…"
1,Elmo just got his COVID vaccine. I’m sure his heart is just overflowing with joy!
2,The Nazis thought they had THE RIGHT to exterminate their “inconveniences” too.
3,"What I have I done?

I run Miami’s largest food bank.

I have baby formula, diapers and everything else you can need.

I help anyone in need ESPECIALLY the babies. https://t.co/Mh8FgQxjoN"
4,I would love to know what they paid this Hutchinson girl. She’s about to make Puff Daddy look broke.
5,"If the only thing you’re living for is murdering babies, your soul is dead already."
6,@isabellarileyus Clear
7,@TPostMillennial Spoken like a true ho🤷🏾‍♀️
8,"If liberals had their way, they’d be able to pop into Starbucks and get an abortion with their soy mocha latte."
9,Ok?🤷🏾‍♀️ https://t.co/ut5jDux9YJ
10,Add the 46 DEAD ILLEGALS in that tractor-trailer to Joe Biden’s body count - if you can even count that high 🤷🏾‍♀️
11,Why does the richest country in the world need to beg other countries for baby formula?
12,RT @BCFPresident: Don’t let the Democratic Party send you to hell.
13,@stoolpresidente Imagine if it was McCarthy… cancelled
14,"RT @BCFOfficial_: Unlike Pro-Choice “Pastor” @ReverendWarnock, we applaud Former Presiding Bishop of COGIC @BishopCEBlake and his remarks p…"
15,Imagine the kind of person you must be to base your whole life around being able to murder your unborn child. https://t.co/xOiHd4E8Iq
16,Any corporation that pays for a female employee to kill her unborn child should be tried for accessory to murder🤷🏾‍♀️
17,@CoriBush Sit down.
18,RT @RandyRRQuaid: A President of the USA holds the power to do amazing things for American citizens. No one in the last 30 years used that…
19,"No one thinks this at all, Whoopi. https://t.co/jSAjm7MtfJ"
20,"@JackPosobiec He’s littlerally calling OZ a liar, fraud and meathead and OZ thought it was a compliment."
21,"@DrOz @JohnKennedyLA Dude he calling you a liar, a meathead and a fraud and saying you’ll fit right in. I don’t think this is the compliment you took it to be."
22,@Labelle14870844 @leverecasalingh @Pink Pink a backup singer. Sit.  Down @leverecasalingh https://t.co/mn6gmdLj6H
23,@TSperfection13 Because of the dude.
24,"@taradublinrocks @Pink How Soros doing, Tara?"
25,RT @BillFOXLA: Non. Stop.
26,"What rights? You don’t want rights.

You DO NOT HAVE the right to murder another human being.

It is what it is. Now don’t worry I will not be listening to your music because I do have taste. 

Find God. https://t.co/Oabp1wxoRM"
27,"Today the Supreme Court ruled by a 6 to 3 vote that a high school football coach could pray after the game, but that’s not the news.

The news is that in 2022 America, people need permission from the government to pray🤷🏾‍♀️🤦🏾‍♀️"
28,"RT @JRMajewski: Democrats in 1961: Ask not what your country can do for you – ask what you can do for your country.

Democrats now: I deman…"
29,@HillaryClinton You my one exception to being pro-life. If Momma Hillmurda would’ve went to the clinic and let you go… not a tear would’ve been shed.
30,"Murder is not a constitutional right, ladies."
31,"RT @Awurabena2: @lavern_spicer Especially Kentanji Brown Jackson a  justice Democrats picked. 

 Sen. Marsha Blackburn asked the Supreme Co…"
32,@alexsalvinews Where’s the DIVERSITY?
33,"Most of the people who are mad right
now couldn't even say what a woman IS a month ago🤷🏾‍♀️"
34,@BrandonStraka You used to Google “MAGA hashtags” and they literally had those in there in the top 30.
35,@Canes_Culture Cancer patients are required to have abortion?
36,@KatrinaDances @AOC Change the code.
37,@ArmendarizDis16 🔥 🔥 🔥
38,"@TPostMillennial Chill, dude."
39,@Pink Honey girl the only hit you ever had was off the back of Patti LaBelle on that hoochie ass remix of “Lady Marmalade”. The rest of your songs are some sad sacks of bubblegum pop that no one listens to other than Tayler Swift.
40,Kamala’s poll rating is going down faster than she does after 2 free drinks🤷🏾‍♀️
41,All she’s got to do is yell and ain’t nobody coming near her anyway so she’s got no worries at all. https://t.co/Fs1BbAtmu3
42,"These are the types of conversations that I have in the hood every day.

The people get it. The people understand. https://t.co/7uVzhb3rBq"
43,"I don’t shame anyone for their personal choices, but when you killing babies it ain’t about your person anymore."
44,Where do you get off calling your elder a coon? https://t.co/plYKV7dbkB
45,"Here’s a novel idea, try having adult discourse. https://t.co/0Vzqg7HQiE"
46,"RT @RafaelloCarone: By the Left’s standard… they did. 

Will they be detained for months with no due process or sunlight as well?"
47,"RT @MrMayfieldUSA: Clarence Thomas will go down as one of America’s greatest heroes.

He understands that our Constitution comes before any…"
48,"@AOC Here’s a novel idea, stop indiscriminately laying down with men who don’t give a damn about you.

Stop letting them finish inside you like you are some disposable blow-up doll.

Have some self respect and make God proud."
49,"I have the most important FEC deadline of my race so far - if I don’t outraise my primary opponent our race is as good as done.

If you think that this conservative sista belongs in Congress go to https://t.co/7z8blhtDAf &amp; pass on a blessing!

I need to raise $7k before 6/30!"
50,"I’ll concede.

3 Genders.

Male. Female. Justin Trudeau."
51,RT @drewmontezclark: My baby daughter cries less than the Democrats and she’s not even out of diapers.
52,Gotta laugh that TRUMP is still getting more done OUT of office than Biden is IN OFFICE 😂
53,"@ananavarro If you’re against saving the unborn, don’t. It’s your soul going to hell.

BUT, Do not impose your beliefs &amp; religion on all Americans."
