Unnamed: 0,Text
0,All those years of hard work fighting for conservative judges on the Supreme Court is paying off-big time!
1,"The Court rightfully held that a football coach praying alone in view of his players is not a violation of the Constitution, but rather protected religious and free speech activity under the First Amendment. 

This is a common-sense ruling."
2,"Another great day for religious freedom at the U.S. Supreme Court.

https://t.co/Z2unFWl0x3"
3,"RT @marthamaccallum: GA Gubernatorial Candidate ⁦@staceyabrams⁩, Senator ⁦@LindseyGrahamSC⁩ + more. Join me on ⁦@FoxNewsSunday⁩ @ 2pmEST @f…"
4,"RT @FoxNewsSunday: Today on #FoxNewsSunday with 
@marthamaccallum 

▶️ @ShannonBream 

▶️ @AlexandriaHoff 

▶️ @LindseyGrahamSC 

▶️ @stace…"
5,"@LeaderMcConnell Hats off to Mitch.  

Job well-done! 👏  👏"
6,"@LeaderMcConnell Working over the decades with Republican presidents, Senator McConnell has been the strongest supporter of constitutional conservative judges. 

His leadership and time as Majority Leader was outcome determinative in creating this conservative court."
7,"On this historic day where there has been a major constitutional reset, it is time to reflect on the people who worked so hard to bring this day about.  

No one person has done more to get conservative judges on the Supreme Court than @LeaderMcConnell."
8,@Mike_Pence A great day for the Constitution and the pro-life movement!
9,"@Mike_Pence I appreciate the Trump Administration for the appointment of 3 outstanding Supreme Court justices who had a hand in this historic decision.  

President Trump stood by them all and Mike Pence’s fingerprints are all over these selections."
10,"@Mike_Pence I told Mike he has been a steady, consistent voice for the pro-life cause and has been a true inspiration and role model for people like me."
11,"Just received a wonderful phone call from my dear friend and former VP @Mike_Pence.

He was kind enough to reach out and thank me for my efforts in fighting for conservative judges through the years."
12,RT @FoxNews: Lindsey Graham on Roe v. Wade reversal: 'A constitutional reset and a day to celebrate' https://t.co/Wa8Aq1he1U
13,"Speaking with Brian @kilmeade about the Supreme Court decision on @foxnewsradio.

#ProLife

LISTEN LIVE:
https://t.co/cV0ecH8nqI"
14,"Under the Roe theory, almost anything could be a constitutional right depending on the views of five justices on substantive due process."
15,"Roe was Constitutionally unsound from its inception as the flawed legal theory behind the decision gives unlimited power to five unelected Supreme Court justices. 

I believe it was one of the largest power grabs in the history of the Supreme Court."
16,Today’s decision by the Supreme Court is a long overdue constitutional correction allowing for elected officials in the states to decide issues of life.
17,"Speaking with Brian @kilmeade on @foxnewsradio at 11:20 AM this morning on the Supreme Court Dobbs decision.

LISTEN LIVE:
https://t.co/Y7MRlJ1hJy"
18,"The Supreme Court's decision is yet another example of reinforcing the concept that the Second Amendment is an individual right rooted in the ability to defend oneself and property.
 
A big day for responsible gun ownership.

https://t.co/30LsYkta1f"
19,"Great day for the Second Amendment. At its core, the Supreme Court ruled that the right to bear arms is the right to defend oneself and one’s property.

The New York law was a tremendous overreach putting unconstitutional requirements on concealed carry permits."
20,"One useful provision in the bill would correct a hole in background-check screening for those under 21. 

https://t.co/LYr7JC0NHk"
21,"RT @SenTedCruz: .@LindseyGrahamSC and I serve on the Senate Judiciary Committee.
 
We have had 0 hearings on the crisis at the southern bor…"
22,"📍 In Case You Missed It 📍

#BidenBorderCrisis press conference with Senators Ted Cruz &amp; Lindsey Graham, Rep. Jim Jordan, and @BPUnion’s Brandon Judd.

WATCH: 
https://t.co/TgdeqQAMM6"
23,"HAPPENING NOW: #BidenBorderCrisis press conference with Senators Ted Cruz &amp; Lindsey Graham, Rep. Jim Jordan, and @BPUnion’s Brandon Judd.

https://t.co/TRGYj3zbQj"
24,"RT @ellengilmer: Meanwhile on the Senate side, National Border Patrol Council’s Brandon Judd speaking with Sens. Graham, Cruz &amp; Rep. Jordan…"
25,"Holding a press conference at 12:30 PM with @TedCruz and @Jim_Jordan to discuss the worsening crisis at the U.S.-Mexico border as a result of the Biden Administration’s continued failed policies. 

Will be joined by Brandon Judd, president of the National Border Patrol Council."
