Unnamed: 0,Text
0,"RT @Mr_MAGA1776: Roe V Wade has been overturned! 

The power is back in the states."
1,"Roe V Wade has been overturned! 

The power is back in the states."
2,"RT @Mr_MAGA1776: Disney went Woke and now they are in for a rude awakening! 

Should have left raising our kids up to us 🤷🏼‍♂️🤷🏼‍♂️🤷🏼‍♂️"
3,RT @Mr_MAGA1776: Do you think President Trump will return to Twitter?
4,Do you think President Trump will return to Twitter?
5,"Looks like we will be getting our wish! 

Thank you @elonmusk for protecting free speech!"
6,"Disney went Woke and now they are in for a rude awakening! 

Should have left raising our kids up to us 🤷🏼‍♂️🤷🏼‍♂️🤷🏼‍♂️"
7,Musk and DeSantis 👀
8,"RT @Mr_MAGA1776: BREAKING: The mask mandate on planes and trains is over!

Thank you Judge Kathryn Kimball Mizelle!"
9,"BREAKING: The mask mandate on planes and trains is over!

Thank you Judge Kathryn Kimball Mizelle!"
10,"RT @Mr_MAGA1776: MAKE TWITTER GREAT AGAIN!!

🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸

@elonmusk"
11,He is Risen! Have a Blessed Easter
12,"MAKE TWITTER GREAT AGAIN!!

🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸

@elonmusk"
13,We want Elon!
14,Elon Musk is Savage!
15,"RT @Mr_MAGA1776: Hey Disney…..

Go Woke

Go Broke

Leave raising our children up to us!"
16,"Hey Disney…..

Go Woke

Go Broke

Leave raising our children up to us!"
17,RT @Mr_MAGA1776: Do you agree with Elon Musk that we need to increase oil production in the US?
18,"RT @Mr_MAGA1776: Produce more oil in the US! 

It’s not rocket science 🤦🏼‍♂️"
19,"RT @Mr_MAGA1776: Say no to Russian Oil 

Say no to Venezuelan Oil 

Say no to Iranian Oil

Reopen the Keystone Pipeline 

Become Energy Ind…"
20,"RT @Mr_MAGA1776: Drilling Oil in another county and shipping it to America doesn’t make it green. 

Actually we have more regulations in th…"
21,"Drilling Oil in another county and shipping it to America doesn’t make it green. 

Actually we have more regulations in the US than other countries and would cut down on oil used in shipping it.

Not to mention the high paying jobs it would create for Americans."
22,"Produce more oil in the US! 

It’s not rocket science 🤦🏼‍♂️"
23,"Say no to Russian Oil 

Say no to Venezuelan Oil 

Say no to Iranian Oil

Reopen the Keystone Pipeline 

Become Energy Independent Again!"
24,Do you agree with Elon Musk that we need to increase oil production in the US?
25,RT @Mr_MAGA1776: Joe when will you REOPEN the Keystone Pipeline?!?!
26,Joe when will you REOPEN the Keystone Pipeline?!?!
27,"The State of the Union speech might be one of the most hypocritical things I’ve ever heard.

What a joke."
28,"Love or Hate Donald Trump:

But Russia wouldn’t have even come close to invading Ukraine if he were still our President. 

Biden’s weak policy stance against Russia led to this outcome. 

Make no mistake about it."
29,"We import 595,000 barrels of oil per day from Russia.

The Keystone XL pipeline would have produced 830,000 barrels per day. 

Relying on Russian oil is a choice. And it’s a stupid one.

- Dan Crenshaw"
30,"RT @DanCrenshawTX: We import 595,000 barrels of oil per day from Russia.

The Keystone XL pipeline would have produced 830,000 barrels per…"
31,"On tonight at 6 with WSAV addressing mental health and homelessness here in Beaufort County. 

Let me know your thoughts!"
32,"Happy Thanksgiving Everyone! 

I am Thankful for the opportunity to work for you all. This year truly has been a pleasure 🇺🇸🇺🇸🇺🇸"
33,"Breaking: 

Kyle Rittenhouse Found NOT Guilty on All Counts!

🇺🇸🇺🇸🇺🇸"
34,RT @Mr_MAGA1776: BREAKING: OSHA has suspended implementation and enforcement of Biden's unconstitutional vaxx mandate for private sector em…
35,"BREAKING: OSHA has suspended implementation and enforcement of Biden's unconstitutional vaxx mandate for private sector employers pending the outcome of litigation. 

Huge Win For The American People 🇺🇸🇺🇸🇺🇸"
36,"RT @Mr_MAGA1776: Joe Biden you can’t hide from your mistakes

The Afghanistan disaster was real

The Crisis at the border is real

The Infl…"
37,"Joe Biden you can’t hide from your mistakes

The Afghanistan disaster was real

The Crisis at the border is real

The Inflation in America is real

No amount of distraction or refusing to take questions will change that."
38,"Joe Biden has officially lost it. 

Mandatory Vaccinations for Businesses of over 100 people."
39,"I work for YOU THE PEOPLE and I’m just getting started 🇺🇸🇺🇸🇺🇸 Wait and see what’s coming next. 

Thank you all for the continued support. 

#logancunningham #maga #america #usa #freedom #patriot #southcarolina #republican #freedomofchoice #standup https://t.co/750wydQRlD"
40,"The people that don’t want an ID at a voting booth

Are the same people that want an ID for a vaccine

Let that sink in for a minute…."
41,"RT @Mr_MAGA1776: Some of you all tried to impeach President Trump for a lot less.

I’m just saying

🤔🤔🤔"
42,"RT @Mr_MAGA1776: The way this withdrawal from Afghanistan has been handled, by this Administration makes me sick to my stomach! 

No Americ…"
43,"RT @Mr_MAGA1776: I pray for those in harms way of the Taliban

For the Americans left behind

For the Women and the Children that will expe…"
44,"I pray for those in harms way of the Taliban

For the Americans left behind

For the Women and the Children that will experience things that are unimaginable

For the ones that refuse to turn their back on God

For the ones that continue to fight for their freedom

God Have Mercy"
45,"The way this withdrawal from Afghanistan has been handled, by this Administration makes me sick to my stomach! 

No Americans should be left behind!"
46,Praying for all of those affected in Afghanistan!
47,"America wasn’t built by people backing down when things got tough! Stand up 🇺🇸🇺🇸🇺🇸

#freedom #mask #usa #america #maga #southcarolina #logancunninghamforcountycouncil #standup #maga #logancunningham #afghanistan #democrats #republican https://t.co/iVkG4anYs7"
48,"Some of you all tried to impeach President Trump for a lot less.

I’m just saying

🤔🤔🤔"
49,"RT @Mr_MAGA1776: I have ZERO problem being the punching bag for standing up.

As long as I am standing up for what THE PEOPLE WANT! 

Thank…"
50,"RT @Mr_MAGA1776: 8 months into the Biden administration

Name me one GOOD thing he has accomplished…"
51,"I have ZERO problem being the punching bag for standing up.

As long as I am standing up for what THE PEOPLE WANT! 

Thank you all for the support"
52,"8 months into the Biden administration

Name me one GOOD thing he has accomplished…"
53,RT @Mr_MAGA1776: There was a time when I was called crazy for saying people will try and force others to get the vaccine or require a vacci…
54,"There was a time when I was called crazy for saying people will try and force others to get the vaccine or require a vaccine card to enter a place. 

Well here we are today… Not so crazy anymore"
55,"RT @Mr_MAGA1776: Remember:

Jesus Is Still In Control

🙏🏻🙏🏻🙏🏻"
56,"RT @Mr_MAGA1776: I will continue to say it and stand by it! 

No mask mandates. 

No vaccine mandates. 

No vaccine passports.

No COVID ma…"
57,RT @Mr_MAGA1776: Bye Bye Andrew Cuomo
58,Bye Bye Andrew Cuomo
59,"RT @Mr_MAGA1776: South Carolina has officially made it a State Law to leave the decision of wearing a mask up to the PARENTS! 

This is a m…"
60,"I will continue to say it and stand by it! 

No mask mandates. 

No vaccine mandates. 

No vaccine passports.

No COVID mandates!"
61,"Remember:

Jesus Is Still In Control

🙏🏻🙏🏻🙏🏻"
62,"RT @Mr_MAGA1776: The CDC either has no clue what they are talking about or it’s just being completely controlled by the White House! 

Just…"
63,"RT @Mr_MAGA1776: With the current information at hand I will NOT support another lockdown! 

Freedom of Choice 🇺🇸🇺🇸 🇺🇸

Are you with me?"
64,"RT @Mr_MAGA1776: Critical Race Theory spreads hate and racism! 

It was created to divide us as a nation by targeting our children. 

You w…"
65,"With the current information at hand I will NOT support another lockdown! 

Freedom of Choice 🇺🇸🇺🇸 🇺🇸

Are you with me?"
66,"The CDC either has no clue what they are talking about or it’s just being completely controlled by the White House! 

Just 4 months ago they told everyone if you get vaccinated you will no longer have to wear a mask. 

Well that changed quickly.

Stand up and stop the control 🇺🇸"
67,"South Carolina has officially made it a State Law to leave the decision of wearing a mask up to the PARENTS! 

This is a major win and the way it should be for our children!"
68,"RT @Mr_MAGA1776: Fellow Patriots 🇺🇸🇺🇸🇺🇸

Roll Call, where are you from?! 

South Carolina here"
69,"Critical Race Theory spreads hate and racism! 

It was created to divide us as a nation by targeting our children. 

You want to make a stand against racism? 

Shut this down immediately!!!"
70,"Fellow Patriots 🇺🇸🇺🇸🇺🇸

Roll Call, where are you from?! 

South Carolina here"
71,"RT @DrRachelWiz: Thank you to @BeaufortRegCoC for a wonderful Legislative Reception yesterday evening. Always great to see @Mr_MAGA1776, Ke…"
72,Happy Birthday President Trump https://t.co/5PYajg6qj8
73,"RT @Mr_MAGA1776: Kamala Harris visited the southern border?

Sorry I must have missed that actually happening!?!?!

Over 170,000 people cro…"
74,RT @Mr_MAGA1776: How many of you are missing President Trump?
75,"Please join me and congratulating my sister Brooklyn, and Oscar! They just found out they will be having a baby GIRL! https://t.co/PDGjOqLJBT"
76,RT @Mr_MAGA1776: Im back! Can I get some followers to help rebuild 🇺🇸
77,"Kamala Harris visited the southern border?

Sorry I must have missed that actually happening!?!?!

Over 170,000 people crossed our southern border illegally last month alone. 

But yet the current administration continues to say there is no crisis."
78,Im back! Can I get some followers to help rebuild 🇺🇸
79,How many of you are missing President Trump?
80,RT @Mr_MAGA1776: Freedom doesn’t end where your feelings start
81,"RT @Mr_MAGA1776: Raise your hand if you'd vote for Trump in 2024. 🖐️

I'm following everyone back, so follow."
82,"RT @Mr_MAGA1776: Schumer has been in office since 1981 and Pelosi since 1987... 

Yet they blame Trump and everyone else for the problems g…"
83,RT @Mr_MAGA1776: How many of you are invested in Dogecoin?
84,"RT @Mr_MAGA1776: I have lost over 30,000 followers since January. 

Let me know if you can still see me."
85,"RT @Mr_MAGA1776: Are we really going to pretend that there isn’t a National Crisis at our southern border?

Stop trying to cover it up like…"
86,"Are we really going to pretend that there isn’t a National Crisis at our southern border?

Stop trying to cover it up like it isn’t a problem and fix it!"
87,"I have lost over 30,000 followers since January. 

Let me know if you can still see me."
88,"RT @Mr_MAGA1776: A press conference addressing the issues going on in America and the world would be greatly appreciated....

Just let us k…"
89,"A press conference addressing the issues going on in America and the world would be greatly appreciated....

Just let us know when you can Joe"
90,"I stand with Israel! 

Hamas is a is a terrorist organization!"
91,"The Colonial Pipeline will reopen this week

Because of the current state of emergency in South Carolina, transportation waivers are already in place in laws protecting price gouging are in effect.

Please do not hoard gas or cause panic. Governor McMaster is ready to act."
92,"In a span of 5 months we went from:

Gas prices under $1.75

Gas prices over $2.70

Now a Gas shortage"
93,How many of you are invested in Dogecoin?
94,"RT @Mr_MAGA1776: People are surprised that unemployment has risen 🤦🏼‍♂️

Why are you surprised?!?!

People are getting paid to sit at home!…"
95,"RT @Mr_MAGA1776: Enough is Enough!

It’s way past time for South Carolina to get back to work. 

Beaufort County are you ready to lead the…"
96,"People are surprised that unemployment has risen 🤦🏼‍♂️

Why are you surprised?!?!

People are getting paid to sit at home!

You expected something different?"
97,"Enough is Enough!

It’s way past time for South Carolina to get back to work. 

Beaufort County are you ready to lead the way?!?!"
98,"Great job Governor McMaster for taking a stand!  It’s time to re-open our economy and take back our country! 

https://t.co/FOEWdScF9F"
99,"Beaufort County Mask Ordinance was not extended! 

🇺🇸🇺🇸🇺🇸

It will expire in unincorporated areas on April 15th!"
