Unnamed: 0,Text
0,"Perhaps no one triggers the Socialist left more than Clarence Thomas, America's greatest SCOTUS Justice. #SCOTUS https://t.co/5kD3oG3YBo"
1,RT @michaeljknowles: Greatest Supreme Court term ever
2,Pelosi is going to be giving that gavel up here in a few months ... not soon enough! https://t.co/YxTS38z4bR
3,"RT @LifeNewsHQ: Justice Neil Gorsuch on the school firing Coach Kennedy for praying:

""The Constitution neither mandates nor tolerates that…"
4,"RT @LifeNewsHQ: Justice Neil Gorsuch: The right to pray is ""doubly protected by the Free Exercise and Free Speech Clauses of the First Amen…"
5,RT @LifeNewsHQ: BREAKING: The Supreme Court ruled 6-3 that a school district cannot prohibit a football coach's on-field prayer. 🙏
6,"Leftist #Antifa Violence is everywhere. Life Choices is a pro-life center caring for mothers &amp; children. Sadly, @YadiraCaraveo @SpeakerPelosi #Brandon &amp; other Dems endorse this violence &amp; hate thru their rhetoric &amp; silence. 

https://t.co/xiT6FXDOiy"
7,"RT @MrAndyNgo: Longmont, Colo.: The Life Choices pregnancy resource center was attacked &amp; set on fire early on June 25. The threat ""If abor…"
8,RT @LifeNewsHQ: https://t.co/fNzwkUJi2D
9,RT @LifeNewsHQ: Thank you God! 🙏
10,"Roe V. Wade is no more, Praise God! Thank u to SCOTUS &amp; to Pres Trump for this victory! Pray for those in the pro-life movement whose lives are being threatened by Socialists who want to kill babies until birth. Pray for peace in this historic time &amp; that hearts will be softened."
11,RT @LifeNewsHQ: BREAKING: Supreme Court rules 6-3 to overturn Roe v. Wade. Chief Justice John Roberts concurs with Alito decision and pro-l…
12,"SCOTUS SHOOTS DOWN 
New York restrictions for concealed carry, #2A!  
Pun intended."
13,Everyone says they are conservative in the primary. I am the only A-rated conservative in the CD8 race. Listen to my interview with@martylenz https://t.co/vn3Axy884Z
14,"RT @Jim_Jordan: President Trump predicted Biden would destroy our southern border. 

He was right. 

President Trump predicted Biden would…"
15,RT @Timcast: the people should not need permission from the government to carry a weapon
16,"RT @FoxNews: Concealed carry applications spike 600% in Philadelphia amid crime surge: 'People are scared'
https://t.co/6NOmhwS74C"
