Unnamed: 0,Text
0,"Last week, I had the honor to meet with @CHIRLA &amp; @PHDreamers on the 10th anniversary of #DACA.
Your stories matter, and I will continue to push and work with my colleagues to pass meaningful #ImmigrationReform.

#NoSonOlvidados #Dreamers
#LouCorrea #CorreaFor46 #CA46 https://t.co/KwPqktpk7J"
1,"Almost 2 weeks ago, I had the privilege to be at the @SummitAmericas to ensure that the Americas have a long-term, prosperous future.
It's very productive to meet with the world leaders to address common issues &amp; find solutions.

#SummitAmericas #IXsummit
#LouCorrea #CorreaFor46 https://t.co/bW73UBeyon"
2,"It’s #FlagDay 🇺🇸 

Today we celebrate the American flag. It’s a symbol that means so many things to so many people.

#DYK President Woodrow Wilson proclaimed June 14, 1916 as the very first Flag Day.

#LouCorrea #CorreaFor46 #CA46 https://t.co/qW2phfvzGO"
3,RT @JOLPOLitico: @AlexPadilla4CA @JaredHuffman @DrKermitJones @Mike_CA05 @BeraForCongress @Matsui4Congress @JohnGaramendi @JoshHarder @Mark…
4,"Good morning, neighbors! 🍊 
It’s #ElectionDay 🗳🇺🇸 

If you haven’t voted yet, be sure to vote in-person, do a drive-thru ballot drop-off, or personally deliver your ballot to the @OCRegistrar!

#VoteLouCorrea ✅

For more information, visit: https://t.co/FF7p7FXv92 https://t.co/giB7ZpZyw9"
5,"RT @unionveterans: The Veteran Service Recognition Act was introduced today by @RepMarkTakano, @RepZoeLofgren, @RepJerryNadler, @voteloucor…"
6,"Tomorrow is #ElectionDay for the June Primary!
Have you voted yet? 🗳 

For the folks of #District46, go to page 3 of your ballot, under #UnitedStates Representative and mark the 5th option down, for yours truly, #LouCorrea! 🇺🇸🍊 

Check out my website: https://t.co/2IUajvYe86 https://t.co/JKSYE3xwgD"
7,"Congratulations to the players, parents and coaches of the @SantaAnaHS Baseball Team for an outstanding season⚾️ 

Sports teach you to win and lose, to become strong and to seek balance with your emotions.

Repost from @RepLouCorrea 

#LouCorrea #CorreaFor46 #District46 #CA46 https://t.co/QLlqwEAAHN"
8,"It’s graduation season! 🎓

It's great being back home in time to wish our graduates congratulations and good luck on their journey. 👏

Repost from @reploucorrea 

#RepLou #LouCorrea #CorreaFor46 #District46 #CA46 https://t.co/k4wDIfpVpD"
9,"Today we remember and honor all those who have served to protect this country and our freedom 🇺🇸
Happy #MemorialDay!

#RepLou #LouCorrea #CorreaFor46 #District46 #CA46 #MemorialDay2022 #MemorialDayWeekend https://t.co/egmi4xlZGM"
