Unnamed: 0,Text
0,Says the person against Medicaid expansion in her own state!!! Smh 🤦🏾‍♂️ https://t.co/nQa94ABXSZ
1,"@scootergierisch of Roanoke….how can Walker win a Senate race in GA, when he lives next door to you in Westlake, TX? Don’t you think residents in the state of GA, actually want a Senator that lives in the Peach State and not Vaquero/Westlake, TX? https://t.co/B8P6qfUSJz"
2,"Please!!!! If you believe Black Babies Matter, you would have taken care of and acknowledged the many you’ve made!!! Instead you had to be drug into court and forced to pay child support! Guys like you play a major role in the statistics you quote! 👇🏾 https://t.co/d5c3BprEnZ"
3,"Great turn out today at the Trinity Pride Festival! Happy #Pride Month, everybody 🌈 https://t.co/st7WfOs8Z2"
4,??? https://t.co/CdNsIbxPp6
5,"Today's #SCOTUS decision underscores that NO ONE WILL BE SAFE from the Republican-led tyranny over our nation. We must fight back in the upcoming weeks &amp; months &amp; at the ballot box. 

If R's get power back this is just the beginning. Will you take a stand?
https://t.co/GqID76XM6d"
6,"RT @PatrickSvitek: Gun bill passes House 234-193, with 14 GOP yes votes"
7,Make no mistake — the decision to overturn nearly 50 years of protection for American women paves the way for #SCOTUS to dismantle many other rights we hold dear. #Dobbs returns our country to a time when only the select few with resources have autonomy over their body &amp; future.
8,"RT @BarackObama: Today, the Supreme Court not only reversed nearly 50 years of precedent, it relegated the most intensely personal decision…"
9,"TX Atty Gen Ken Paxton, who is under federal investigation, is making today a state holiday in his office😡. That’s unacceptable!!! We better turnout and get his ass outta of the AG’s office! These TXGOP Jan 06 nuts are coming after our right to contraception next!!! Wake Up! https://t.co/3z7dY2Xexs"
10,It’s a wrap! 2:13am and FY23NDAA is done!!! Thanks to HASC staff for doing a great job and keeping us moving! https://t.co/CIhMiR95R4
11,This is why Black republicans have zero credibility in the Black community. https://t.co/qRuC5aVnGe
12,"Happy #Juneteenth, everybody! https://t.co/XcOodMYDBT"
13,".@therealopallee could have stopped when she got @POTUS to declare #Juneteenth a national holiday. Yet, she walked 2.5 miles in the TX heat today, is nominated for a Nobel Peace Prize &amp; is spearheading efforts on the new Juneteenth Museum. I’m honored to call Miss Opal a friend. https://t.co/gSXvE8fBb5"
14,"Happy #juneteenth2022 from Grand Prairie, Texas! https://t.co/9tSqAotpjb"
15,"I have no idea abt his medical history. But, I can tell you this for sure: Hershel always been special…always https://t.co/OFImudxhhp"
16,"Exactly! It’s not unusual to see Walker out&amp;abt here in Tarrant County, Texas. And, then all of a sudden you see him running for Senate in GA. It’s very strange, kinda like his behavior https://t.co/cw3qmYxqru"
17,"After seeing this video, it’s a discomforting reminder that Walker, who is running for the Senate in GA, only lives 15 mins away from me here in Ft Worth, TX! https://t.co/uIlS4pS6C2"
18,"All Texans, pray and stand strong with our West TX neighbors in Odessa! https://t.co/6aGWco8Kg0"
19,"Understanding well how the gun shows in TX and other places operates, there still needs to be work done. But, this is definitely a step in the right direction. https://t.co/dk2bZAiue6"
20,Jack Del Rio’s “dust up”….smh. All of those involved need to be held accountable and jailed! https://t.co/4HyJVWzidI
21,"Amazing how easy it is for Del Rio to downplay the violence that took place on Jan 06: police officers beaten;one nearly crushed to death, Speaker’s ofc vandalized, the Senate chamber was occupied &amp; people died; one person killed in a stampede! Be quiet Jack 🤫 https://t.co/4csyjb1sSx"
22,💯 https://t.co/aDwpoJBxzy
23,"RT @TXClimateJobs: Today, @LaCongresista, @JacksonLeeTX18, @RepAlGreenTX, @MarcVeasey, @LloydDoggettTX, @vgescobar, @VoteVicente, and @Joaq…"
24,RT @juliejohnsonTX: Come out to Irving Cares this morning to Beat the Heat 🔥 with me and @MarcVeasey! We’re giving away fans and bags of fo…
25,"I’m out here at Irving Cares with my good friend @juliejohnsonTX handing out fans/food to Texans in need. If you know anyone in the local area that could use help staying cool this summer, send them on over to us! 

And a big thanks to @VistraCorp for sponsoring today’s drive. https://t.co/t2b2R256Uy"
26,"My sincerest condolences to all of KK’s fans in India, the US, Texas and all around the world 🌎 https://t.co/vjr7orskra"
27,So sad! My condolences to his fam and Fmr teammates 🙏🏾🙏🏾🙏🏾 https://t.co/x5UmTUYQ64
28,"RT @ZekeJMiller: UVALDE, Texas (AP) — Justice Department to conduct review of law enforcement response to Texas school shooting and make fi…"
29,Republicans in the Senate also need to find a “conscience”. Passing a background check bill that’s supported by 90% of the public is something any reasonable leader or elected official should be able to rally behind. 🇺🇸 https://t.co/mR6GJv9J1i
30,"RT @TheOtherMandela: With the right laws, we can prevent school shootings. Don’t let anyone tell you otherwise. Congress needs to act immed…"
