Unnamed: 0,Text
0,Tampon manufacturers need to increase production—not prices. I’m monitoring the reports of tampon shortages to protect consumers against possible price gouging.
1,I’m making sure Granite Staters’ tax dollars are being put to work efficiently by improving the federal budget process and making government more fiscally responsible.
2,"Abortion access is on the ballot, and with it is a woman’s right to be a full and equal citizen in our democracy.

I’m fighting to safeguard reproductive rights in New Hampshire, and in every single state across the county.
https://t.co/IA6vXKVVi1"
3,I’m standing up to Mitch McConnell’s extreme agenda in the Senate – my opponents would be the “Yes” vote McConnell needs to enact a nationwide abortion ban.
4,"Today, we celebrate the anniversary of Obergefell v. Hodges legalizing same-sex marriage. 

Love is love. And while the Supreme Court is now taking away our rights, the fight for freedom and equality has never been more important."
5,"Beautiful day at Portsmouth pride! 

Yesterday's decision was devastating, but we will never stop fighting for freedom and equality – no matter who you are or who you love. https://t.co/HIwDadfWr5"
6,"New Hampshire is a pro-choice state, and we are fired up and mobilized to stand up to Mitch McConnell’s extreme agenda. 

Thank you to the volunteers who joined us in Exeter today! 

Join us: https://t.co/Pl7ltWpiXk https://t.co/TqyTQLQNBi"
7,"Women are more than capable of making our own decisions about our bodies.

The Supreme Court’s decision undermines our freedom to be full and equal citizens — and we will fight back."
8,"If Republicans take back the Senate, Mitch McConnell will pass a nationwide abortion ban – the time to act is now. 

We can’t lose hope and we must continue to fight. https://t.co/ukOkqGGePo"
9,"It’s unacceptable that my daughter now has fewer rights than I did at her age. This is a grave moment for women. 

We owe it to each other and the next generation to keep fighting and working towards change."
10,"Abortion access is on the ballot – along with it a woman’s fundamental right to be a full and equal citizen. 

My opponents would be a rubber stamp for Mitch McConnell, and would ban abortion nationwide.
https://t.co/trUgelZeTd"
11,"Our most fundamental right is being rolled back across the county. 

We can’t take any election, at any level, for granted. We need to elect pro-choice leaders who will fight for a woman’s right to make her own health care decisions."
12,"Roe is no longer the law of the land. 

Mitch McConnell will do everything he can to enact a nationwide abortion ban, and my opponents support his radical agenda. 

To protect women, we need to hold our Senate majority.
https://t.co/yJ0Ch3DYu9"
13,"The Supreme Court's radical decision to take away a woman’s freedom – her right to bodily autonomy – has pulled us back decades. 

Abortion is a fundamental right. I won’t let this be the final word on our freedom and I will keep fighting."
14,"Last night, Congress acted on gun violence and passed meaningful legislation to protect our communities. 

This bipartisan bill will help save lives."
15,"50 years ago today, #TitleIX paved the way for future leaders by opening doors and promoting equal opportunity in our schools. 

Today we must continue the fight and work to protect the values laid out by Title IX."
16,"I’m fighting to improve access to health care and benefits for veterans &amp; service members. 

Those who sacrificed to defend our values deserve the support and care they need."
17,New Hampshire is a place where people's voices matter. That’s why I’ll always fight for our First In The Nation primary. https://t.co/YMMyOq82GY
18,"Big Pharma is keeping generic drugs off the market to keep prices high. I’m bringing costs down by improving competition among drug manufacturers. 
https://t.co/ziIiQnZCIK"
19,I was proud to defend New Hampshire's First In the Nation primary today. Granite Staters have a deep commitment to a citizen-led democracy and we believe that the people — not the well-connected few — should choose our next president. https://t.co/sRvZZw5Kw6
20,"Big Oil is posting record profits while families pay sky high prices at the pump. 
   
That’s not right, and I’m working to help lower costs and hold Big Oil accountable."
21,"I’m listening to Granite Staters &amp; delivering on the priorities that matter. Together we’re strengthening New Hampshire’s workforce and growing our economy.

https://t.co/KT0nZ36kOI"
22,"It’s the first day of summer🌞

Growing up, my mother’s cardinal rule was that my siblings and I should be outside as much as possible – and boy, we took advantage of those warm summer days. https://t.co/6iQicXen8C"
23,"Happy 234th Birthday to the Granite State!

New Hampshire was the 9th state to join the Union, and our assent effectively ratified the Constitution. I’m honored to represent our incredible state in the Senate. https://t.co/7Yzm9DchFn"
24,It’s an honor to represent and deliver for New Hampshire in the Senate. https://t.co/MhEqWweS7u
25,Suspend the federal gas tax &amp; put money back into families’ pockets.
26,"My opponents would listen to Mitch McConnell, Big Pharma, and Big Oil — not Granite Staters."
27,"I’m honored to be named a “Fiscal Hero” for working across the aisle to eliminate wasteful spending, cut taxes, and make government more efficient.
https://t.co/QMCoD1eObT"
28,"Today we commemorate #Juneteenth, a celebration of the end of slavery in the United States. Progress has been made, but the fight for equality is still ongoing. We must continue to work towards justice and inclusion for all Americans."
29,Happy Father’s Day to my husband Tom! Thank you for always going above and beyond for Ben and Meg and continuing to make me smile. https://t.co/mcpVOWZnqJ
30,"Women’s rights have faced setbacks before, but our mothers &amp; grandmothers kept fighting.

This November, we must elect leaders who will fight to protect all Americans’ fundamental freedoms. #NHPolitics https://t.co/cO8vM9SNSZ"
31,New Hampshire Democrats are fired up and ready to win in November—thank you @NHDems for an incredible McIntyre-Shaheen 100 Club Dinner! https://t.co/UnS901kRGi
32,"Veterans exposed to toxic substances deserve the best health care and support.

My bipartisan solution passed the Senate and will close this gap in critical care."
33,Thanks for a great season!☘️ https://t.co/TugP4QAgI8
34,Increasing generic drug competition will help lower prices for Granite Staters.
35,"The Supreme Court’s misguided Wayfair decision increased costs &amp; red tape for small businesses.

I’m working to lower costs and reverse this decision."
36,Toxic PFAS chemicals shouldn’t be used in our food packaging. I’m leading the charge to ban this dangerous practice.
37,"I’m listening to Granite Staters and working to get results for them. 
https://t.co/tTl8gzFFiT"
38,"Access to menstrual products should be treated like every other essential good.

That’s why I’m taking on corporations that increase prices instead of boosting supply. https://t.co/gjDxZUwgmc"
39,"My focus has always been on listening to Granite Staters directly about the issues that matter to them and working to get results. 

Walking neighborhoods &amp; knocking on doors made me a better State Senator, a better Governor, and a better U.S. Senator. https://t.co/iRZXOav9Xh"
40,"Mitch McConnell only needs to flip one seat to take back the Senate &amp; my opponents would be nothing more than a rubber stamp for McConnell’s agenda.

We need to hold this seat.
https://t.co/L3ehkWFcpT"
41,On Flag Day we pay tribute to the stars and stripes that unite our nation. https://t.co/TVp67nov0U
42,"Happy birthday to the U.S. Army!
Thank you to all those who have served in defense of our freedom and democracy for the last 247 years. https://t.co/8999mCqE6r"
43,"My opponents would outlaw abortion and defund Planned Parenthood – they would take away a woman’s fundamental freedom. 
https://t.co/bNgKvV4F6c"
44,The substance misuse crisis has taken an incalculable toll on New Hampshire. I’m taking action to increase treatment options &amp; working to hold opioid manufacturers accountable.
45,"ICYMI: The contrast in this race is clear. All of my opponents would be yes votes for Mitch McConnell and the corporate special interest, anti-choice agenda he represents.
https://t.co/PZFhqE8UW4"
46,"On Friday, I officially filed for reelection. Since my first day in public office, I have sought to uphold Granite State values – listening to each other and solving problems. https://t.co/aSPJNCGoXv"
47,"In 2016 we won by 1,017 votes – a year later we saved the ACA by one vote in the Senate. 

Every vote &amp; every election matters. 

https://t.co/iQ6jpTeNZz"
48,"When labor is strong, our economy works better for everyone. 

I’m proud to stand with American workers. https://t.co/pRUR8RhwCX"
49,"We are officially on the ballot &amp; 150 days out from Election Day! 

We can’t lose momentum — Mitch McConnell is spending millions of dollars to elect one of my anti-choice opponents. 

Will you chip in to help protect this critical seat? 
https://t.co/mQfzhxDk9M"
50,"Enough is enough – we need to pass commonsense gun safety reforms, including universal background checks and red flag laws. https://t.co/JI32nfdC7B"
51,"Today I joined Nashua high schoolers who are standing up against gun violence.

Americans deserve to feel safe at school, in the grocery store, at the movies, at church, and while living our lives – we must keep fighting. #MarchForOurLives"
52,"There’s no better place to be than Bike Week in Laconia!

Thank you to Mayor Andrew Hosmer &amp; Charlie St. Clair for the warm welcome. https://t.co/mC8zKXtoG3"
53,Thank you to all the hardworking volunteers fighting for what you believe in and moving our state forward — we couldn’t do this without you! https://t.co/VYUcdjwreJ
54,"My focus has always been on listening directly to Granite Staters &amp; working to get results. 

Thank you to @toadstoolbooks for hosting me. Small businesses are the backbone of our economy &amp; I will continue to fight for you. https://t.co/fhDlCrhYpF"
55,"Thank you to everyone who joined me in Concord!

We’re in a moment when our democracy is being tested, and we need leaders who will listen to Granite Staters — not Mitch McConnell and corporate special interests.

Thank you for your support. https://t.co/EEpS2Edonw"
56,"I’m officially on the ballot! 

Representing New Hampshire has been the honor of a lifetime &amp; I’m ready to continue our fight. Together, we will continue to stand up to Big Pharma &amp; Big Oil, lower prices, protect reproductive rights, and deliver for New Hampshire. https://t.co/bSp0k75J4f"
57,"Big Pharma is making record profits while Americans struggle to afford life-saving medications.

I’m standing up to Big Pharma &amp; taking on corporate special interests to lower costs."
58,"I’m urging the administration to take executive action to defend access to abortion.

Our most fundamental right hangs in the balance – we need to act."
59,THE CELTICS WIN GAME 3!! 🍀 https://t.co/Q0M0t6v4i1
60,"The GOP had to pull down their attack ad against me for making false claims.

Despite Mitch McConnell’s best efforts – I’m still focused on delivering for the people of New Hampshire."
