Unnamed: 0,Text
0,@Hhowell1969 @WendellHusebo @mkolken Thanks 🇺🇸👍
1,"@WendellHusebo @mkolken We can increase wages by deporting illegals and not offering amnesty! Working class Americans have enough to worry about without having to compete with cheap, illegal labor!"
2,"RINOs have infiltrated the Republican party! @ClaudiaTenney has an F rating from Conservative Review! Yes, @Liz_Cheney is a total RINO, but there are even worse! Help me defeat Claudia Tenney at https://t.co/vojUaUGqBo https://t.co/yNrhoJuCXo"
3,"@MeredihB You see that too, huh? It’s ridiculous!"
4,@SwampDummy 💪🏼🇺🇸!
5,@DeAngelisCorey Thanks!!
6,@AliSwan172 @joekent16jan19 @DeAngelisCorey Just gave him a follow!
7,@PaulAndrewMitc1 @LLPatriot4 That’s just the beginning!
8,The Department of Education was founded by Jimmy Carter in 1979. I will make abolishing it a top priority! https://t.co/Bo9K9fjSIH
9,I still can’t believe what an amazing week we’ve had! President Trump is still helping to Make America Great Again! How awesome is this?! @TrumpWarRoom #MAGA https://t.co/s8KP4bjer4
10,@JordanSchachtel Wasn’t the $53 billion that the Dems and RINOs sent them enough? Of course not.
11,@Andyharrisfan I love my Wayne County people! 💪🏼🙏🇺🇸
12,"When @ClaudiaTenney voted to send millions of taxpayer dollars to Planned Parenthood , @Jim_Jordan said “This is the worst bill I've seen in my time in Congress by far.” 

We need to elect real conservatives who will fight for life when it’s hard, not just when it’s easy! #NY24 https://t.co/WIFKXNjCIl"
13,"The Supreme Court decisions from yesterday and today uphold the fundamental rights to LIFE, and the right to protect that life, for the born and UNBORN! The last two days have been truly incredible! God bless America! #2A #Life"
14,"@GavinWax Let’s gooo, @AndrewHGiuliani giving you the shoutout!"
15,@TonyNylon Thanks brother!
16,"I’m saying NO to amnesty, NO to the woke transgender agenda, NO to Red Flag laws, NO to sending our money overseas, and YES to putting America First! Thank you for the endorsements Wayne County! #NY24 #MAGA https://t.co/kvWxGTJSlI"
17,"@RealRickGlaser1 Yes, I don’t really see what he could have done differently. He went from never being down in his life to going down easy. Beterbiev is too strong!"
18,"Happy Father’s Day to my amazing dad and all of the incredible dads out there! Thank you for teaching me that it isn’t the outcome that matters, but if you gave it your best shot. Now that I am a father myself, I can only hope that my son will be as proud of me as I am of you! https://t.co/lwr5F1ji2y"
19,"Wow, that’s horrendous. I didn’t know they did an F-. But not surprising after her amnesty vote on H.R. 1603! https://t.co/lpScsXhwHs https://t.co/mGekHRhP6u"
20,We can’t accept this any longer.  @claudiatenney sponsored transgender bills with @AdamKinzinger and has a worse voting record than @RepLizCheney ! It’s time to clean House! https://t.co/xn7M22qvHs
21,"If you vote for amnesty for illegals, $53 billion to Ukraine, and taxpayer funding for sex changes, you have no place in the Republican Party @claudiatenney https://t.co/hiCuYgPll3"
22,"RT @MattBraynard: Out of desperation to defeat hometown conservative @mariofratto, did RINO carpetbagger @claudiatenney counterfeit a Trump…"
23,"100% Spot on....Looking at you @claudiatenney!

https://t.co/4Yt6NEs4O0 https://t.co/hkEnBdkOcc"
24,@DrPaulGosar You are one of the true conservatives that didn't vote for Red Flag laws and didn't vote to send our money to Ukraine! Keep fighting! #AmericaFirst
25,"We can’t keep electing establishment politicians like @ClaudiaTenney who are going to vote for Red Flag laws in order to “compromise.” 

https://t.co/4Yt6NEatWs"
