Unnamed: 0,Text
0,Just posted a photo https://t.co/fKPhn0YVB9
1,Just posted a photo https://t.co/ilfRzS7Krh
2,RT @NickNittoli: We outside w @lexitmovement @lexitcalifornia @iamkelvinj @officialdvs7.0 @iamdvs7.0 @mark4ny 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #lexitmo…
3,@LegendaryEnergy Thanks again for taking the time and putting up with Lesko BRANDON and setting the fact checkers straight.
4,RT @LegendaryEnergy: I got confronted by a “Fact-Checker” in real life. I always wondered who they were! https://t.co/M99BUPfuJ4
5,RT @MissMon_D: @LegendaryEnergy @nyfreedomrally members have been dealing with Lesko Brandon @mark4ny  for too long to remember. I'm glad h…
6,RT @RobSchneider: Since Twitter won’t let me retweet this… I screen shot it for you… https://t.co/30jtKsxYTB
7,Just met the legend @larryeldershow backstage at @ampfestwest https://t.co/I38fO8t8kf
8,Just posted a photo https://t.co/G1UlMH4Dwh
9,Just posted a photo https://t.co/yczkD9XKH2
10,"Let me translate some often misused terms to the correct term.

RINO - The correct term is traitor. 

Cancel Culture - The correct term is communism."
11,Just posted a photo https://t.co/5kcPQe0Wq3
12,RT @JackPosobiec: BREAKING: Detained at Davos https://t.co/H1RdaOebDI
13,Tomorrow! @nyfreedomrally https://t.co/y3DeWKGyDT
14,"#orangemanbad #nomeantweets 
#saveamerica #votered #conservative #republican #maga #kag #usa #americafirst #redwave #america #usa🇺🇸 #mark4ny https://t.co/NBog1Gju5J"
15,RT @ThomasSowell: One of the bittersweet things about growing old is realizing how mistaken you were when you were young. As a young politi…
16,"Redistricting in #NY

https://t.co/G6A54in6qG"
17,"Even @FoxNews is attacking #trump supporters for being there on #j6 
There were at least hundreds of thousands and most likely well over a million peaceful protesters there. #fakenews #msm needs to stop the bs attacks on @Kathy4Truth and other people there.https://t.co/013rgLOHdN"
18,"And the @NYRangers win to come back from being down 3 games to 1 to take it in game 7 in overtime. What a game. Today was a good day. #LetsGoBrandon , I mean #LetsGoRangers"
19,"Game 7 of the @NewYorkRangers_ vs #Pittsburgh @penguins #playoff series just went into overtime. You can watch it on @TBSNetwork 

#LetsGoRangers #lgr #wewantthecup"
20,#LGR
21,Just posted a photo https://t.co/7cStX2ithl
22,@thedebralea The dmv gave notices years in advance.
23,Life shouldn’t revolve around worrying about hurting sensitive peoples feelings. Governments shouldn’t be run that way either but unfortunately they are.
24,Just posted a photo https://t.co/qC7kp57cfn
25,"#HappyMothersDay to all the #mothers that didn’t murder their child by having an #abortion 
It’s not #prolife vs #prochoice it’s pro life vs pro Murder. Scientists say life begins at conception and therefore abortion is taking a life which means it’s murder. #TrustTheScience"
26,"Even though I’m not running anymore, this was a great podcast going over my platform that hopefully other politicians will implement. https://t.co/w6GKgPDaud"
27,#happyeaster https://t.co/tytsaMNfBR
28,@ErinElmore Don’t bunch all men in New York together. Many of them are not really from New York anyway.
29,There’s nothing malicious about the link. It’s a video that they don’t want people to see. https://t.co/phoerqzWyz
30,https://t.co/76ZJkrr086
31,RT @CaraCastronuova: MUST SEE new narrated video showing Capitol police blatantly allowing Indicted Americans into the Capitol on January 6…
32,Just posted a photo https://t.co/yXo0VXTLQo
33,Just posted a photo https://t.co/3pjQ37KW57
