Unnamed: 0,Text
0,"This is my last post before tomorrow's election.  I appreciate all the support.  Now, I really need you to vote for me on Tuesday, May 3rd. WE NEED TERM LIMITS FOR CONGRESS!  https://t.co/hZ14BaUm81 https://t.co/3DUXHPTOq5"
1,"On Tuesday, May 3rd - VOTE LUCAS!!  We need term limits for Congress.  https://t.co/hZ14BaUm81 https://t.co/Y11BQkwLZw"
2,"Martin Lucas, U.S. Congress - Indiana District 1 candidate, is in favor of term limits.  https://t.co/hZ14BaUm81 https://t.co/BtWqo7uHSj"
3,"@USTermLimits Martin Lucas, U.S. Congress - Indiana District 1 candidate, is focusing his platform on term limits.  https://t.co/hZ14BaUm81"
4,https://t.co/VD2EJIJOhq
5,https://t.co/Dnj5l62IFm
6,"Martin Lucas, U.S. Congress - Indiana District 1 candidate, discusses term limits and ending pensions in Congress.  https://t.co/hZ14BaUm81 https://t.co/HNojpynF7l"
7,"@SenRickScott Martin Lucas is running for Congress - Indiana District 1.  He believes in term limits, lifetime ban on politicians becoming lobbyists and ending the pensions.  https://t.co/hZ14BaUm81"
8,Martin Lucas is running for U.S. Congress - Indiana District 1.  https://t.co/hZ14BaUm81 https://t.co/JGeE172CSG
9,"Martin Lucas, U.S. Congress - Indiana District 1 candidate, firmly believes CONGRESS NEEDS TERM LIMITS.  https://t.co/hZ14BaUm81 https://t.co/vBUVywA1kn"
10,"Martin Lucas, U.S. Congress - Indiana District 1 candidate, firmly believes in TERM LIMITS FOR CONGRESS.  https://t.co/hZ14BaUm81 https://t.co/mmZeKEw8S2"
11,"Martin Lucas, U.S. Congress - Indiana District 1 candidate, favors term limits for Congress.  CONGRESS NEEDS TERM LIMITS.  https://t.co/hZ14BaUm81 https://t.co/YeYtuMoEY7"
12,"I am running for Congress and I work at IBM. I want to tell about free education opportunities from IBM. The program is Skillsbuild. Free training for adults. You can obtain IBM Badges that can be used on your resume. https://t.co/xPM955uXuX

My website is https://t.co/hZ14BaUm81"
13,"Martin Lucas, U.S. Congress - Indiana District 1 candidate, discusses his job at IBM and how it applies to government. WE NEED TERM LIMITS FOR CONGRESS. https://t.co/hZ14BaCKJr https://t.co/EnmG07flDV"
14,"Martin Lucas, U.S. Congress - Indiana District 1 candidate, believes in TERM LIMITS FOR CONGRESS.  https://t.co/hZ14BaUm81 https://t.co/j2ZP1XYYPa"
15,"U.S. Congress - Indiana District 1

May 3 – Republican Primary

VOTE MARTIN LUCAS

Term Limits

Lifetime Ban on Becoming Lobbyists

Donate to Charities not Political Campaigns

https://t.co/hZ14BaUm81"
16,We need term limits.  https://t.co/hZ14BaUm81 https://t.co/2OSj8vf0ZT
17,"Hoosiers planning to vote must register by April 4 to vote in the May 3 primary.

Registering to vote and verifying a registration can be completed online at https://t.co/US5HEkOi7k.

We need term limits. https://t.co/hZ14BaUm81"
18,We need term limits for Congress.  https://t.co/hZ14BaUm81 https://t.co/SpY3aA0z1k
19,We need term limits.  https://t.co/hZ14BaUm81 https://t.co/HD4qjX58cu
20,"Martin Lucas, U.S. House of Representatives - Indiana District 1 candidate, discusses lobbyists and career politicians. WE NEED TERM LIMITS! https://t.co/hZ14BaUm81 https://t.co/aOLhs8Wdwu"
21,We need term limits. https://t.co/hZ14BaUm81 https://t.co/q0SVF98us9
22,We need term limits. https://t.co/hZ14BaUm81 https://t.co/ulyBu5hyup
23,"Martin Lucas, U.S. Congress - Indiana District 1 candidate, discusses the national debt and career politicians. https://t.co/hZ14BaUm81 https://t.co/SWu9ogXUs8"
24,"Martin Lucas, U.S. House of Representatives - Indiana District 1 candidate, discusses Republican policies and Choice Scholarships for private schools. I FAVOR TERM LIMITS.  https://t.co/hZ14BaUm81 https://t.co/39xwgZcxtJ"
25,"Martin Lucas, U.S. House of Representatives - Indiana District 1 candidate, discusses the importance of respecting political differences. https://t.co/hZ14BaUm81 https://t.co/iQZ3bU8qtf"
26,"Martin Lucas, U.S. House of Representatives - Indiana District 1 candidate, describes his current job with IBM and how it relates to being a Congressman. https://t.co/hZ14BaUm81 https://t.co/f1FM5XN3Wg"
27,We need term limits.  https://t.co/hZ14BaUm81 https://t.co/lMIeu8UKJi
28,"Martin Lucas, U.S. House of Representatives - Indiana District 1 candidate, discusses vaccine/mask mandates.

I support term limits. https://t.co/hZ14BaUm81 https://t.co/F9GA3tUMWl"
29,We need term limits.  https://t.co/hZ14BaUm81 https://t.co/jfW4jbInNj
30,"U.S. House of Representatives - Indiana District 1 candidate, Martin Lucas, discusses lobbyists and favoritism for the wealthy.  https://t.co/hZ14BaUm81 https://t.co/DoLiXqWs46"
31,"https://t.co/hZ14BaUm81

Good real estate = location, location, location

Good government = term limits, term limits, term limits https://t.co/GrXQsqXaPy"
32,"U.S. House of Representatives - Indiana District 1 candidate, Martin Lucas, discusses his positions on term limits, lobbyists and campaign financing. https://t.co/hZ14BaUm81 https://t.co/WYsigi0Zbc"
33,"U.S. House of Representatives - Indiana District 1 candidate, Martin Lucas, favors term limits and is against politicians receiving a pension. https://t.co/qUNVPWCt0b"
34,A picture is worth a thousand words.  https://t.co/hZ14BaUm81 https://t.co/BFxf7LADCh
35,"I oppose Citizens United v. Federal Election Commission - VOTE LUCAS - www.votelucas,com https://t.co/83Nc072IiH"
36,We need politicians that believe in term limits.  VOTE LUCAS - https://t.co/hZ14BaUm81 https://t.co/IwCgzJjlnB
37,Thank you to WJOB host Verly Suggs for allowing me to call in and state my platform. https://t.co/hZ14BaUTXz
38,Why is Martin Lucas running for Congress? The video below answers the question. https://t.co/gyKt26xtW6
39,I want to thank Sam Michel and WJOB for allowing me to appear on the Common Sense in the Midwest show that aired on February 3rd.
40,@ballotpedia
41,https://t.co/Jv1LH3HElX
42,"Thursday, Feb 3, 2022 - I will be on WJOB AM 1230 at 1:00PM - Sam Michel's Common Sense in the Midwest Show.  https://t.co/hZ14BaUm81"
43,The national debt is over $27.9 TRILLION.
44,"On May 3, 2022, Indiana Republican Primary - VOTE LUCAS"
