Unnamed: 0,Text
0,Join us in the fight to protect our freedoms. https://t.co/6GMYSArrwf
1,"Elise Stefanik wants to ban books, take away women’s rights, prevent us from voting, and take away our freedoms. When it comes to our rights, #ExtremistElise Stefanik can’t be trusted."
2,"When I took an oath to support and defend the Constitution, I took an oath to protect the rights and freedoms it gives each of us. Our safety, security and strength are grounded in our American freedoms. Read more about my plan to secure our freedoms at https://t.co/Hvge0QZM8U"
3,"When it comes to securing and protecting our freedoms, I am in this fight with you every step of the way. https://t.co/uZvA7NU5Pp"
4,Help me combat extremist politicians like Elise Stefanik and protect all of our freedoms https://t.co/6GMYSArrwf
5,"All Americans, no matter our background, value our freedom. And protecting our freedoms is greater than politics or party, it’s essential to who we are. It’s what makes us American."
6,Final Stop with @lapper_jean: The first ever Tri-Lakes Pride! Grateful to the #NY21 community for creating spaces like this - to gather together and celebrate the LGBTQ+ community. 🏳️‍🌈 https://t.co/eMr2Nfm7Tv
7,Great afternoon in Moira for the Brushton Volunteer Fire Department Parade and Chicken BBQ with @lapper_jean. Fantastic to see the community come together to support our volunteer first responders in #NY21. https://t.co/8jXHsdNlhj
8,On the road today campaigning with @lapper_jean across #NY21. First stop Marcy Field for the Keene Valley farmers’ market. https://t.co/lVXz7ntqmW
9,My thoughts are with the people of Oslo and the LGBTQ+ community. Extremist threats anywhere are a threat to people who value freedom everywhere. https://t.co/WiPKyA1sGP
10,"Help me combat extremist politicians like Elise Stefanik and protect all of our freedoms.
https://t.co/6GMYSArrwf"
11,"As we fight to win back women’s freedom to control their own bodies and make their own health care decisions, never forget that #ExtremistElise Stefanik voted AGAINST the Women’s Health Protection Act. The choice this November is clear. #NY21"
12,"Last night we grieved and protested. Today we fight back against extremists. Every election from here on out is an opportunity to fight back. And we will not stop until we win. Together, we will win back our freedoms. I’ll be fighting with you every step of the way. #NY21 https://t.co/8mBgtNqrEd"
13,"Help me combat extremist politicians like Elise Stefanik and protect all of our freedoms.
https://t.co/6GMYSArrwf"
14,"We must stop extremist politicians from taking away our freedom to choose when and how to have a family, to decide what contraception to use, and to marry who we love. When we join together, we have the power."
15,"For everyone reeling from the overturning of Roe, I share your anger and I’ll be joining you in Glens Falls tonight at 8pm. Together, we can turn our outrage into action on the streets and at the ballot box now, in August, and in November. Join us.
https://t.co/Jcut5aSETs"
16,"As a Member of Congress, I will vote to make sure that women, not extremist politicians, have the freedom to make healthcare decisions for themselves without interference from the government. https://t.co/HXmMZ4MEQB"
17,"Help me defeat Elise Stefanik and deliver real results for Upstate New York.
https://t.co/6GMYSArrwf"
18,"#NY21 deserves an economy that prioritizes good paying jobs, rewards innovation, and preserves our local businesses and farms. We can unleash our full potential by investing in our future."
19,"Help me defeat Elise Stefanik and deliver real results for Upstate New York.
https://t.co/6GMYSArrwf"
20,"When we don’t have enough child care and elder care, the burden almost always falls on women, impacting careers and future earning potential. Let’s support upstate women to realize their dreams while knowing their families are safe and cared for."
21,I demand that @RepStefanik @EliseStefanik answer to #NY21 voters whether she knowingly broke the law and coordinated with Representative Mo Brooks and others to seek a pardon. My statement: https://t.co/31GNfycISv
22,"""It's now up to every American now &amp; in the future to stand for for truth, to reject the lies, wherever we confront them: In our towns. In our capitals. In our friendships. In our families. And at the ballot box. And within our own minds and hearts."" Rep. Kinzinger"
