Unnamed: 0,Text
0,"Barbara and I cast OUR votes, have you? 

I'm fighting to bring change to WNC. So get your friends, get your family, get your neighbors and cast your ballots for a Better Congressman! 

FIND YOUR VOTING PLACE HERE: https://t.co/lkEhv1cVKR https://t.co/nNjSdhM0yB"
1,"Western North Carolina! Have YOU voted yet? 

Vote #BurrilforCongress ✅"
2,"Today is the day! ELECTION DAY in North Carolina! 

Get ready to head to the polls and VOTE for your Conservative, Christian, Business leader. 🇺🇸

#NC11 #NCPolitics https://t.co/holwCt1qg9"
3,"TOMORROW: it all comes down to YOUR VOTE. 

Make a change and vote for a Congressman who will stand firm on Christian principles and Constitutional rights to protect our way of life without the distracting drama! 

I will be a Better Congressman for you! #NCPolitics #NC11 https://t.co/EumyvVenjD"
4,"This morning on WPTL Radio in Canton! Team Burril loves Haywood County! 

Join me in taking this campaign to the finish line and VOTE TOMORROW for a Better Congressman! #NC11 #NCPolitics https://t.co/nqqJE1kXZ0"
5,"These last few months on the campaign trail have taught me that this more than just a campaign, it’s a fight to make a change for WNC! 

Thank you to all the wonderful people who have been so gracious to meet me and hear why I WILL be a Better Congressman for you! Let’s VOTE! https://t.co/IOEaR8EuVX"
6,"Hendersonville First Baptist Mens Prayer Breakfast this morning! Thank you Dave Marshall for the invitation to speak to this large group of faith-centered men. No matter your age, you still have purpose. https://t.co/00Mk2s5BLy"
7,"This is how TEAM BURRIL campaigns! Smiling, waving, and being positive. Forget negativity, because that’s not the way we roll. 

Thanks for your hard work Darlene. 🇺🇸

VOTE MATTHEW BURRIL FOR #NC11! https://t.co/gndyX2299j"
8,"I am a man of faith guided by deep Christian morals, principles &amp; values. As your Congressman, I will fiercely defend these values &amp; safeguard the morality upon which America was founded.

Vote for a strong Conservative &amp; a man of faith when you vote Matthew Burril on May 17! https://t.co/lN2kr4gt13"
9,"Grand opening ribbon cutting of The Saluda Inn in Polk County. This beautifully restored and redesigned 1880s inn will be a major attraction in WNC! 

Great to see Saluda Mayor Tangie Morgan! #NC11 https://t.co/L3POyHk9fF"
10,"Western North Carolina! Don't forget EARLY VOTING is happening now! 

Are you ready for a Better Congressman? Head to the polls TODAY to Vote #BurrilforCongress! https://t.co/e9FCFA2d7Q"
11,"Manning McGraw is Buncombe County success story! He has built an incredible business, Broad River Rehab providing physical therapy in locations all over the nation. 

Great to meet a native WNC doing good for our communities. https://t.co/aFDboexIjn"
12,#Bidenflation is plaguing our economy! https://t.co/WYskRNkFfG
13,"My man Nathan Cody and the Big Man Jeff Willis of High Ridge Adventures Outfitting and BBQ in Marshall!

Jeff is an expert fishing and hunting guide in WNC. He loves this country and is on the #BurrilforCongress team. #NC11 #NCPolitics https://t.co/2QhdaJ5FbN"
14,"Working the polls in Marion County today! It’s great to be a Fight’n Titan!! Met a lot of voters in McDowell County today. These folks know a local guy when they see one!!

#BurrilforCongress momentum is STRONG! #NC11 https://t.co/nkBlEGnVkQ"
15,Is your wallet feeling the squeeze from @JoeBiden's inflation tax?
16,"I am your Conservative, Christian, Business leader. VOTE for a Better Congressman when you vote for Matthew Burril on May 17! ☑️ 

https://t.co/XCMBgJs2t5"
17,"Inflation, protecting the unborn, effective leadership. 

These are the issues important to #WNC, not those annoying ads about @RepCawthorn's immature behavior or @ChuckEdwards4NC being a rubber stamp for Raleigh politicians. https://t.co/xuEQdxRwNa"
18,"Wishing a happy #MothersDay to all, especially my lovely wife Barbara. 

Moms are amazing! https://t.co/hB3GxskIIC"
